analog,analog_sterr,photon_counting,pc_sterr,overflow_info
28.9665,0.166826,176.16,0.899132,0.0
67.2555,0.400356,195.052,0.864446,0.0
274.883,2.3517,114.036,1.37862,0.0
473.252,0.0704069,1.2828,0.143848,0.0
473.457,0.0,0.0,0.0,0.0
473.457,0.0,0.0832986,0.0370671,0.0
473.457,9.01586e-06,24.0566,0.671969,0.0
473.457,1.5567e-05,14.0608,0.550566,0.0
473.457,0.0,5.34777,0.323062,0.0
473.457,0.0,14.0608,0.502616,0.0
473.457,0.0,45.2811,0.827379,0.0
473.457,0.0,93.2278,1.03176,0.0
473.457,0.0,145.906,1.06202,0.0
473.457,6.3565e-06,124.831,1.04672,0.0
473.457,0.0,87.097,0.906954,0.0
473.457,0.0,80.0666,0.877368,0.0
473.457,0.0,83.182,0.876688,0.0
473.457,0.0,97.8426,0.900833,0.0
473.457,0.0,113.203,0.935519,0.0
473.457,0.0,117.518,0.914095,0.0
473.457,0.0,121.299,0.918516,0.0
473.457,0.0,138.659,0.94062,0.0
473.457,0.0,162.349,0.928378,0.0
473.457,0.0,180.491,0.880769,0.0
473.457,0.0,194.619,0.878388,0.0
473.457,0.0,199.65,0.853904,0.0
473.457,6.3565e-06,202.149,0.893351,0.0
473.457,6.3565e-06,205.831,0.867846,0.0
473.457,0.0,203.032,0.903553,0.0
473.457,6.3565e-06,204.048,0.898792,0.0
473.457,0.0,202.849,0.903553,0.0
473.457,0.0,203.415,0.877028,0.0
473.457,6.3565e-06,202.682,0.894712,0.0
473.891,0.0620667,200.317,0.882129,1.0
476.361,0.164349,202.466,0.881449,1.0
481.365,0.239834,200.283,0.891651,1.0
495.604,0.190114,201.166,0.88451,1.0
500.0,0.0,202.632,0.866146,1.0
500.0,0.0,200.5,0.883829,1.0
499.97,0.0120912,201.949,0.889271,1.0
498.042,0.148139,203.665,0.871927,1.0
490.442,0.422541,202.832,0.883829,1.0
465.149,0.703001,203.748,0.912055,1.0
417.908,0.72233,201.333,0.88485,0.0
369.574,0.686301,202.566,0.880769,0.0
323.09,0.674005,201.699,0.877708,0.0
277.334,0.643478,203.099,0.904573,0.0
233.654,0.600632,203.765,0.879409,0.0
192.702,0.555458,204.598,0.893691,0.0
155.074,0.495442,202.965,0.896072,0.0
122.217,0.428353,203.082,0.858325,0.0
94.6666,0.361801,200.45,0.874308,0.0
72.7006,0.296678,199.2,0.877028,0.0
55.7832,0.240617,199.817,0.874988,0.0
42.6461,0.192137,197.568,0.906614,0.0
32.8523,0.151191,195.668,0.881789,0.0
25.7191,0.120981,193.07,0.867846,0.0
20.1453,0.0972202,192.17,0.863426,0.0
16.0836,0.076928,192.403,0.853564,0.0
13.536,0.0620399,191.17,0.900833,0.0
11.6856,0.0510768,189.404,0.840641,0.0
10.0987,0.0428676,187.489,0.852203,0.0
8.92113,0.0367792,187.389,0.851523,0.0
8.15274,0.0333301,183.657,0.853224,0.0
7.61458,0.0315506,182.374,0.856624,0.0
7.21335,0.0287693,181.008,0.8335,0.0
6.91357,0.0280839,179.509,0.862405,0.0
6.67014,0.02683,176.643,0.848803,0.0
6.51154,0.0267026,174.761,0.847102,0.0
6.40289,0.0255196,174.161,0.865126,0.0
6.32466,0.0247371,172.495,0.866486,0.0
6.27762,0.0240116,169.196,0.83554,0.0
6.21449,0.023526,170.446,0.8352,0.0
6.16209,0.0233563,167.813,0.856284,0.0
6.1345,0.0233395,165.498,0.851183,0.0
6.07127,0.0226873,163.882,0.852543,0.0
6.01641,0.022114,163.998,0.839961,0.0
5.96651,0.0218352,163.415,0.839621,0.0
5.8477,0.0208815,161.349,0.851523,0.0
5.73339,0.0209214,160.866,0.839621,0.0
5.69278,0.0196991,158.167,0.83486,0.0
5.64302,0.0199763,159.234,0.860025,0.0
5.59863,0.0194996,155.252,0.848803,0.0
5.56691,0.0189097,155.535,0.839621,0.0
5.54284,0.0185705,152.82,0.849143,0.0
5.53285,0.018408,153.203,0.824998,0.0
5.52957,0.0181381,152.786,0.83554,0.0
5.54643,0.0183665,150.521,0.861725,0.0
5.55373,0.0182255,148.488,0.843022,0.0
5.56311,0.017634,149.621,0.838941,0.0
5.57651,0.017774,148.705,0.841661,0.0
5.61222,0.017014,148.588,0.848463,0.0
5.66781,0.0167292,145.739,0.848803,0.0
5.71989,0.0167716,147.772,0.845062,0.0
5.76033,0.0167551,144.173,0.866826,0.0
5.77911,0.0168822,144.307,0.847783,0.0
5.82354,0.0168941,143.69,0.83486,0.0
5.86736,0.0163057,144.34,0.848123,0.0
5.90547,0.0161387,142.141,0.831119,0.0
5.95422,0.0160862,144.04,0.857304,0.0
5.97875,0.0159072,142.84,0.844722,0.0
6.00111,0.0156789,142.807,0.855944,0.0
6.05251,0.0161349,141.141,0.842001,0.0
6.08019,0.0157275,140.425,0.851183,0.0
6.09607,0.0156613,139.325,0.856284,0.0
6.14248,0.0156786,140.575,0.853904,0.0
6.21719,0.015662,139.608,0.831119,0.0
6.26284,0.0158118,139.925,0.801874,0.0
6.26945,0.0154739,138.492,0.855264,0.0
6.27149,0.0151744,137.443,0.829079,0.0
6.28722,0.0153667,138.959,0.844722,0.0
6.3213,0.0152301,136.26,0.837581,0.0
6.34733,0.0153943,136.61,0.842682,0.0
6.40135,0.0150511,137.776,0.842001,0.0
6.45435,0.0149365,136.06,0.83282,0.0
6.47263,0.0152703,136.177,0.830439,0.0
6.4943,0.014858,136.177,0.869887,0.0
6.52143,0.0148669,136.243,0.821257,0.0
6.53929,0.0145616,134.994,0.841661,0.0
6.54747,0.0148554,135.277,0.842001,0.0
6.56079,0.015108,134.944,0.830779,0.0
6.5809,0.0145666,133.528,0.8352,0.0
6.60307,0.0147917,133.061,0.842342,0.0
6.59074,0.0148379,133.628,0.861385,0.0
6.60668,0.0147561,134.061,0.847443,0.0
6.65462,0.01441,134.361,0.865466,0.0
6.66432,0.0143539,132.428,0.83588,0.0
6.65794,0.0144839,132.062,0.849143,0.0
6.64333,0.014237,133.028,0.842342,0.0
