time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
5.3506947,0.029979246,21.881287,5.3506947,0.029979246,17.665478,5.3506947,29.962961,5.3506947,29.179012,5.3506947,24.777779,5.3506947,48.88889,5.3506947,0.0,5.3506947,147.0,5.3506947,971.70483,5.3506947,17.331982,5.3506947,0.0,5.3506947,0.0,5.3506947,0.0,5.3506947,0.21841738,5.3506947,0.20508577,5.3506947,25.577778,5.3506947,25.25,5.3506947,25.41889,5.3506947,20260105,5.3506947,082500,5.3506947,2026.0,5.3506947,1.0,5.3506947,5.0,5.3506947,8.0,5.3506947,25.0,5.3506947,0.0,5.3506947,-1.0,5.3506947,-999.0,5.3506947,-999.0,5.3506947,-999.0,5.3506947,3.908111,5.3506947,2500.0,5.3506947,0.029979246,4137.7285,5.3506947,0.029979246,3285.3213,5.3506947,,5.3506947,,5.3506947,,5.3506947,,5.3506947,,5.3506947,,5.3506947,,5.3506947,,5.3506947,0.11991698,0.19809216,5.3506947,0.11991698,0.0074036983,,,,,,,,,,,,,5.3506947,0.0,0.0,,5.3506947,0.0,1.9786303,5.3506947,0.11991698,0.023590714,5.3506947,0.11991698,27.603798,5.3506947,0.11991698,0.0007863571,5.3506947,0.11991698,0.03602299,5.3506947,0.11991698,6.0,5.3506947,0.0,WaterCloud,5.3506947,30.0,5.3506947,
5.3506947,0.05995849,8.121242,5.3506947,0.05995849,0.99930096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3506947,0.05995849,1509.5118,5.3506947,0.05995849,149.60489,,,,,,,,,,,,,,,,,5.3506947,0.14989623,0.19423422,5.3506947,0.14989623,0.007328472,,,,,,,,,,,,,5.3506947,0.0,1.0,,5.3506947,1.0,,5.3506947,0.14989623,0.022540126,5.3506947,0.14989623,27.599178,5.3506947,0.14989623,0.0007513376,5.3506947,0.14989623,0.03635664,5.3506947,0.14989623,6.0,5.3506947,1.0,MixedCloud,,,,
5.3506947,0.08993774,7.4960732,5.3506947,0.08993774,0.73114675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3506947,0.08993774,1390.023,5.3506947,0.08993774,99.05197,,,,,,,,,,,,,,,,,5.3506947,0.17987548,0.19063424,5.3506947,0.17987548,0.007583813,,,,,,,,,,,,,5.3506947,0.0,2.0,,5.3506947,2.0,,5.3506947,0.17987548,0.021547182,5.3506947,0.17987548,27.59481,5.3506947,0.17987548,0.0007182394,5.3506947,0.17987548,0.03825867,5.3506947,0.17987548,6.0,5.3506947,2.0,Ice/dust/ash,,,,
5.3506947,0.11991698,7.0491304,5.3506947,0.11991698,0.6164361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3506947,0.11991698,1304.763,5.3506947,0.11991698,77.42052,,,,,,,,,,,,,,,,,5.3506947,0.20985472,0.18733372,5.3506947,0.20985472,0.007355362,,,,,,,,,,,,,5.3506947,1.0,0.0,,5.3506947,3.0,,5.3506947,0.20985472,0.020678129,5.3506947,0.20985472,27.590982,5.3506947,0.20985472,0.0006892709,5.3506947,0.20985472,0.037778918,5.3506947,0.20985472,6.0,5.3506947,3.0,Rain/Dust,,,,
5.3506947,0.14989623,6.6292133,5.3506947,0.14989623,0.54444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3506947,0.14989623,1224.7068,5.3506947,0.14989623,63.805588,,,,,,,,,,,,,,,,,5.3506947,0.23983397,0.185441,5.3506947,0.23983397,0.007532878,,,,,,,,,,,,,5.3506947,1.0,1.0,,5.3506947,4.0,,5.3506947,0.23983397,0.020258674,5.3506947,0.23983397,27.589136,5.3506947,0.23983397,0.0006752892,5.3506947,0.23983397,0.039033815,5.3506947,0.23983397,6.0,5.3506947,4.0,Molecular,,,,
5.3506947,0.17987548,6.2408304,5.3506947,0.17987548,0.50797266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3506947,0.17987548,1150.3032,5.3506947,0.17987548,56.98312,,,,,,,,,,,,,,,,,5.3506947,0.2698132,0.18589073,5.3506947,0.2698132,0.007820661,,,,,,,,,,,,,5.3506947,1.0,2.0,,5.3506947,5.0,,5.3506947,0.2698132,0.020692267,5.3506947,0.2698132,27.591045,5.3506947,0.2698132,0.00068974216,5.3506947,0.2698132,0.040374268,5.3506947,0.2698132,6.0,5.3506947,5.0,CleanAerosol,,,,
5.3506947,0.20985472,5.866637,5.3506947,0.20985472,0.46983492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3506947,0.20985472,1078.9257,5.3506947,0.20985472,49.8502,,,,,,,,,,,,,,,,,5.3506947,0.29979247,0.18679655,5.3506947,0.29979247,0.0077038724,,,,,,,,,,,,,5.3506947,2.0,0.0,,5.3506947,6.0,,5.3506947,0.29979247,0.02125033,5.3506947,0.29979247,27.593504,5.3506947,0.29979247,0.0007083444,5.3506947,0.29979247,0.039614044,5.3506947,0.29979247,6.0,5.3506947,6.0,PollutedAerosol,,,,
5.3506947,0.23983397,5.5355797,5.3506947,0.23983397,0.45066193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3506947,0.23983397,1015.5906,5.3506947,0.23983397,46.241066,,,,,,,,,,,,,,,,,5.3506947,0.3297717,0.18934824,5.3506947,0.3297717,0.007853825,,,,,,,,,,,,,5.3506947,2.0,1.0,,5.3506947,7.0,,5.3506947,0.3297717,0.022384414,5.3506947,0.3297717,27.59849,5.3506947,0.3297717,0.0007461471,5.3506947,0.3297717,0.039822523,5.3506947,0.3297717,6.0,5.3506947,7.0,Undetected,,,,
5.3506947,0.2698132,5.189483,5.3506947,0.2698132,0.43577272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3506947,0.2698132,949.5501,5.3506947,0.2698132,43.420544,,,,,,,,,,,,,,,,,5.3506947,0.35975096,0.1951166,5.3506947,0.35975096,0.008327913,,,,,,,,,,,,,5.3506947,2.0,2.0,,5.3506947,8.0,,5.3506947,0.35975096,0.024765005,5.3506947,0.35975096,27.608965,5.3506947,0.35975096,0.0008255001,5.3506947,0.35975096,0.040938333,5.3506947,0.35975096,6.0,,,,,,,
5.3506947,0.29979247,4.856359,5.3506947,0.29979247,0.4125093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3506947,0.29979247,885.7942,5.3506947,0.29979247,39.027096,,,,,,,,,,,,,,,,,5.3506947,0.3897302,0.19947992,5.3506947,0.3897302,0.008293502,,,,,,,,,,,,,5.3506947,3.0,0.0,,5.3506947,9.0,,5.3506947,0.3897302,0.0265496,5.3506947,0.3897302,27.61682,5.3506947,0.3897302,0.0008849867,5.3506947,0.3897302,0.039915398,5.3506947,0.3897302,6.0,,,,,,,
5.3506947,0.3297717,4.5273533,5.3506947,0.3297717,0.3962219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3506947,0.3297717,822.89526,5.3506947,0.3297717,35.97515,,,,,,,,,,,,,,,,,5.3506947,0.41970944,0.20433566,5.3506947,0.41970944,0.008604189,,,,,,,,,,,,,5.3506947,3.0,1.0,,,,,5.3506947,0.41970944,0.028613461,5.3506947,0.41970944,27.625902,5.3506947,0.41970944,0.0009537821,5.3506947,0.41970944,0.0403989,5.3506947,0.41970944,6.0,,,,,,,
5.3506947,0.35975096,4.222683,5.3506947,0.35975096,0.38604787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3506947,0.35975096,764.9357,5.3506947,0.35975096,34.017776,,,,,,,,,,,,,,,,,5.3506947,0.4496887,0.20958322,5.3506947,0.4496887,0.008671851,,,,,,,,,,,,,5.3506947,3.0,2.0,,,,,5.3506947,0.4496887,0.030767653,5.3506947,0.4496887,27.635378,5.3506947,0.4496887,0.0010255885,5.3506947,0.4496887,0.039730407,5.3506947,0.4496887,6.0,,,,,,,
5.3506947,0.3897302,3.920512,5.3506947,0.3897302,0.36708316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3506947,0.3897302,707.19403,5.3506947,0.3897302,30.489109,,,,,,,,,,,,,,,,,5.3506947,0.47966793,0.21486539,5.3506947,0.47966793,0.008565627,,,,,,,,,,,,,5.3506947,4.0,0.0,,,,,5.3506947,0.47966793,0.032973617,5.3506947,0.47966793,27.645084,5.3506947,0.47966793,0.0010991205,5.3506947,0.47966793,0.038339093,5.3506947,0.47966793,6.0,,,,,,,
5.3506947,0.41970944,3.6387775,5.3506947,0.41970944,0.35549605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3506947,0.41970944,653.4226,5.3506947,0.41970944,28.24762,,,,,,,,,,,,,,,,,5.3506947,0.5096472,0.22232991,5.3506947,0.5096472,0.0091435565,,,,,,,,,,,,,5.3506947,4.0,1.0,,,,,5.3506947,0.5096472,0.035979364,5.3506947,0.5096472,27.65831,5.3506947,0.5096472,0.0011993122,5.3506947,0.5096472,0.03950499,5.3506947,0.5096472,6.0,,,,,,,
5.3506947,0.44968867,3.3627253,5.3506947,0.44968867,0.3411721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3506947,0.44968867,600.54865,5.3506947,0.44968867,25.629852,,,,,,,,,,,,,,,,,5.3506947,0.5396264,0.22586492,5.3506947,0.5396264,0.009316023,,,,,,,,,,,,,5.3506947,4.0,2.0,,,,,5.3506947,0.5396264,0.037577853,5.3506947,0.5396264,27.665342,5.3506947,0.5396264,0.0012525951,5.3506947,0.5396264,0.039609093,5.3506947,0.5396264,6.0,,,,,,,
