range_raw,range (m) for NRB,range (m),copol_raw,copol_snr,copol_nrb,pbls,Normalize copol nrb
0.029979246,29.979246,119.91698000000001,22.96805,3446.229,0.23452953,2.0086095,0.45498663283725405
0.05995849,59.958490000000005,149.89623,10.070668,1480.81,0.23136708,,0.4488514886743157
0.08993774,89.93774,179.87548,9.405399,1379.791,0.22907093,,0.4443969640906129
0.11991698,119.91698000000001,209.85472,8.809728,1289.0198,0.22566493,,0.4377893336082439
0.14989623,149.89623,239.83397,8.3475685,1218.6099,0.22284842,,0.43232531207862046
0.17987548,179.87548,269.8132,7.934761,1155.7397,0.22336003,,0.43331783404899177
0.20985472,209.85472,299.79247,7.4847684,1087.2006,0.22630647,,0.4390339194155425
0.23983397,239.83397,329.7717,7.0532055,1021.53015,0.23088376,,0.4479138492248915
0.2698132,269.8132,359.75096,6.6176558,955.0247,0.23892426,,0.4635123967567437
0.29979247,299.79247,389.7302,6.2468095,898.49976,0.24638844,,0.47799288509904825
0.3297717,329.7717,419.70944,5.8647184,840.2552,0.25439602,,0.49352756792289115
0.35975096,359.75096,449.6887,5.496817,784.2165,0.26290762,,0.5100400481383146
0.3897302,389.7302,479.66793,5.1500225,731.40125,0.26724732,,0.5184590540115787
0.41970944,419.70944,509.64719999999994,4.820437,681.08905,0.27429855,,0.532138420507819
0.44968867,449.68867,539.6264,4.4908075,630.91547,0.2829168,,0.5488578014252229
0.47966793,479.66793,569.60565,4.1443696,577.8566,0.28954947,,0.5617251626910756
0.5096472,509.64719999999994,599.58494,3.8410826,531.69116,0.29816702,,0.5784431856104354
0.5396264,539.6264,629.56417,3.5929947,493.92444,0.30547404,,0.5926187839919035
0.56960565,569.60565,659.5434,3.36329,458.8997,0.3063306,,0.5942805079983563
0.59958494,599.58494,689.5227000000001,3.170995,429.70752,0.30289045,,0.5876066266114149
0.62956417,629.56417,719.5019,2.9858394,401.4603,0.29733202,,0.5768232879437359
0.6595434,659.5434,749.48114,2.7836232,370.73062,0.27589887,,0.5352430368359298
0.6895226,689.5226,779.4604,2.565551,337.52945,0.251468,,0.48784721730486824
0.7195019,719.5019,809.43966,2.358426,306.0759,0.2335778,,0.45314027929674167
0.74948114,749.48114,839.4189,2.0713224,262.35065,0.21434635,,0.4158313200365666
0.7794604,779.4604,869.3981,1.8158114,223.24678,0.20576853,,0.39919037320618644
0.80943966,809.43966,899.3774,1.6287668,194.68362,0.2000743,,0.3881435829179832
0.8394189,839.4189,929.35663,1.4482076,167.0507,0.19486898,,0.37804527666358345
0.8693981,869.3981,959.33586,1.3419008,150.79715,0.18498936,,0.3588788414709167
0.89937735,899.37735,989.31515,1.2513908,137.13564,0.18139283,,0.3519015833209594
0.92935663,929.35663,1019.2943999999999,1.1765878,125.673004,0.17952135,,0.34827091735057064
0.95933586,959.33586,1049.2736,1.0922059,112.81811,0.17768678,,0.34471185667704163
0.9893151,989.3151,1079.2528,1.0350589,104.2096,0.17355326,,0.33669283942763406
1.0192944,1019.2943999999999,1109.2321,0.9966086,98.29062,0.17270118,,0.33503980660866256
1.0492736,1049.2736,1139.2113,0.95845604,92.47388,0.1743015,,0.33814442293677316
1.0792528,1079.2528,1169.1906000000001,0.91148293,85.42053,0.17103083,,0.33179933227624175
1.1092321,1109.2321,1199.1699,0.8827903,80.95012,0.17195399,,0.3335902600965893
1.1392113,1139.2113,1229.1491,0.861297,77.69412,0.16823214,,0.32636988149682267
1.1691905,1169.1905,1259.1283,0.8272795,72.57161,0.1650285,,0.3201548288489845
1.1991699,1199.1699,1289.1075999999998,0.81029296,69.93153,0.16267322,,0.31558559223051297
1.2291491,1229.1491,1319.0868,0.7768555,64.81258,0.16313688,,0.31648509133487446
1.2591283,1259.1283,1349.066,0.75347316,61.294853,0.16346827,,0.3171279870088475
1.2891076,1289.1075999999998,1379.0454000000002,0.73046255,57.777786,0.15997392,,0.3103489577733612
1.3190868,1319.0868,1409.0246,0.7151718,55.419193,0.1601361,,0.31066358652016995
1.349066,1349.066,1439.0038,0.7013982,53.33334,0.16180614,,0.313903459453457
1.3790452,1379.0452,1468.983,0.6810947,50.238262,0.16069545,,0.311748723957138
1.4090246,1409.0246,1498.9623000000001,0.6681987,48.158833,0.15821369,,0.30693411649209856
1.4390038,1439.0038,1528.9415,0.659765,46.94101,0.15555862,,0.3017832881113518
1.468983,1468.983,1558.9207000000001,0.6425257,44.312668,0.15231732,,0.2954951751687497
1.4989623,1498.9623000000001,1588.9001,0.62921315,42.327827,0.1528144,,0.29645950897972323
1.5289415,1528.9415,1618.8792999999998,0.6147107,40.098118,0.15087779,,0.292702490991332
1.5589207,1558.9207000000001,1648.8585,0.60220146,38.260803,0.15517919,,0.30104719497162036
1.5889,1588.9,1678.8378,0.59416926,37.011745,0.15485148,,0.300411438487364
1.6188793,1618.8792999999998,1708.817,0.58170456,35.09777,0.15797201,,0.3064652579674424
1.6488585,1648.8585,1738.7962,0.57948834,34.732075,0.1674481,,0.3248488460877221
1.6788378,1678.8378,1768.7756,0.5717983,33.61706,0.18064521,,0.3504512026100878
1.708817,1708.817,1798.7548,0.56982,33.301865,0.19298142,,0.3743834155381282
1.7387962,1738.7962,1828.7340000000002,0.5721702,33.666073,0.21910343,,0.42506004194351554
1.7687755,1768.7755,1858.7133000000001,0.5854232,35.713005,0.22906579,,0.444386992504976
1.7987547,1798.7547,1888.6925,0.5961327,37.359818,0.2344746,,0.4548800687907489
1.828734,1828.7340000000002,1918.6716999999999,0.6142496,40.08366,0.21186174,,0.4110111835794911
1.8587133,1858.7133000000001,1948.6509999999998,0.62199914,41.213104,0.18789393,,0.3645136991544677
1.8886925,1888.6925,1978.6303,0.61844414,40.63705,0.15621167,,0.3030502032864872
1.9186717,1918.6716999999999,2008.6095,0.584382,35.539898,0.12461551,,0.2417537411779112
1.948651,1948.6509999999998,2038.5887999999998,0.5527294,30.66034,0.112806916,,0.21884510181551534
1.9786302,1978.6302,2068.5679999999998,0.51463634,24.886076,0.09960343,,0.19323037587096661
2.0086095,2008.6095,2098.5472,0.47844708,19.38559,0.09193637,,0.17835630089558419
2.0385888,2038.5887999999998,2128.5264,0.46306705,17.00095,0.09066277,,0.17588552045449635
2.068568,2068.5679999999998,2158.5057,0.44645247,14.496944,0.08580327,,0.16645810403374695
2.0985472,2098.5472,2188.485,0.4370519,13.061367,0.082276225,,0.15961564658962263
2.1285264,2128.5264,2218.4640999999997,0.43331847,12.402469,0.08258594,,0.16021649282416373
2.1585057,2158.5057,2248.4434,0.4270415,11.503417,0.08108848,,0.157311424608624
2.188485,2188.485,2278.4226,0.42250484,10.872576,0.08458818,,0.16410083282916038
2.2184641,2218.4640999999997,2308.402,0.4204224,10.535738,0.082579374,,0.16020375480251156
2.2484434,2248.4434,2338.3813,0.4176856,10.116991,0.087493524,,0.16973719207054855
2.2784226,2278.4226,2368.3605000000002,0.4192325,10.373385,0.08421313,,0.1633732368771896
2.3084018,2308.4018,2398.3397,0.41640636,9.88066,0.082731195,,0.16049828711826722
2.338381,2338.381,2428.319,0.41767067,10.092558,0.08594983,,0.1667424300242038
2.3683605,2368.3605000000002,2458.2982,0.4141603,9.592065,0.08593476,,0.16671319426631498
2.3983397,2398.3397,2488.2774,0.41188455,9.218996,0.085640766,,0.16614284672784355
2.428319,2428.319,2518.2567,0.4128514,9.381445,0.07917011,,0.15358979216926336
2.4582982,2458.2982,2548.2360000000003,0.40938568,8.8208065,0.08047183,,0.15611512533177346
2.4882774,2488.2774,2578.2151,0.408404,8.689435,0.08572988,,0.1663157276388259
2.5182567,2518.2567,2608.1944,0.40356985,7.949148,0.084703945,,0.16432541660566993
2.548236,2548.2360000000003,2638.1736,0.4037335,7.948084,0.079159826,,0.1535698412380007
2.5782151,2578.2151,2668.1528000000003,0.40587536,8.274657,0.08316133,,0.16133274781631005
2.6081944,2608.1944,2698.132,0.40377808,7.9694586,0.07885,,0.15296877966376976
2.6381736,2638.1736,2728.1115,0.3985126,7.151242,0.08369716,,0.16237225651900172
2.6681528,2668.1528000000003,2758.0906999999997,0.4005355,7.5053425,0.07645304,,0.14831868396176762
