a2610615.350090
Narit-cm 06/01/2026 15:05:00 06/01/2026 15:35:00 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 01600 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 S2A0
1 1 1 01600 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 01600 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
30.9573	0.128858	183.823	0.861385	0
61.5206	0.328707	190.287	0.849483	0
234.687	1.95135	94.1774	1.31061	0
470.127	0.252097	0.166597	0.0622319	0
473.46	0.000577664	1.16618	0.148949	0
473.457	0	71.0704	1.18105	0
473.457	0	103.024	1.18037	0
473.457	6.3565E-6	14.4773	0.51894	0
473.457	0	7.98001	0.373732	0
473.457	0	24.7564	0.615518	0
473.457	0	68.4215	0.904233	0
473.457	6.3565E-6	127.397	0.996731	0
473.457	6.3565E-6	145.106	0.962725	0
473.457	0	109.038	0.970206	0
473.457	0	88.2299	0.906954	0
473.457	0	84.9646	0.881109	0
473.457	0	88.9796	0.876348	0
473.457	0	97.8092	0.88825	0
473.457	0	104.173	0.901513	0
473.457	0	114.919	0.894372	0
473.478	0.0147953	135.81	0.88655	1
473.501	0.0220959	159.434	0.88757	1
473.501	0.0220959	178.442	0.903893	1
473.501	0.0220959	187.738	0.896412	1
474.888	0.112598	192.37	0.896072	1
483.766	0.254973	197.035	0.892331	1
490.911	0.244863	194.336	0.907634	1
498.97	0.0956634	196.368	0.861725	1
499.929	0.029162	194.052	0.873287	1
499.902	0.0497766	193.569	0.881449	1
499.849	0.0751718	193.403	0.863086	1
498.293	0.135348	191.837	0.877028	1
487.229	0.373183	193.253	0.859685	1
466.654	0.650879	191.554	0.859685	1
437.535	0.745588	191.52	0.864106	1
406.285	0.727144	192.52	0.863086	1
376.665	0.72045	190.371	0.868527	0
348.654	0.69226	193.653	0.870907	0
322.672	0.665155	190.954	0.867846	0
298.388	0.653483	189.821	0.857644	0
275.268	0.643418	191.52	0.857644	0
253.185	0.637586	189.804	0.847443	0
232.25	0.633572	191.62	0.857985	0
212.128	0.625274	189.221	0.852543	0
192.703	0.620276	188.222	0.850163	0
174.178	0.623476	189.738	0.845062	0
156.245	0.630047	188.588	0.866146	0
138.77	0.630232	189.704	0.841661	0
122.145	0.623128	189.854	0.843702	0
106.554	0.609355	189.055	0.867166	0
92.1233	0.585736	189.721	0.855944	0
79.0766	0.548213	189.721	0.856624	0
67.605	0.498813	188.155	0.866826	0
57.9366	0.444512	187.955	0.868867	0
49.9005	0.386227	187.039	0.857985	0
43.191	0.329184	187.139	0.844382	0
37.9337	0.277123	186.189	0.849483	0
33.8291	0.230614	184.74	0.83486	0
30.5336	0.191195	184.473	0.850503	0
27.9507	0.157426	184.84	0.863426	0
25.9248	0.128992	182.124	0.848463	0
24.416	0.106835	182.291	0.850163	0
23.2557	0.0893321	179.042	0.843362	0
22.2629	0.0741897	178.875	0.839281	0
21.4609	0.0632846	177.126	0.856624	0
20.8172	0.0540566	175.96	0.830439	0
20.3036	0.0463765	174.96	0.859685	0
19.8968	0.0411299	176.077	0.83554	0
