Time,Time_mapping,PBL_MPL_m,rmin_m,rmax_m,PBL_TR40_m,Chosen_mode,HWCT_peak_chosen,PBL_pos_m,HWCT_peak_pos,PBL_neg_m,HWCT_peak_neg,Delta_TR40_minus_MPL_m,NRB_all_nan
2026-01-19 00:05:00,exact,1918.6717,1618.6717,2218.6717,1620,positive,0.005612555,1620,0.005612555,1901.25,-0.057136171,-298.6717,FALSE
2026-01-19 00:35:00,exact,1918.6717,1618.6717,2218.6717,2182.5,positive,0.006991233,2182.5,0.006991233,1893.75,-0.097726299,263.8283,FALSE
2026-01-19 01:05:00,exact,1888.6925,1588.6925,2188.6925,2163.75,positive,0.007959181,2163.75,0.007959181,1848.75,-0.093481285,275.0575,FALSE
2026-01-19 01:35:00,exact,1858.7133,1558.7133,2158.7133,1638.75,positive,0.001637948,1638.75,0.001637948,1830,-0.111295381,-219.9633,FALSE
2026-01-19 02:05:00,exact,1888.6925,1588.6925,2188.6925,1818.75,positive,0.01378879,1818.75,0.01378879,1875,-0.136868776,-69.9425,FALSE
2026-01-19 02:35:00,exact,1918.6717,1618.6717,2218.6717,1747.5,positive,0.00794454,1747.5,0.00794454,1871.25,-0.075370884,-171.1717,FALSE
2026-01-19 03:05:00,exact,1918.6717,1618.6717,2218.6717,1807.5,positive,0.009737371,1807.5,0.009737371,1867.5,-0.087439653,-111.1717,FALSE
2026-01-19 03:35:00,exact,1828.734,1528.734,2128.734,1612.5,positive,0.008172995,1612.5,0.008172995,1785,-0.066983255,-216.234,FALSE
2026-01-19 04:05:00,exact,1798.7548,1498.7548,2098.7548,1526.25,positive,0.006013687,1526.25,0.006013687,1785,-0.051863422,-272.5048,FALSE
2026-01-19 04:35:00,exact,1798.7548,1498.7548,2098.7548,1687.5,positive,0.007165342,1687.5,0.007165342,1755,-0.07527822,-111.2548,FALSE
2026-01-19 05:05:00,exact,1738.7962,1438.7962,2038.7962,1942.5,positive,0.000883483,1942.5,0.000883483,1721.25,-0.046813511,203.7038,FALSE
2026-01-19 05:35:00,exact,1768.7756,1468.7756,2068.7756,1998.75,positive,0.004250077,1998.75,0.004250077,1755,-0.054048168,229.9744,FALSE
2026-01-19 06:05:00,exact,1798.7548,1498.7548,2098.7548,1571.25,positive,0.006032963,1571.25,0.006032963,1766.25,-0.057562668,-227.5048,FALSE
2026-01-19 06:35:00,exact,1828.734,1528.734,2128.734,2092.5,positive,0.004804503,2092.5,0.004804503,1792.5,-0.03384575,263.766,FALSE
2026-01-19 07:05:00,exact,1828.734,1528.734,2128.734,2013.75,positive,0.017661612,2013.75,0.017661612,1781.25,-0.036247237,185.016,FALSE
2026-01-19 07:35:00,exact,1858.7133,1558.7133,2158.7133,2085,positive,0.013074585,2085,0.013074585,2040,-0.013677956,226.2867,FALSE
2026-01-19 08:05:00,exact,1918.6717,1618.6717,2218.6717,1717.5,positive,0.02076338,1717.5,0.02076338,1762.5,-0.019086214,-201.1717,FALSE
2026-01-19 08:35:00,exact,1858.7133,1558.7133,2158.7133,2066.25,positive,0.014446614,2066.25,0.014446614,2010,-0.021095213,207.5367,FALSE
2026-01-19 09:05:00,exact,1858.7133,1558.7133,2158.7133,1560,positive,0.015798701,1560,0.015798701,1721.25,-0.021068145,-298.7133,FALSE
2026-01-19 09:35:00,exact,1828.734,1528.734,2128.734,1920,positive,0.013128907,1920,0.013128907,2122.5,-0.012051821,91.266,FALSE
2026-01-19 10:05:00,exact,1798.7548,1498.7548,2098.7548,1841.25,positive,0.015117576,1841.25,0.015117576,2077.5,-0.031365757,42.4952,FALSE
2026-01-19 10:35:00,exact,1858.7133,1558.7133,2158.7133,2130,positive,0.014281049,2130,0.014281049,1950,-0.012083555,271.2867,FALSE
2026-01-19 11:05:00,exact,1888.6925,1588.6925,2188.6925,2152.5,positive,0.023093307,2152.5,0.023093307,2186.25,-0.019619176,263.8075,FALSE
2026-01-19 11:35:00,exact,1918.6717,1618.6717,2218.6717,1905,positive,0.026335311,1905,0.026335311,1950,-0.022945417,-13.6717,FALSE
2026-01-19 12:05:00,exact,1918.6717,1618.6717,2218.6717,2212.5,positive,0.021669818,2212.5,0.021669818,2167.5,-0.030177988,293.8283,FALSE
2026-01-19 12:35:00,exact,1858.7133,1558.7133,2158.7133,2036.25,positive,0.024064436,2036.25,0.024064436,2081.25,-0.021932364,177.5367,FALSE
2026-01-19 13:05:00,exact,1858.7133,1558.7133,2158.7133,2156.25,positive,0.012430917,2156.25,0.012430917,2122.5,-0.014388199,297.5367,FALSE
2026-01-19 13:35:00,exact,1828.734,1528.734,2128.734,2088.75,positive,0.013323302,2088.75,0.013323302,1845,-0.015359451,260.016,FALSE
2026-01-19 14:05:00,exact,1798.7548,1498.7548,2098.7548,1803.75,positive,0.017839139,1803.75,0.017839139,2062.5,-0.021541475,4.9952,FALSE
2026-01-19 14:35:00,exact,1768.7756,1468.7756,2068.7756,2066.25,positive,0.020945302,2066.25,0.020945302,1980,-0.018614506,297.4744,FALSE
2026-01-19 15:05:00,exact,1768.7756,1468.7756,2068.7756,1470,positive,0.019179833,1470,0.019179833,2036.25,-0.018756275,-298.7756,FALSE
2026-01-19 15:35:00,exact,1738.7962,1438.7962,2038.7962,1631.25,positive,0.007018899,1631.25,0.007018899,1717.5,-0.011657349,-107.5462,FALSE
2026-01-19 16:05:00,exact,1618.8793,1318.8793,1918.8793,1751.25,positive,0.010845427,1751.25,0.010845427,1338.75,-0.012581677,132.3707,FALSE
2026-01-19 16:35:00,exact,1618.8793,1318.8793,1918.8793,1792.5,positive,0.025994525,1792.5,0.025994525,1747.5,-0.021529387,173.6207,FALSE
2026-01-19 17:05:00,exact,1558.9207,1258.9207,1858.9207,1320,positive,0.013238885,1320,0.013238885,1368.75,-0.023891884,-238.9207,FALSE
2026-01-19 17:35:00,exact,1618.8793,1318.8793,1918.8793,1530,positive,0.011690552,1530,0.011690552,1856.25,-0.02657386,-88.8793,FALSE
2026-01-19 18:05:00,exact,1558.9207,1258.9207,1858.9207,1530,positive,0.007955104,1530,0.007955104,1811.25,-0.031885961,-28.9207,FALSE
2026-01-19 18:35:00,exact,1558.9207,1258.9207,1858.9207,1713.75,positive,0.008681013,1713.75,0.008681013,1335,-0.02142629,154.8293,FALSE
2026-01-19 19:05:00,exact,1618.8793,1318.8793,1918.8793,1743.75,positive,0.002657377,1743.75,0.002657377,1890,-0.031045047,124.8707,FALSE
2026-01-19 19:35:00,exact,1708.817,1408.817,2008.817,2002.5,positive,0.005902371,2002.5,0.005902371,1845,-0.039641112,293.683,FALSE
2026-01-19 20:05:00,exact,1918.6717,1618.6717,2218.6717,2115,positive,0.001953517,2115,0.001953517,1916.25,-0.04762376,196.3283,FALSE
2026-01-19 20:35:00,exact,1918.6717,1618.6717,2218.6717,1713.75,positive,0.006239351,1713.75,0.006239351,1957.5,-0.021690223,-204.9217,FALSE
2026-01-19 21:05:00,exact,1858.7133,1558.7133,2158.7133,1762.5,positive,0.005391215,1762.5,0.005391215,1871.25,-0.028474578,-96.2133,FALSE
2026-01-19 21:35:00,exact,1888.6925,1588.6925,2188.6925,1646.25,positive,0.003545967,1646.25,0.003545967,1935,-0.021019823,-242.4425,FALSE
2026-01-19 22:05:00,exact,1918.6717,1618.6717,2218.6717,1713.75,positive,0.003940138,1713.75,0.003940138,1927.5,-0.029170816,-204.9217,FALSE
2026-01-19 22:35:00,exact,1918.6717,1618.6717,2218.6717,1841.25,positive,0.003880919,1841.25,0.003880919,1901.25,-0.024299569,-77.4217,FALSE
