analog,analog_sterr,photon_counting,pc_sterr,overflow_info
29.2847,0.0968626,155.569,0.870227,0.0
46.5687,0.133224,162.899,0.857304,0.0
99.5819,0.604518,92.5281,1.16948,0.0
268.785,1.34223,0.832986,0.147928,0.0
470.869,0.753263,24.3898,0.744063,1.0
500.0,0.0,143.44,1.28919,1.0
499.989,0.0110485,151.554,1.30177,1.0
499.989,0.0110548,39.5835,0.863086,1.0
499.989,0.0110485,21.2911,0.615858,1.0
500.0,0.0,38.5506,0.762086,1.0
500.0,0.0,79.7334,0.982108,1.0
500.0,0.0,135.427,1.07359,1.0
500.0,0.0,166.914,1.04332,1.0
500.0,0.0,143.99,1.0389,1.0
500.0,0.0,120.15,1.00727,1.0
499.99,0.00967577,113.736,1.01135,1.0
500.0,0.0,113.936,1.00557,1.0
500.0,0.0,120.5,0.978028,1.0
499.061,0.0702116,122.016,0.980408,1.0
479.327,0.320915,124.498,0.947422,1.0
439.59,0.360262,141.858,0.967826,1.0
401.64,0.335612,163.998,0.974287,0.0
367.895,0.313101,180.908,0.951502,0.0
337.469,0.295787,191.32,0.927018,0.0
310.493,0.274733,197.401,0.926338,0.0
286.603,0.258526,201.2,0.919196,0.0
265.105,0.240022,200.966,0.943681,0.0
245.981,0.22552,201.699,0.909334,0.0
228.902,0.211707,199.117,0.902193,0.0
213.443,0.198856,196.835,0.916136,0.0
199.47,0.189084,195.552,0.872607,0.0
186.684,0.180168,193.719,0.896752,0.0
174.764,0.172621,192.72,0.881789,0.0
163.761,0.166833,190.504,0.897772,0.0
153.579,0.163092,188.372,0.912055,0.0
143.958,0.159762,186.556,0.904233,0.0
134.814,0.154857,184.39,0.891311,0.0
126.281,0.151012,182.974,0.892671,0.0
118.326,0.148197,182.407,0.889611,0.0
110.771,0.14987,180.058,0.88689,0.0
103.498,0.147795,178.709,0.893691,0.0
96.5244,0.142619,176.993,0.843362,0.0
89.9512,0.139495,174.694,0.883149,0.0
83.6758,0.138194,173.261,0.857304,0.0
77.6405,0.13742,171.429,0.864446,0.0
71.8523,0.136354,169.379,0.895052,0.0
66.286,0.134506,168.996,0.883489,0.0
60.9783,0.13085,166.464,0.867166,0.0
55.9917,0.126381,165.798,0.855264,0.0
51.3258,0.121347,165.748,0.853224,0.0
46.9718,0.115334,161.749,0.864786,0.0
42.9584,0.108037,161.633,0.844042,0.0
39.3393,0.0996459,159.7,0.867846,0.0
36.1216,0.090705,157.618,0.838601,0.0
33.2679,0.0819309,155.402,0.817517,0.0
30.8336,0.0727608,154.302,0.837241,0.0
28.78,0.0641673,150.254,0.821598,0.0
