File,Time,Time_mapping,PBL_MPL_m,rmin_m,rmax_m,PBL_TR40_m,Chosen_mode,HWCT_peak_chosen,PBL_pos_m,HWCT_peak_pos,PBL_neg_m,HWCT_peak_neg,Delta_TR40_minus_MPL_m,NRB_all_nan
NRB_20-01-2026,2026-01-20 00:05:00,exact,1858.7133,1558.7133,2158.7133,1668.75,positive,0.003615983,1668.75,0.003615983,1841.25,-0.00932697,-189.9633,FALSE
NRB_20-01-2026,2026-01-20 00:35:00,exact,1828.734,1528.734,2128.734,1646.25,positive,0.003336848,1646.25,0.003336848,1796.25,-0.042634257,-182.484,FALSE
NRB_20-01-2026,2026-01-20 01:05:00,exact,1858.7133,1558.7133,2158.7133,1991.25,positive,0.005330532,1991.25,0.005330532,1770,-0.02519998,132.5367,FALSE
NRB_20-01-2026,2026-01-20 01:35:00,exact,1858.7133,1558.7133,2158.7133,1661.25,positive,0.004499768,1661.25,0.004499768,1822.5,-0.035148987,-197.4633,FALSE
NRB_20-01-2026,2026-01-20 02:05:00,exact,1828.734,1528.734,2128.734,2100,positive,0.004243753,2100,0.004243753,1796.25,-0.050463372,271.266,FALSE
NRB_20-01-2026,2026-01-20 02:35:00,exact,1828.734,1528.734,2128.734,1822.5,positive,0.011303762,1822.5,0.011303762,1875,-0.036124673,-6.234,FALSE
NRB_20-01-2026,2026-01-20 03:05:00,exact,1888.6925,1588.6925,2188.6925,2058.75,positive,0.008572038,2058.75,0.008572038,2006.25,-0.022332516,170.0575,FALSE
NRB_20-01-2026,2026-01-20 03:35:00,exact,1918.6717,1618.6717,2218.6717,1800,positive,0.015848842,1800,0.015848842,1856.25,-0.041361178,-118.6717,FALSE
NRB_20-01-2026,2026-01-20 04:05:00,exact,1888.6925,1588.6925,2188.6925,1597.5,positive,0.00579063,1597.5,0.00579063,1833.75,-0.044572639,-291.1925,FALSE
NRB_20-01-2026,2026-01-20 04:35:00,exact,1918.6717,1618.6717,2218.6717,2107.5,positive,0.00148782,2107.5,0.00148782,1867.5,-0.045602867,188.8283,FALSE
NRB_20-01-2026,2026-01-20 05:05:00,exact,1978.6303,1678.6303,2278.6303,1822.5,positive,0.010780453,1822.5,0.010780453,1882.5,-0.034755056,-156.1303,FALSE
NRB_20-01-2026,2026-01-20 05:35:00,exact,1888.6925,1588.6925,2188.6925,1605,positive,0.008280243,1605,0.008280243,1878.75,-0.03650929,-283.6925,FALSE
NRB_20-01-2026,2026-01-20 06:05:00,exact,1918.6717,1618.6717,2218.6717,2167.5,positive,0.008202029,2167.5,0.008202029,1871.25,-0.057372595,248.8283,FALSE
NRB_20-01-2026,2026-01-20 06:35:00,exact,1948.651,1648.651,2248.651,1983.75,positive,0.007919898,1983.75,0.007919898,1920,-0.078086149,35.099,FALSE
NRB_20-01-2026,2026-01-20 07:05:00,exact,1918.6717,1618.6717,2218.6717,1983.75,positive,0.015006894,1983.75,0.015006894,1867.5,-0.031433448,65.0783,FALSE
NRB_20-01-2026,2026-01-20 07:35:00,exact,1888.6925,1588.6925,2188.6925,1680,positive,0.017881084,1680,0.017881084,1725,-0.027278027,-208.6925,FALSE
NRB_20-01-2026,2026-01-20 08:05:00,exact,1858.7133,1558.7133,2158.7133,2103.75,positive,0.021243361,2103.75,0.021243361,2051.25,-0.014340377,245.0367,FALSE
NRB_20-01-2026,2026-01-20 08:35:00,exact,1858.7133,1558.7133,2158.7133,1931.25,positive,0.016622019,1931.25,0.016622019,2122.5,-0.021325353,72.5367,FALSE
NRB_20-01-2026,2026-01-20 09:05:00,exact,1858.7133,1558.7133,2158.7133,1983.75,positive,0.021494955,1983.75,0.021494955,2028.75,-0.025250418,125.0367,FALSE
NRB_20-01-2026,2026-01-20 09:35:00,exact,1828.734,1528.734,2128.734,1950,positive,0.021894577,1950,0.021894577,1905,-0.029562901,121.266,FALSE
NRB_20-01-2026,2026-01-20 10:05:00,exact,1888.6925,1588.6925,2188.6925,2002.5,positive,0.029286233,2002.5,0.029286233,2051.25,-0.036203748,113.8075,FALSE
NRB_20-01-2026,2026-01-20 10:35:00,exact,1798.7548,1498.7548,2098.7548,2013.75,positive,0.016892933,2013.75,0.016892933,2081.25,-0.015711189,214.9952,FALSE
NRB_20-01-2026,2026-01-20 11:05:00,exact,1918.6717,1618.6717,2218.6717,,no_data,,,,,,,TRUE
NRB_20-01-2026,2026-01-20 11:35:00,exact,2008.6095,1708.6095,2308.6095,2253.75,positive,0.024207825,2253.75,0.024207825,2306.25,-0.031888506,245.1405,FALSE
NRB_20-01-2026,2026-01-20 12:05:00,exact,2008.6095,1708.6095,2308.6095,2130,positive,0.021734561,2130,0.021734561,2171.25,-0.019008098,121.3905,FALSE
NRB_20-01-2026,2026-01-20 12:35:00,exact,1948.651,1648.651,2248.651,2103.75,positive,0.030646713,2103.75,0.030646713,2148.75,-0.026708754,155.099,FALSE
NRB_20-01-2026,2026-01-20 13:05:00,exact,1948.651,1648.651,2248.651,2156.25,positive,0.01543989,2156.25,0.01543989,2036.25,-0.018252552,207.599,FALSE
