Time,Time_mapping,PBL_MPL_m,rmin_m,rmax_m,PBL_TR40_m,Chosen_mode,HWCT_peak_chosen,PBL_pos_m,HWCT_peak_pos,PBL_neg_m,HWCT_peak_neg,Delta_TR40_minus_MPL_m,NRB_all_nan
2026-01-23 00:05:00,exact,1678.8378,1378.8378,1978.8378,1522.5,positive,0.009838025,1522.5,0.009838025,1582.5,-0.030100217,-156.3378,FALSE
2026-01-23 00:35:00,exact,1918.6717,1618.6717,2218.6717,2152.5,positive,0.001030295,2152.5,0.001030295,1871.25,-0.033106997,233.8283,FALSE
2026-01-23 01:05:00,exact,1738.7962,1438.7962,2038.7962,1511.25,positive,0.002064957,1511.25,0.002064957,1785,-0.030650226,-227.5462,FALSE
2026-01-23 01:35:00,exact,1558.9207,1258.9207,1858.9207,1331.25,negative_fallback,-0.034119465,,,1331.25,-0.034119465,-227.6707,FALSE
2026-01-23 02:05:00,exact,1528.9415,1228.9415,1828.9415,1728.75,positive,5.79643E-05,1728.75,5.79643E-05,1522.5,-0.008696755,199.8085,FALSE
2026-01-23 02:35:00,exact,1648.8585,1348.8585,1948.8585,1905,positive,5.70916E-05,1905,5.70916E-05,1387.5,-0.014622011,256.1415,FALSE
2026-01-23 03:05:00,exact,1409.0246,1109.0246,1709.0246,1267.5,positive,0.059437119,1267.5,0.059437119,1121.25,-0.049403085,-141.5246,FALSE
2026-01-23 03:35:00,exact,1528.9415,1228.9415,1828.9415,1297.5,positive,0.00930559,1297.5,0.00930559,1440,-0.009538088,-231.4415,FALSE
2026-01-23 04:05:00,exact,1409.0246,1109.0246,1709.0246,1597.5,positive,2.02624E-05,1597.5,2.02624E-05,1173.75,-0.004470297,188.4754,FALSE
2026-01-23 04:35:00,exact,1349.066,1049.066,1649.066,1402.5,positive,0.000334788,1402.5,0.000334788,1233.75,-0.003609148,53.434,FALSE
2026-01-23 05:05:00,exact,1409.0246,1109.0246,1709.0246,1507.5,positive,0.000302614,1507.5,0.000302614,1166.25,-0.004309919,98.4754,FALSE
2026-01-23 05:35:00,exact,1349.066,1049.066,1649.066,1485,positive,0.000109012,1485,0.000109012,1125,-0.001954458,135.934,FALSE
2026-01-23 06:05:00,exact,2458.2982,2158.2982,2758.2982,2437.5,positive,0.420806151,2437.5,0.420806151,2561.25,-0.399509811,-20.7982,FALSE
2026-01-23 06:35:00,exact,1409.0246,1109.0246,1709.0246,1657.5,positive,0.000223296,1657.5,0.000223296,1241.25,-0.002734124,248.4754,FALSE
2026-01-23 07:05:00,exact,1409.0246,1109.0246,1709.0246,1706.25,positive,0.000878952,1706.25,0.000878952,1211.25,-0.00359194,297.2254,FALSE
2026-01-23 07:35:00,exact,2098.5472,1798.5472,2398.5472,2351.25,positive,0.007856951,2351.25,0.007856951,2388.75,-0.015730347,252.7028,FALSE
2026-01-23 08:05:00,exact,2068.568,1768.568,2368.568,2366.25,positive,0.013631721,2366.25,0.013631721,2328.75,-0.008796456,297.682,FALSE
2026-01-23 08:35:00,exact,1409.0246,1109.0246,1709.0246,1620,positive,0.008620296,1620,0.008620296,1571.25,-0.00721648,210.9754,FALSE
2026-01-23 09:05:00,exact,1948.651,1648.651,2248.651,2238.75,positive,0.006793992,2238.75,0.006793992,1788.75,-0.005136044,290.099,FALSE
2026-01-23 09:35:00,exact,2638.1736,2338.1736,2938.1736,2505,positive,0.38075834,2505,0.38075834,2561.25,-0.357054017,-133.1736,FALSE
2026-01-23 10:05:00,exact,1439.0038,1139.0038,1739.0038,1552.5,positive,0.006767052,1552.5,0.006767052,1593.75,-0.005001374,113.4962,FALSE
2026-01-23 10:35:00,exact,1468.983,1168.983,1768.983,1507.5,positive,0.00372822,1507.5,0.00372822,1552.5,-0.003946172,38.517,FALSE
2026-01-23 11:05:00,exact,2698.132,2398.132,2998.132,2535,positive,0.370522694,2535,0.370522694,2628.75,-0.287666951,-163.132,FALSE
2026-01-23 11:35:00,exact,1289.1076,989.1076,1589.1076,1582.5,positive,0.006869241,1582.5,0.006869241,1533.75,-0.00604148,293.3924,FALSE
2026-01-23 12:05:00,exact,2638.1736,2338.1736,2938.1736,2523.75,positive,0.324725833,2523.75,0.324725833,2591.25,-0.31113217,-114.4236,FALSE
2026-01-23 12:35:00,exact,1259.1283,959.1283,1559.1283,1522.5,positive,0.007786826,1522.5,0.007786826,1473.75,-0.006933042,263.3717,FALSE
2026-01-23 13:05:00,exact,1558.9207,1258.9207,1858.9207,1792.5,positive,0.013091304,1792.5,0.013091304,1743.75,-0.008990989,233.5793,FALSE
2026-01-23 13:35:00,exact,2638.1736,2338.1736,2938.1736,2512.5,positive,0.284824649,2512.5,0.284824649,2561.25,-0.255794914,-125.6736,FALSE
2026-01-23 14:05:00,exact,2728.1115,2428.1115,3028.1115,2808.75,positive,0.062001603,2808.75,0.062001603,2853.75,-0.041936151,80.6385,FALSE
2026-01-23 14:35:00,exact,2758.0907,2458.0907,3058.0907,2861.25,positive,0.049230228,2861.25,0.049230228,2741.25,-0.039352691,103.1593,FALSE
2026-01-23 15:05:00,exact,2788.07,2488.07,3088.07,2670,positive,0.375428574,2670,0.375428574,2730,-0.429659913,-118.07,FALSE
2026-01-23 15:35:00,exact,2788.07,2488.07,3088.07,3015,positive,0.053966658,3015,0.053966658,3063.75,-0.043423068,226.93,FALSE
2026-01-23 16:05:00,exact,2728.1115,2428.1115,3028.1115,3018.75,positive,0.036196111,3018.75,0.036196111,2981.25,-0.03055931,290.6385,FALSE
2026-01-23 16:35:00,exact,2728.1115,2428.1115,3028.1115,3018.75,positive,0.046975281,3018.75,0.046975281,2711.25,-0.048604874,290.6385,FALSE
2026-01-23 17:05:00,exact,2608.1944,2308.1944,2908.1944,2340,positive,0.028944119,2340,0.028944119,2760,-0.044894758,-268.1944,FALSE
2026-01-23 17:35:00,exact,2578.2151,2278.2151,2878.2151,2771.25,positive,0.043641871,2771.25,0.043641871,2722.5,-0.08140012,193.0349,FALSE
2026-01-23 18:05:00,exact,2518.2567,2218.2567,2818.2567,2737.5,positive,0.048627879,2737.5,0.048627879,2520,-0.052539206,219.2433,FALSE
2026-01-23 18:35:00,exact,2398.3397,2098.3397,2698.3397,2478.75,positive,0.000370171,2478.75,0.000370171,2527.5,-0.06969644,80.4103,FALSE
2026-01-23 19:05:00,exact,2578.2151,2278.2151,2878.2151,2452.5,positive,0.017471903,2452.5,0.017471903,2565,-0.092191384,-125.7151,FALSE
2026-01-23 19:35:00,exact,2548.236,2248.236,2848.236,2373.75,positive,0.011097186,2373.75,0.011097186,2520,-0.077809165,-174.486,FALSE
2026-01-23 20:05:00,exact,2518.2567,2218.2567,2818.2567,2313.75,positive,0.006088778,2313.75,0.006088778,2482.5,-0.046618893,-204.5067,FALSE
2026-01-23 20:35:00,exact,2428.319,2128.319,2728.319,2332.5,positive,0.009600479,2332.5,0.009600479,2392.5,-0.055941404,-95.819,FALSE
2026-01-23 21:05:00,exact,2458.2982,2158.2982,2758.2982,2377.5,positive,0.01861959,2377.5,0.01861959,2437.5,-0.08688901,-80.7982,FALSE
2026-01-23 21:35:00,exact,2428.319,2128.319,2728.319,2208.75,positive,0.011240881,2208.75,0.011240881,2377.5,-0.060680826,-219.569,FALSE
2026-01-23 22:05:00,exact,1588.9001,1288.9001,1888.9001,1818.75,positive,0.000800489,1818.75,0.000800489,1518.75,-0.019483168,229.8499,FALSE
2026-01-23 22:35:00,exact,1588.9001,1288.9001,1888.9001,1848.75,positive,0.003447753,1848.75,0.003447753,1601.25,-0.028992711,259.8499,FALSE
2026-01-23 23:05:00,exact,1439.0038,1139.0038,1739.0038,1267.5,positive,0.002503359,1267.5,0.002503359,1365,-0.027226865,-171.5038,FALSE
2026-01-23 23:35:00,exact,1379.0454,1079.0454,1679.0454,1353.75,negative_fallback,-0.051639534,,,1353.75,-0.051639534,-25.2954,FALSE
