analog,analog_sterr,photon_counting,pc_sterr,overflow_info
5.6927,0.000540757,0.0166597,0.0166632,0.0
5.69155,0.000542119,0.0,0.0,0.0
5.69465,0.000547827,0.0166597,0.0166632,0.0
5.6903,0.000545816,0.0166597,0.0166632,0.0
5.68795,0.000541211,0.0,0.0,0.0
5.69475,0.0005536,0.0333195,0.0234645,0.0
5.69236,0.000543741,0.0,0.0,0.0
5.68609,0.000542443,0.0,0.0,0.0
5.69454,0.000545038,0.0,0.0,0.0
5.69652,0.000533363,0.0,0.0,0.0
5.69191,0.000538292,0.0166597,0.0166632,0.0
5.69521,0.000531936,0.0,0.0,0.0
5.69496,0.000534141,0.0,0.0,0.0
5.69182,0.000538552,0.0,0.0,0.0
5.69332,0.000537125,0.0,0.0,0.0
5.69332,0.000542054,0.0,0.0,0.0
5.69203,0.0005368,0.0,0.0,0.0
5.69358,0.000534336,0.0,0.0,0.0
5.69318,0.000539265,0.0,0.0,0.0
5.69194,0.000544259,0.0,0.0,0.0
5.69321,0.000542378,0.0,0.0,0.0
5.69345,0.00055107,0.0,0.0,0.0
5.69104,0.000530638,0.0,0.0,0.0
5.69428,0.000535438,0.0,0.0,0.0
5.69353,0.000556518,0.0166597,0.0166632,0.0
5.6936,0.000551265,0.0166597,0.0166632,0.0
5.69488,0.00054186,0.0166597,0.0166632,0.0
5.69228,0.000538292,0.0,0.0,0.0
5.6918,0.000529211,0.0166597,0.0166632,0.0
5.69358,0.000526422,0.0,0.0,0.0
5.69268,0.000537644,0.0,0.0,0.0
5.6926,0.000532325,0.0,0.0,0.0
5.69402,0.000543481,0.0166597,0.0166632,0.0
5.69395,0.000536087,0.0,0.0,0.0
5.69438,0.000546919,0.0333195,0.0234645,0.0
5.69333,0.000545492,0.0,0.0,0.0
5.69262,0.00053693,0.0166597,0.0166632,0.0
5.69244,0.000550421,0.0,0.0,0.0
5.69196,0.000531157,0.0,0.0,0.0
5.69233,0.000541016,0.0333195,0.0234645,0.0
5.69257,0.000549513,0.0,0.0,0.0
5.69219,0.000523763,0.0,0.0,0.0
5.69239,0.000530509,0.0,0.0,0.0
5.69285,0.000542703,0.0,0.0,0.0
5.69256,0.000539135,0.0,0.0,0.0
5.69289,0.000530703,0.0,0.0,0.0
5.69232,0.000538616,0.0,0.0,0.0
5.69264,0.000534076,0.0,0.0,0.0
5.69329,0.000535763,0.0166597,0.0166632,0.0
5.6931,0.000534854,0.0,0.0,0.0
5.69255,0.000533038,0.0,0.0,0.0
5.69221,0.00054147,0.0,0.0,0.0
5.69415,0.00052052,0.0,0.0,0.0
5.69374,0.000530833,0.0,0.0,0.0
5.69273,0.000552821,0.0166597,0.0166632,0.0
5.69342,0.000538681,0.0,0.0,0.0
5.69301,0.000529082,0.0,0.0,0.0
5.6919,0.000538292,0.0,0.0,0.0
5.6928,0.000530249,0.0,0.0,0.0
5.69331,0.000540952,0.0166597,0.0166632,0.0
5.6934,0.0005344,0.0,0.0,0.0
5.69251,0.000540497,0.0,0.0,0.0
5.69313,0.00053706,0.0166597,0.0166632,0.0
5.69268,0.000546465,0.0,0.0,0.0
5.6924,0.000528887,0.0,0.0,0.0
5.69283,0.000526812,0.0,0.0,0.0
5.69233,0.000535568,0.0,0.0,0.0
5.69228,0.000521493,0.0,0.0,0.0
5.69332,0.000523698,0.0,0.0,0.0
5.69266,0.000546595,0.0166597,0.0166632,0.0
5.69106,0.000535633,0.0,0.0,0.0
5.69166,0.000520455,0.0,0.0,0.0
5.69241,0.000521039,0.0,0.0,0.0
5.69305,0.000520196,0.0,0.0,0.0
5.69278,0.000542314,0.0,0.0,0.0
5.69287,0.000539979,0.0,0.0,0.0
5.69306,0.000537254,0.0,0.0,0.0
5.69294,0.000536152,0.0,0.0,0.0
5.6925,0.000532844,0.0,0.0,0.0
5.69395,0.000536865,0.0166597,0.0166632,0.0
5.69402,0.000550616,0.0,0.0,0.0
5.69343,0.000554183,0.0333195,0.0234645,0.0
5.69311,0.000534919,0.0,0.0,0.0
5.69231,0.000534076,0.0,0.0,0.0
5.6914,0.000530509,0.0166597,0.0166632,0.0
5.69263,0.00052973,0.0166597,0.0166632,0.0
5.69346,0.000541406,0.0,0.0,0.0
5.6926,0.000540108,0.0,0.0,0.0
5.69156,0.000522077,0.0,0.0,0.0
5.69218,0.00054173,0.0,0.0,0.0
