a2622612.503115
Narit-cm 26/02/2026 12:48:17 26/02/2026 12:50:31 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
5.69399	0.000531092	0	0	0
5.69441	0.000536735	0.0166597	0.0166632	0
5.69744	0.000545427	0.0166597	0.0166632	0
5.69116	0.000543805	0	0	0
5.68991	0.000537708	0	0	0
5.69607	0.000561448	0.0166597	0.0166632	0
5.69462	0.000552108	0.0333195	0.0234645	0
5.68788	0.000546141	0	0	0
5.69531	0.00053213	0.0166597	0.0166632	0
5.69754	0.000536152	0	0	0
5.69277	0.000540497	0	0	0
5.69583	0.000543805	0	0	0
5.69625	0.0005392	0	0	0
5.69351	0.000540368	0	0	0
5.6948	0.000541795	0	0	0
5.6948	0.000541211	0.0166597	0.0166632	0
5.69344	0.000542573	0	0	0
5.69511	0.000541665	0	0	0
5.69522	0.000543092	0	0	0
5.69379	0.000538357	0.0166597	0.0166632	0
5.69375	0.000548022	0	0	0
5.69394	0.0005344	0	0	0
5.69386	0.000546724	0	0	0
5.69594	0.000548216	0	0	0
5.69545	0.000540108	0	0	0
5.69626	0.000549448	0.0166597	0.0166632	0
5.69739	0.00055107	0	0	0
5.69491	0.000535892	0	0	0
5.6943	0.000530574	0	0	0
5.69506	0.00054627	0	0	0
5.69375	0.000539849	0	0	0
5.6945	0.000537449	0.0166597	0.0166632	0
5.69523	0.000530314	0	0	0
5.69382	0.00053946	0	0	0
5.69503	0.000539784	0.0166597	0.0166632	0
5.69582	0.000547762	0	0	0
5.69553	0.000550486	0	0	0
5.69482	0.000543481	0	0	0
5.69411	0.000559372	0.0333195	0.0234645	0
5.69467	0.000547373	0	0	0
5.69423	0.000533038	0	0	0
5.69422	0.000535503	0	0	0
5.69451	0.00055801	0.0166597	0.0166632	0
5.6944	0.000539784	0	0	0
5.69513	0.000546789	0.0166597	0.0166632	0
5.69477	0.000560086	0	0	0
5.69438	0.000540433	0	0	0
5.69366	0.000537903	0.0166597	0.0166632	0
5.69445	0.000535438	0	0	0
5.69408	0.000535373	0	0	0
5.69482	0.000530444	0.0166597	0.0166632	0
5.69573	0.000545557	0.0333195	0.0234645	0
5.69489	0.000548994	0	0	0
5.69464	0.000539525	0	0	0
5.69489	0.000550227	0	0	0
5.69488	0.000539784	0	0	0
5.69562	0.000555351	0	0	0
5.6942	0.000535373	0	0	0
5.69339	0.000531287	0	0	0
5.6945	0.000533168	0	0	0
5.69414	0.000528628	0	0	0
5.69503	0.000531806	0.0166597	0.0166632	0
5.69477	0.000528887	0	0	0
5.69427	0.000541276	0	0	0
5.69363	0.00053453	0	0	0
5.694	0.000537708	0.0166597	0.0166632	0
5.69483	0.000543805	0	0	0
5.69355	0.000538357	0	0	0
5.69407	0.000530184	0	0	0
5.6947	0.000544843	0	0	0
5.69573	0.000539525	0	0	0
5.69518	0.000525385	0	0	0
5.69481	0.000528368	0	0	0
5.69563	0.000524931	0.0166597	0.0166632	0
5.69515	0.000555481	0.0499792	0.0289055	0
5.69564	0.000545103	0	0	0
5.69541	0.000543676	0.0166597	0.0166632	0
5.69574	0.000549838	0	0	0
5.69467	0.000534919	0	0	0
5.69435	0.000533363	0	0	0
5.69487	0.000520844	0	0	0
5.69485	0.000524931	0.0166597	0.0166632	0
5.6942	0.00053213	0.0166597	0.0166632	0
5.69465	0.00054413	0	0	0
5.69495	0.000535568	0	0	0
5.69466	0.000540757	0.0166597	0.0166632	0
5.69432	0.000538552	0	0	0
5.69509	0.000526876	0	0	0
5.69423	0.000548281	0.0166597	0.0166632	0
5.69402	0.000532065	0	0	0
5.69418	0.000533882	0	0	0
5.69423	0.000539135	0	0	0
5.69483	0.0005488	0.0166597	0.0166632	0
5.69526	0.000553665	0	0	0
5.6939	0.000541535	0.0166597	0.0166632	0
5.69456	0.000535049	0	0	0
5.69379	0.000525644	0	0	0
5.6947	0.000538098	0.0166597	0.0166632	0
5.69477	0.000549059	0.0166597	0.0166632	0
5.69487	0.0005464	0	0	0
5.69503	0.000538162	0	0	0
5.69445	0.000524671	0	0	0
5.69549	0.000535373	0	0	0
5.69516	0.00053706	0	0	0
5.69482	0.000535827	0.0166597	0.0166632	0
5.6949	0.000553016	0	0	0
5.69499	0.000541276	0.0166597	0.0166632	0
5.69586	0.000540887	0	0	0
5.6948	0.000540238	0	0	0
5.69495	0.000522985	0	0	0
5.69467	0.000541795	0	0	0
5.69498	0.000536217	0	0	0
5.69451	0.000532519	0	0	0
5.69425	0.000526033	0.0166597	0.0166632	0
5.69443	0.000528109	0	0	0
5.69373	0.000531936	0	0	0
5.69446	0.000540692	0	0	0
5.69461	0.000538227	0.0166597	0.0166632	0
5.6945	0.000524087	0	0	0
5.69446	0.000532973	0	0	0
5.69366	0.000525774	0	0	0
5.69478	0.000546465	0.0166597	0.0166632	0
5.69528	0.000538876	0	0	0
5.69574	0.00053693	0	0	0
5.69475	0.000531222	0	0	0
5.69529	0.000568907	0.0333195	0.0234645	0
5.69395	0.000542249	0.0166597	0.0166632	0
5.69393	0.000542962	0	0	0
5.69492	0.000530574	0	0	0
5.69597	0.000522141	0	0	0
5.69482	0.000534854	0	0	0
5.69388	0.000531092	0	0	0
5.69474	0.000533298	0	0	0
5.69458	0.00054653	0.0166597	0.0166632	0
5.69497	0.000542119	0	0	0
5.69461	0.000535179	0.0166597	0.0166632	0
5.69433	0.000540822	0	0	0
5.69434	0.000530249	0	0	0
5.69416	0.000538616	0	0	0
5.69402	0.000545946	0.0166597	0.0166632	0
5.69493	0.000535892	0	0	0
5.6953	0.000535373	0	0	0
5.69414	0.000535698	0	0	0
5.69339	0.00052759	0	0	0
5.69436	0.00054387	0	0	0
5.69548	0.000540173	0	0	0
5.69397	0.00053479	0	0	0
5.69456	0.000551459	0	0	0
5.69531	0.000561448	0.0666389	0.0333264	0
5.69579	0.000559178	0.0333195	0.0234645	0
5.69498	0.000549967	0	0	0
5.695	0.000536541	0	0	0
5.69512	0.000530184	0	0	0
5.69543	0.000537968	0	0	0
5.69513	0.000529471	0	0	0
5.69537	0.000521947	0	0	0
5.69545	0.000529665	0	0	0
5.69453	0.000532909	0	0	0
5.69504	0.000539979	0	0	0
5.6957	0.000528368	0	0	0
5.69497	0.000535568	0	0	0
5.69497	0.000536671	0.0166597	0.0166632	0
5.69494	0.000549903	0	0	0
