a2572910.501384
Narit    29/07/2025 10:49:14 29/07/2025 10:50:13 0045 0013.384714 0052.542598 00.0 00.0
0001201 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 001201 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 001201 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 001201 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 001201 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
11.036	0.0167664	67.8435	1.1422	0
11.0361	0.0164266	67.4438	1.13932	0
11.0232	0.0164725	66.378	1.12778	0
11.0349	0.0164602	67.3439	1.1422	0
11.0475	0.0164893	65.4788	1.08644	0
11.0104	0.0168242	67.0774	1.12586	0
11.0044	0.0163122	67.8102	1.12586	0
11.0324	0.0159915	67.7769	1.11913	0
11.0319	0.0167967	66.5112	1.14701	0
11.0247	0.0162618	66.4446	1.15566	0
11.0309	0.0164912	66.5112	1.12586	0
11.0348	0.0161807	68.1432	1.14316	0
11.0428	0.0164959	67.1774	1.11336	0
11.0272	0.0163366	65.945	1.10855	0
11.0106	0.0165284	67.4771	1.11336	0
11.0362	0.0167385	66.9775	1.10086	0
11.0361	0.0160956	65.179	1.12297	0
11.0106	0.016632	67.0774	1.13259	0
11.0311	0.0168367	67.1107	1.12009	0
11.0466	0.0164605	68.0433	1.13163	0
11.0384	0.0163973	67.2107	1.12682	0
11.0387	0.0170809	67.0774	1.09798	0
11.0405	0.0161259	67.5437	1.08067	0
11.0153	0.0162227	66.2781	1.14316	0
11.0134	0.016725	68.3097	1.16432	0
11.0463	0.0164814	67.7435	1.10278	0
11.0338	0.0166667	67.3106	1.12393	0
11.0473	0.0163512	66.6112	1.10759	0
11.0396	0.0163863	66.5779	1.1124	0
11.0119	0.0169285	65.6453	1.11432	0
11.0341	0.0168942	67.9434	1.16143	0
11.0397	0.016489	67.1774	1.1297	0
11.0156	0.0160461	64.5462	1.08836	0
11.0001	0.0166568	67.4438	1.16047	0
11.0115	0.0161789	69.2423	1.18931	0
11.0309	0.0158431	68.0433	1.13451	0
11.0333	0.0163021	67.0774	1.16912	0
11.0695	0.0164446	66.3114	1.09317	0
11.0472	0.0167857	66.1116	1.09894	0
10.9989	0.0163314	68.7427	1.14124	0
11.0309	0.016475	69.5087	1.15758	0
11.0532	0.0168884	65.3789	1.11432	0
11.0162	0.0167013	66.9442	1.13643	0
11.0231	0.0166447	66.4779	1.18066	0
11.0439	0.0167672	66.4446	1.1249	0
11.0241	0.0169526	67.577	1.1249	0
11.0212	0.0159419	66.9442	1.14797	0
11.0366	0.0169751	66.0783	1.16335	0
11.0313	0.0165491	68.0766	1.12009	0
11.0194	0.0158627	67.0108	1.1172	0
