analog,analog_sterr,photon_counting,pc_sterr,overflow_info
11.6518,0.0135453,80.3331,1.16816,0.0
11.6293,0.0135879,74.8043,1.17778,0.0
11.5788,0.0139444,76.836,1.14605,0.0
11.5483,0.0132182,76.3364,1.15566,0.0
11.5853,0.0134485,76.7694,1.14028,0.0
11.6137,0.0133405,75.3039,1.17105,0.0
11.6195,0.0136966,76.5362,1.19027,0.0
11.6378,0.013494,78.7677,1.17874,0.0
11.6633,0.0136951,75.2373,1.17393,0.0
11.628,0.0134025,76.403,1.16528,0.0
11.6041,0.0133383,78.035,1.17297,0.0
11.5792,0.0136157,75.6037,1.15085,0.0
11.5493,0.0140606,77.169,1.21431,0.0
11.5787,0.0134388,77.3022,1.15085,0.0
11.6228,0.0135409,75.0375,1.17874,0.0
11.6386,0.0140507,75.5704,1.17201,0.0
11.6382,0.0136392,74.3714,1.1124,0.0
11.6237,0.013385,76.1366,1.17201,0.0
11.5953,0.0138299,75.1041,1.15758,0.0
11.5587,0.0141248,75.204,1.14701,0.0
11.5561,0.0138492,74.5712,1.20277,0.0
11.6085,0.0135367,75.2373,1.10182,0.0
11.6566,0.0139216,75.1707,1.1547,0.0
11.6614,0.0135613,75.2373,1.16912,0.0
11.6206,0.0138391,75.8368,1.1672,0.0
11.584,0.0137931,74.5712,1.1797,0.0
11.5769,0.0135877,74.5046,1.15182,0.0
11.5707,0.0137333,77.3356,1.14893,0.0
11.5839,0.0134463,75.1374,1.15278,0.0
11.6212,0.0137467,76.0366,1.19797,0.0
11.6312,0.0137261,74.5379,1.18066,0.0
11.6109,0.0135921,75.0708,1.16047,0.0
11.611,0.0136381,75.5704,1.14893,0.0
11.5869,0.0137733,74.8043,1.18066,0.0
11.5707,0.0137883,73.9717,1.14989,0.0
11.6124,0.0142222,76.1366,1.15182,0.0
11.6281,0.0136675,75.3039,1.17681,0.0
11.6204,0.0133172,77.2356,1.16047,0.0
11.6429,0.0134459,75.8035,1.21143,0.0
11.6105,0.013562,73.9051,1.14797,0.0
11.5651,0.0136742,74.6378,1.15278,0.0
11.5913,0.0138778,78.6345,1.17393,0.0
11.5906,0.0134399,74.5379,1.17105,0.0
11.5809,0.0137892,74.5712,1.16047,0.0
11.6076,0.0133669,74.1382,1.16335,0.0
11.6018,0.013913,75.8701,1.1922,0.0
11.5922,0.0135943,77.3689,1.18162,0.0
11.5915,0.013719,73.4388,1.19797,0.0
11.5815,0.013706,75.6703,1.12682,0.0
11.6001,0.0134995,76.3031,1.2095,0.0
11.6048,0.0132521,76.5362,1.16432,0.0
11.6126,0.0134302,74.1382,1.11432,0.0
11.6146,0.0133942,75.0375,1.15085,0.0
11.5864,0.0136946,75.9034,1.2047,0.0
11.591,0.0135075,75.8368,1.1547,0.0
11.5977,0.012803,74.9376,1.1922,0.0
11.585,0.0132801,74.0716,1.13355,0.0
11.5927,0.0133469,74.8043,1.15662,0.0
11.5983,0.0131217,77.1024,1.19604,0.0
11.6061,0.0139952,73.3056,1.16624,0.0
11.5741,0.0135266,74.8709,1.21335,0.0
11.5892,0.013609,75.7036,1.12586,0.0
11.6347,0.0137404,73.3389,1.13643,0.0
11.5956,0.0133801,73.9717,1.15662,0.0
11.5787,0.0136328,76.1032,1.12682,0.0
11.6089,0.0137775,78.5012,1.18739,0.0
11.6096,0.0138976,74.3381,1.11432,0.0
11.5798,0.0138307,74.6378,1.13932,0.0
11.5735,0.013353,74.9376,1.14893,0.0
11.5938,0.0136827,76.2365,1.20277,0.0
11.6004,0.0136079,75.7702,1.14412,0.0
11.5785,0.0132979,74.9042,1.20566,0.0
11.6013,0.0133265,75.0708,1.14797,0.0
11.6242,0.013355,75.0708,1.1797,0.0
11.5832,0.0139346,75.5037,1.2095,0.0
11.5693,0.0134351,74.4713,1.14989,0.0
11.5902,0.0133071,77.5021,1.15566,0.0
11.5997,0.0138532,76.4696,1.17489,0.0
11.5937,0.0135273,76.2365,1.14797,0.0
11.5893,0.0136258,75.1374,1.11817,0.0
11.5965,0.013355,76.4363,1.1547,0.0
11.6003,0.0136304,76.5695,1.1672,0.0
11.5923,0.0133788,74.0716,1.15951,0.0
11.5908,0.0132488,75.0042,1.1249,0.0
11.6042,0.0134608,75.0042,1.17297,0.0
11.577,0.0133251,76.1366,1.18931,0.0
11.5747,0.0137738,74.3714,1.15566,0.0
11.5937,0.0135906,74.7377,1.18162,0.0
11.5943,0.0137641,77.2356,1.10471,0.0
11.6101,0.0141762,73.0724,1.09413,0.0
11.5871,0.0137371,77.1024,1.12393,0.0
11.5857,0.0139057,75.8368,1.18451,0.0
11.6037,0.013917,75.2706,1.19027,0.0
11.5856,0.0136273,76.6028,1.22104,0.0
11.5721,0.0134912,76.5362,1.18162,0.0
11.5869,0.0138633,74.4713,1.13643,0.0
11.5863,0.0136977,75.5037,1.16432,0.0
11.5794,0.0136249,76.1699,1.14124,0.0
11.5892,0.0133155,77.5354,1.16239,0.0
11.5789,0.0134905,74.8709,1.17874,0.0
11.5832,0.0134072,77.0358,1.20181,0.0
11.6034,0.0135015,75.7036,1.17778,0.0
11.5903,0.0135662,76.6028,1.14412,0.0
