time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
210.17361,0.029979246,22.140562,210.17361,0.029979246,18.919947,210.17361,30.222221,210.17361,30.61111,210.17361,28.0,210.17361,79.0,210.17361,8.04672,210.17361,158.0,210.17361,962.8551,210.17361,26.550196,210.17361,0.0,210.17361,0.0,210.17361,0.0,210.17361,1.9901487,210.17361,2.0114226,210.17361,24.34,210.17361,24.24,210.17361,24.04,210.17361,20250729,210.17361,041000,210.17361,2025.0,210.17361,7.0,210.17361,29.0,210.17361,4.0,210.17361,10.0,210.17361,0.0,210.17361,-1.0,210.17361,-999.0,210.17361,-999.0,210.17361,-999.0,210.17361,4.091,210.17361,2500.0,210.17361,0.029979246,1287.1829,210.17361,0.029979246,1042.516,210.17361,,210.17361,,210.17361,,210.17361,,210.17361,,210.17361,,210.17361,,210.17361,,210.17361,0.11991698,0.14602506,210.17361,0.11991698,0.0059597716,,,,,,,,,,,,,210.17361,0.0,0.0,1.1991699,210.17361,0.0,2.3084018,210.17361,0.11991698,,210.17361,0.11991698,,210.17361,0.11991698,-0.01657247,210.17361,0.11991698,0.03921294,210.17361,0.11991698,6.0,210.17361,0.0,WaterCloud,210.17361,,210.17361,
210.17361,0.05995849,7.9912987,210.17361,0.05995849,2.8353415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.17361,0.05995849,383.34586,210.17361,0.05995849,50.799736,,,,,,,,,,,,,,,,,210.17361,0.14989623,0.13824923,210.17361,0.14989623,0.006254368,,,,,,,,,,,,,210.17361,0.0,1.0,1.468983,210.17361,1.0,,210.17361,0.14989623,,210.17361,0.14989623,,210.17361,0.14989623,-0.01557175,210.17361,0.14989623,0.043281745,210.17361,0.14989623,6.0,210.17361,1.0,MixedCloud,,,,
210.17361,0.08993774,7.4116464,210.17361,0.08993774,2.5239625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.17361,0.08993774,346.3184,210.17361,0.08993774,31.60128,,,,,,,,,,,,,,,,,210.17361,0.17987548,0.1370892,210.17361,0.17987548,0.0069110175,,,,,,,,,,,,,210.17361,0.0,2.0,1.708817,210.17361,2.0,,210.17361,0.17987548,,210.17361,0.17987548,,210.17361,0.17987548,-0.015267785,210.17361,0.17987548,0.047993105,210.17361,0.17987548,6.0,210.17361,2.0,Ice/dust/ash,,,,
210.17361,0.11991698,7.308969,210.17361,0.11991698,2.3912985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.17361,0.11991698,339.7595,210.17361,0.11991698,23.42172,,,,,,,,,,,,,,,,,210.17361,0.20985472,0.13394667,210.17361,0.20985472,0.0064529353,,,,,,,,,,,,,210.17361,1.0,0.0,2.4582982,210.17361,3.0,,210.17361,0.20985472,,210.17361,0.20985472,,210.17361,0.20985472,-0.014777362,210.17361,0.20985472,0.045961205,210.17361,0.20985472,6.0,210.17361,3.0,Rain/Dust,,,,
210.17361,0.14989623,6.799866,210.17361,0.14989623,2.3302543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.17361,0.14989623,307.23865,210.17361,0.14989623,19.657963,,,,,,,,,,,,,,,,,210.17361,0.23983397,0.14025368,210.17361,0.23983397,0.008219741,,,,,,,,,,,,,210.17361,1.0,1.0,2.698132,210.17361,4.0,,210.17361,0.23983397,,210.17361,0.23983397,,210.17361,0.23983397,-0.015222881,210.17361,0.23983397,0.055361703,210.17361,0.23983397,6.0,210.17361,4.0,Molecular,,,,
210.17361,0.17987548,6.54498,210.17361,0.17987548,2.3065596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.17361,0.17987548,290.95685,210.17361,0.17987548,18.197033,,,,,,,,,,,,,,,,,210.17361,0.2698132,0.13194764,210.17361,0.2698132,0.005540094,,,,,,,,,,,,,210.17361,1.0,2.0,,210.17361,5.0,,210.17361,0.2698132,,210.17361,0.2698132,,210.17361,0.2698132,-0.014244687,210.17361,0.2698132,0.040295187,210.17361,0.2698132,6.0,210.17361,5.0,CleanAerosol,,,,
210.17361,0.20985472,6.232664,210.17361,0.20985472,2.2603748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.17361,0.20985472,271.0065,210.17361,0.20985472,15.349454,,,,,,,,,,,,,,,,,210.17361,0.29979247,0.12374702,210.17361,0.29979247,0.0038328867,,,,,,,,,,,,,210.17361,2.0,0.0,4.6168036,210.17361,6.0,,210.17361,0.29979247,,210.17361,0.29979247,,210.17361,0.29979247,-0.013308809,210.17361,0.29979247,0.030043026,210.17361,0.29979247,6.0,210.17361,6.0,PollutedAerosol,,,,
210.17361,0.23983397,6.208969,210.17361,0.23983397,2.2890227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.17361,0.23983397,269.4929,210.17361,0.23983397,17.115776,,,,,,,,,,,,,,,,,210.17361,0.3297717,0.13711932,210.17361,0.3297717,0.0068321526,,,,,,,,,,,,,210.17361,2.0,1.0,8.5440855,210.17361,7.0,,210.17361,0.3297717,,210.17361,0.3297717,,210.17361,0.3297717,-0.014430475,210.17361,0.3297717,0.0474615,210.17361,0.3297717,6.0,210.17361,7.0,Undetected,,,,
210.17361,0.2698132,5.6915665,210.17361,0.2698132,2.1894243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.17361,0.2698132,236.44188,210.17361,0.2698132,10.974912,,,,,,,,,,,,,,,,,210.17361,0.35975096,0.15725438,210.17361,0.35975096,0.007255265,,,,,,,,,,,,,210.17361,2.0,2.0,,210.17361,8.0,,210.17361,0.35975096,,210.17361,0.35975096,,210.17361,0.35975096,-0.01613717,210.17361,0.35975096,0.044102367,210.17361,0.35975096,6.0,,,,,,,
210.17361,0.29979247,5.213119,210.17361,0.29979247,2.1283803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.17361,0.29979247,205.87926,210.17361,0.29979247,7.2111697,,,,,,,,,,,,,,,,,210.17361,0.3897302,0.17239064,210.17361,0.3897302,0.009631818,,,,,,,,,,,,,210.17361,3.0,0.0,9.083712,210.17361,9.0,,210.17361,0.3897302,,210.17361,0.3897302,,210.17361,0.3897302,-0.01731661,210.17361,0.3897302,0.05291555,210.17361,0.3897302,6.0,,,,,,,
210.17361,0.3297717,5.2609105,210.17361,0.3297717,2.1872826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.17361,0.3297717,208.93211,210.17361,0.3297717,10.842862,,,,,,,,,,,,,,,,,210.17361,0.41970944,0.18679813,210.17361,0.41970944,0.009196085,,,,,,,,,,,,,210.17361,3.0,1.0,16.548544,,,,210.17361,0.41970944,,210.17361,0.41970944,,210.17361,0.41970944,-0.018376324,210.17361,0.41970944,0.046920184,210.17361,0.41970944,6.0,,,,,,,
