analog,analog_sterr,photon_counting,pc_sterr,overflow_info,bin_index,range_m,time_tag,file_type,source_file
13.6419,0.0173933,118.884,0.771268,0.0,0,0.0,10.33,background,10.33 Only Background [TR 258].dat
13.634,0.0175359,120.017,0.78351,0.0,1,3.75,10.33,background,10.33 Only Background [TR 258].dat
13.5897,0.0171659,120.666,0.802214,0.0,2,7.5,10.33,background,10.33 Only Background [TR 258].dat
13.6042,0.0173023,120.183,0.790652,0.0,3,11.25,10.33,background,10.33 Only Background [TR 258].dat
13.6447,0.0169477,118.251,0.799493,0.0,4,15.0,10.33,background,10.33 Only Background [TR 258].dat
13.6396,0.0178014,119.284,0.818877,0.0,5,18.75,10.33,background,10.33 Only Background [TR 258].dat
13.6089,0.0173098,118.834,0.775009,0.0,6,22.5,10.33,background,10.33 Only Background [TR 258].dat
13.6097,0.0177061,118.117,0.789291,0.0,7,26.25,10.33,background,10.33 Only Background [TR 258].dat
13.6371,0.0175392,119.7,0.803574,0.0,8,30.0,10.33,background,10.33 Only Background [TR 258].dat
13.6213,0.016845,119.95,0.785211,0.0,9,33.75,10.33,background,10.33 Only Background [TR 258].dat
13.6034,0.0168552,118.917,0.791332,0.0,10,37.5,10.33,background,10.33 Only Background [TR 258].dat
13.587,0.017414,117.701,0.802894,0.0,11,41.25,10.33,background,10.33 Only Background [TR 258].dat
13.5948,0.0172333,117.834,0.798813,0.0,12,45.0,10.33,background,10.33 Only Background [TR 258].dat
13.6346,0.0176826,118.701,0.787591,0.0,13,48.75,10.33,background,10.33 Only Background [TR 258].dat
13.643,0.0174866,117.651,0.775349,0.0,14,52.5,10.33,background,10.33 Only Background [TR 258].dat
13.6218,0.0171659,118.967,0.794052,0.0,15,56.25,10.33,background,10.33 Only Background [TR 258].dat
13.6445,0.0171261,118.267,0.796773,0.0,16,60.0,10.33,background,10.33 Only Background [TR 258].dat
13.6471,0.017589,118.651,0.792352,0.0,17,63.75,10.33,background,10.33 Only Background [TR 258].dat
13.6249,0.0174572,118.234,0.762426,0.0,18,67.5,10.33,background,10.33 Only Background [TR 258].dat
13.6352,0.0174071,119.733,0.771268,0.0,19,71.25,10.33,background,10.33 Only Background [TR 258].dat
13.6479,0.0174223,118.434,0.792692,0.0,20,75.0,10.33,background,10.33 Only Background [TR 258].dat
13.6308,0.0173983,117.534,0.801874,0.0,21,78.75,10.33,background,10.33 Only Background [TR 258].dat
13.6146,0.0177791,118.734,0.78249,0.0,22,82.5,10.33,background,10.33 Only Background [TR 258].dat
13.6259,0.0175432,119.0,0.78181,0.0,23,86.25,10.33,background,10.33 Only Background [TR 258].dat
13.6307,0.0174496,117.851,0.785551,0.0,24,90.0,10.33,background,10.33 Only Background [TR 258].dat
13.6205,0.0168964,118.401,0.778409,0.0,25,93.75,10.33,background,10.33 Only Background [TR 258].dat
13.5894,0.0170863,119.184,0.790312,0.0,26,97.5,10.33,background,10.33 Only Background [TR 258].dat
13.5762,0.0174878,119.617,0.799833,0.0,27,101.25,10.33,background,10.33 Only Background [TR 258].dat
13.6103,0.0174913,118.917,0.790992,0.0,28,105.0,10.33,background,10.33 Only Background [TR 258].dat
13.6114,0.0176056,118.917,0.793032,0.0,29,108.75,10.33,background,10.33 Only Background [TR 258].dat
13.6194,0.0172916,119.517,0.793712,0.0,30,112.5,10.33,background,10.33 Only Background [TR 258].dat
13.6318,0.0171397,117.434,0.804594,0.0,31,116.25,10.33,background,10.33 Only Background [TR 258].dat
13.6239,0.0175556,120.3,0.797453,0.0,32,120.0,10.33,background,10.33 Only Background [TR 258].dat
13.6357,0.0171934,118.884,0.788951,0.0,33,123.75,10.33,background,10.33 Only Background [TR 258].dat
13.6259,0.0171127,118.701,0.796773,0.0,34,127.5,10.33,background,10.33 Only Background [TR 258].dat
13.5885,0.0175898,118.234,0.785551,0.0,35,131.25,10.33,background,10.33 Only Background [TR 258].dat
13.608,0.0169911,119.184,0.788611,0.0,36,135.0,10.33,background,10.33 Only Background [TR 258].dat
13.6454,0.017275,118.967,0.778409,0.0,37,138.75,10.33,background,10.33 Only Background [TR 258].dat
13.6177,0.0174037,119.783,0.78385,0.0,38,142.5,10.33,background,10.33 Only Background [TR 258].dat
13.6115,0.0169689,118.334,0.765827,0.0,39,146.25,10.33,background,10.33 Only Background [TR 258].dat
13.6237,0.017473,119.034,0.78419,0.0,40,150.0,10.33,background,10.33 Only Background [TR 258].dat
13.6065,0.0176016,119.167,0.785551,0.0,41,153.75,10.33,background,10.33 Only Background [TR 258].dat
13.6406,0.0175135,119.034,0.788611,0.0,42,157.5,10.33,background,10.33 Only Background [TR 258].dat
13.6379,0.0170725,119.534,0.806295,0.0,43,161.25,10.33,background,10.33 Only Background [TR 258].dat
13.6073,0.017559,119.367,0.764127,0.0,44,165.0,10.33,background,10.33 Only Background [TR 258].dat
13.6227,0.0170234,117.484,0.779429,0.0,45,168.75,10.33,background,10.33 Only Background [TR 258].dat
13.618,0.0173731,118.617,0.775689,0.0,46,172.5,10.33,background,10.33 Only Background [TR 258].dat
13.6195,0.0171646,117.801,0.787251,0.0,47,176.25,10.33,background,10.33 Only Background [TR 258].dat
13.6163,0.0174295,118.151,0.805614,0.0,48,180.0,10.33,background,10.33 Only Background [TR 258].dat
13.5992,0.0170444,118.684,0.796093,0.0,49,183.75,10.33,background,10.33 Only Background [TR 258].dat
13.6035,0.017043,117.701,0.784871,0.0,50,187.5,10.33,background,10.33 Only Background [TR 258].dat
13.6086,0.0174753,120.483,0.778069,0.0,51,191.25,10.33,background,10.33 Only Background [TR 258].dat
13.6363,0.0173092,119.434,0.790312,0.0,52,195.0,10.33,background,10.33 Only Background [TR 258].dat
13.6342,0.0171391,118.8,0.772288,0.0,53,198.75,10.33,background,10.33 Only Background [TR 258].dat
13.6159,0.0172565,119.067,0.793032,0.0,54,202.5,10.33,background,10.33 Only Background [TR 258].dat
13.6208,0.0174706,118.85,0.78147,0.0,55,206.25,10.33,background,10.33 Only Background [TR 258].dat
13.609,0.0171567,119.134,0.789971,0.0,56,210.0,10.33,background,10.33 Only Background [TR 258].dat
13.5988,0.0172909,118.534,0.78181,0.0,57,213.75,10.33,background,10.33 Only Background [TR 258].dat
13.6111,0.0170645,118.167,0.787591,0.0,58,217.5,10.33,background,10.33 Only Background [TR 258].dat
13.6157,0.0171713,119.067,0.800173,0.0,59,221.25,10.33,background,10.33 Only Background [TR 258].dat
13.6226,0.0176001,118.234,0.787251,0.0,60,225.0,10.33,background,10.33 Only Background [TR 258].dat
13.6461,0.0175616,119.217,0.767187,0.0,61,228.75,10.33,background,10.33 Only Background [TR 258].dat
13.6181,0.0174864,119.284,0.792012,0.0,62,232.5,10.33,background,10.33 Only Background [TR 258].dat
