a2622610.330060
Narit-cm 26/02/2026 10:30:59 26/02/2026 10:33:00 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
13.6419	0.0173933	118.884	0.771268	0
13.634	0.0175359	120.017	0.78351	0
13.5897	0.0171659	120.666	0.802214	0
13.6042	0.0173023	120.183	0.790652	0
13.6447	0.0169477	118.251	0.799493	0
13.6396	0.0178014	119.284	0.818877	0
13.6089	0.0173098	118.834	0.775009	0
13.6097	0.0177061	118.117	0.789291	0
13.6371	0.0175392	119.7	0.803574	0
13.6213	0.016845	119.95	0.785211	0
13.6034	0.0168552	118.917	0.791332	0
13.587	0.017414	117.701	0.802894	0
13.5948	0.0172333	117.834	0.798813	0
13.6346	0.0176826	118.701	0.787591	0
13.643	0.0174866	117.651	0.775349	0
13.6218	0.0171659	118.967	0.794052	0
13.6445	0.0171261	118.267	0.796773	0
13.6471	0.017589	118.651	0.792352	0
13.6249	0.0174572	118.234	0.762426	0
13.6352	0.0174071	119.733	0.771268	0
13.6479	0.0174223	118.434	0.792692	0
13.6308	0.0173983	117.534	0.801874	0
13.6146	0.0177791	118.734	0.78249	0
13.6259	0.0175432	119	0.78181	0
13.6307	0.0174496	117.851	0.785551	0
13.6205	0.0168964	118.401	0.778409	0
13.5894	0.0170863	119.184	0.790312	0
13.5762	0.0174878	119.617	0.799833	0
13.6103	0.0174913	118.917	0.790992	0
13.6114	0.0176056	118.917	0.793032	0
13.6194	0.0172916	119.517	0.793712	0
13.6318	0.0171397	117.434	0.804594	0
13.6239	0.0175556	120.3	0.797453	0
13.6357	0.0171934	118.884	0.788951	0
13.6259	0.0171127	118.701	0.796773	0
13.5885	0.0175898	118.234	0.785551	0
13.608	0.0169911	119.184	0.788611	0
13.6454	0.017275	118.967	0.778409	0
13.6177	0.0174037	119.783	0.78385	0
13.6115	0.0169689	118.334	0.765827	0
13.6237	0.017473	119.034	0.78419	0
13.6065	0.0176016	119.167	0.785551	0
13.6406	0.0175135	119.034	0.788611	0
13.6379	0.0170725	119.534	0.806295	0
13.6073	0.017559	119.367	0.764127	0
13.6227	0.0170234	117.484	0.779429	0
13.618	0.0173731	118.617	0.775689	0
13.6195	0.0171646	117.801	0.787251	0
13.6163	0.0174295	118.151	0.805614	0
13.5992	0.0170444	118.684	0.796093	0
13.6035	0.017043	117.701	0.784871	0
13.6086	0.0174753	120.483	0.778069	0
13.6363	0.0173092	119.434	0.790312	0
