analog,analog_sterr,photon_counting,pc_sterr,overflow_info,bin_index,range_m,time_tag,file_type,source_file
13.5192,0.176196,130.667,8.17059,0.0,0,0.0,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.9592,0.138227,122.667,5.94225,0.0,1,3.75,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.9534,0.17119,108.0,5.69466,0.0,2,7.5,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.7102,0.144508,112.0,6.43744,0.0,3,11.25,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.4478,0.113009,117.333,6.43744,0.0,4,15.0,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.419,0.166562,117.333,5.69466,0.0,5,18.75,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.7415,0.17152,126.667,7.42781,0.0,6,22.5,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.8539,0.160989,113.333,6.18984,0.0,7,26.25,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.874,0.1506,128.0,6.18984,0.0,8,30.0,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.7855,0.165853,113.333,5.69466,0.0,9,33.75,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.5752,0.143233,112.0,7.18022,0.0,10,37.5,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.6433,0.152394,110.667,5.94225,0.0,11,41.25,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.5777,0.154472,116.0,7.67541,0.0,12,45.0,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.2832,0.121368,124.0,8.41819,0.0,13,48.75,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.3529,0.15655,113.333,7.67541,0.0,14,52.5,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.6955,0.191874,129.333,7.67541,0.0,15,56.25,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.86,0.147105,128.0,6.68503,0.0,16,60.0,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.7817,0.165334,128.0,9.16097,0.0,17,63.75,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.5693,0.16472,114.667,7.42781,0.0,18,67.5,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.8272,0.157872,116.0,7.923,0.0,19,71.25,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.901,0.141863,110.667,6.43744,0.0,20,75.0,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.6543,0.142241,129.333,8.41819,0.0,21,78.75,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.6652,0.118156,124.0,7.18022,0.0,22,82.5,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.6609,0.192724,117.333,7.18022,0.0,23,86.25,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.5411,0.167412,113.333,6.68503,0.0,24,90.0,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.4862,0.155181,118.667,6.93263,0.0,25,93.75,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.7082,0.178887,113.333,7.67541,0.0,26,97.5,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.8313,0.151261,117.333,6.93263,0.0,27,101.25,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.666,0.166137,102.667,5.94225,0.0,28,105.0,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.576,0.147861,126.667,6.68503,0.0,29,108.75,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.7357,0.115087,114.667,8.17059,0.0,30,112.5,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.6774,0.147766,122.667,7.42781,0.0,31,116.25,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.534,0.125901,128.0,8.17059,0.0,32,120.0,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.4839,0.164106,109.333,4.95188,0.0,33,123.75,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.7476,0.163445,129.333,7.18022,0.0,34,127.5,10.33,background,10.33-10.35 Only Background [TR 258].dat
14.0136,0.134732,116.0,7.42781,0.0,35,131.25,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.6225,0.155039,121.333,5.69466,0.0,36,135.0,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.4081,0.138841,108.0,7.42781,0.0,37,138.75,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.5729,0.136763,122.667,6.93263,0.0,38,142.5,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.5032,0.194897,110.667,5.69466,0.0,39,146.25,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.4857,0.132465,122.667,5.44706,0.0,40,150.0,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.6113,0.129396,106.667,5.94225,0.0,41,153.75,10.33,background,10.33-10.35 Only Background [TR 258].dat
13.3796,0.124862,128.0,8.41819,0.0,42,157.5,10.33,background,10.33-10.35 Only Background [TR 258].dat
