analog,analog_sterr,photon_counting,pc_sterr,overflow_info
28.3291,0.0965568,150.404,0.853224,0.0
45.6216,0.143311,161.733,0.83452,0.0
102.274,0.650202,81.6327,1.17322,0.0
270.433,1.33979,1.18284,0.172413,0.0
464.617,0.812597,36.918,0.900153,1.0
500.0,0.0,142.391,1.30857,1.0
499.989,0.0110485,133.928,1.34462,1.0
499.989,0.0110485,53.9608,0.929058,1.0
499.989,0.0110485,47.98,0.868186,1.0
500.0,0.0,89.4461,1.0355,1.0
500.0,0.0,136.26,1.08787,1.0
500.0,0.0,160.666,1.09739,1.0
500.0,0.0,154.386,1.09943,1.0
500.0,0.0,140.508,1.06474,1.0
500.0,0.0,128.963,1.07903,1.0
500.0,0.0,128.63,1.0389,1.0
500.0,0.0,133.944,1.01339,1.0
499.904,0.0165132,131.712,1.02598,1.0
484.589,0.263487,135.76,0.998431,1.0
445.328,0.295537,152.803,0.969866,0.0
408.386,0.26927,172.478,0.970546,0.0
374.998,0.249946,185.339,0.952523,0.0
344.126,0.229478,193.303,0.93926,0.0
316.302,0.211489,199.134,0.879069,0.0
291.113,0.196359,199.55,0.907634,0.0
268.014,0.18157,200.067,0.918856,0.0
247.05,0.16823,199.8,0.920216,0.0
228.058,0.160601,198.217,0.904914,0.0
210.591,0.151383,197.601,0.88791,0.0
194.582,0.141367,195.102,0.88723,0.0
179.972,0.132026,194.202,0.902873,0.0
166.624,0.123032,192.303,0.875668,0.0
154.636,0.116211,189.854,0.924297,0.0
143.682,0.109539,187.105,0.894712,0.0
133.478,0.103346,185.789,0.893351,0.0
124.067,0.0991997,181.508,0.872947,0.0
115.392,0.0953003,180.208,0.88451,0.0
107.282,0.0914528,178.576,0.88417,0.0
99.6089,0.0884479,176.56,0.877368,0.0
92.3893,0.0866881,173.611,0.876688,0.0
85.6117,0.0900766,170.979,0.854244,0.0
79.2507,0.089153,167.697,0.854244,0.0
73.2599,0.079975,166.964,0.842682,0.0
67.6703,0.0770289,164.198,0.831459,0.0
62.4442,0.0756715,161.033,0.861045,0.0
57.6112,0.0737172,158.501,0.842682,0.0
53.1585,0.0705544,158.234,0.83554,0.0
48.9668,0.0679273,156.368,0.826699,0.0
45.091,0.0654451,151.154,0.819897,0.0
41.5431,0.0634656,150.887,0.814456,0.0
38.2799,0.0606439,150.587,0.819557,0.0
35.2961,0.0583208,147.105,0.805614,0.0
32.5539,0.0546563,145.989,0.825338,0.0
30.0777,0.0513672,145.439,0.823638,0.0
27.9335,0.0498465,144.123,0.785551,0.0
26.028,0.0458349,142.207,0.814456,0.0
24.3572,0.0415776,141.908,0.819217,0.0
22.9484,0.0383628,138.875,0.807655,0.0
21.7271,0.034701,138.759,0.795753,0.0
20.7006,0.0319183,137.043,0.803234,0.0
19.8862,0.0292501,137.293,0.803574,0.0
19.2339,0.0262764,134.977,0.792692,0.0
18.7203,0.0245395,134.777,0.792352,0.0
18.3167,0.023526,133.145,0.799153,0.0
17.9646,0.0218303,133.711,0.824658,0.0
17.6894,0.021265,131.445,0.801534,0.0
17.4998,0.0210159,133.011,0.810375,0.0
17.3205,0.0207755,130.296,0.791672,0.0
17.1467,0.0200766,130.012,0.797793,0.0
17.0437,0.0199616,128.746,0.78419,0.0
16.942,0.0197155,129.163,0.78079,0.0
16.8296,0.0199599,128.68,0.805274,0.0
16.7589,0.0194148,128.43,0.787591,0.0
16.6951,0.0194602,128.347,0.798813,0.0
16.6171,0.0197638,127.63,0.797113,0.0
16.5353,0.0191573,127.064,0.78385,0.0
