analog,analog_sterr,photon_counting,pc_sterr,overflow_info
13.8052,0.01605,118.201,0.806975,0.0
13.8307,0.0166221,117.784,0.809015,0.0
13.7977,0.0167528,119.3,0.807655,0.0
13.8005,0.0166439,117.251,0.769568,0.0
13.8223,0.0173268,117.451,0.806975,0.0
13.8043,0.0168244,118.85,0.787931,0.0
13.8148,0.0167319,118.584,0.789631,0.0
13.8282,0.0166352,118.484,0.786571,0.0
13.8041,0.016867,116.285,0.793372,0.0
13.7819,0.0168252,118.767,0.795753,0.0
13.8114,0.0168805,118.584,0.797113,0.0
13.8222,0.0166219,118.251,0.803914,0.0
13.8039,0.016852,118.434,0.813776,0.0
13.8155,0.0165506,117.451,0.787251,0.0
13.821,0.0166675,116.985,0.793712,0.0
13.8226,0.0167539,116.868,0.787251,0.0
13.8042,0.0166295,117.968,0.791672,0.0
13.7767,0.0171528,116.285,0.789291,0.0
13.7893,0.0164868,116.318,0.777729,0.0
13.8003,0.0166133,116.668,0.762766,0.0
13.7816,0.0166725,118.517,0.799493,0.0
13.811,0.0167098,117.718,0.78147,0.0
13.8443,0.0168024,117.201,0.760046,0.0
13.8095,0.016726,116.501,0.776369,0.0
13.8035,0.0166616,117.251,0.796773,0.0
13.838,0.0164933,116.785,0.78113,0.0
13.8209,0.0169884,117.068,0.785211,0.0
13.8082,0.0168838,116.268,0.791332,0.0
13.8049,0.0168544,116.718,0.817857,0.0
13.7908,0.0168852,117.668,0.776709,0.0
13.8069,0.0163368,119.084,0.796433,0.0
13.8288,0.0168745,117.384,0.786571,0.0
13.8181,0.0171628,116.118,0.786231,0.0
13.7906,0.0168966,117.368,0.789971,0.0
13.8156,0.0164098,118.501,0.804934,0.0
13.8211,0.0166119,118.067,0.790992,0.0
13.7871,0.0166404,117.601,0.778749,0.0
13.7885,0.0162771,117.984,0.795753,0.0
13.8088,0.0166095,117.218,0.776369,0.0
13.7983,0.0167257,116.218,0.775689,0.0
13.7752,0.0168576,116.835,0.797453,0.0
13.7636,0.0169905,118.234,0.78011,0.0
13.7782,0.0170758,116.501,0.760046,0.0
13.7959,0.0171604,117.434,0.804254,0.0
13.7848,0.0168401,117.168,0.792352,0.0
13.8011,0.0167357,116.551,0.759026,0.0
13.8309,0.016469,117.268,0.785891,0.0
13.8186,0.0164438,118.817,0.766507,0.0
13.7994,0.016989,116.718,0.800854,0.0
13.8016,0.0169483,118.701,0.788951,0.0
13.8034,0.0165691,117.368,0.78181,0.0
13.8201,0.0170736,118.734,0.789291,0.0
13.8327,0.0169,117.068,0.792012,0.0
13.8144,0.0167434,116.218,0.776369,0.0
13.8045,0.0168009,118.551,0.792012,0.0
13.7918,0.0170577,117.634,0.806975,0.0
13.7947,0.0163056,118.517,0.789291,0.0
13.8176,0.0168707,118.784,0.800854,0.0
13.8186,0.0167373,117.085,0.78147,0.0
13.7916,0.0169812,116.801,0.815816,0.0
13.7631,0.0165235,118.367,0.815136,0.0
13.7952,0.0169128,117.518,0.787251,0.0
13.8144,0.0167379,116.901,0.790312,0.0
13.7991,0.0170972,116.568,0.776709,0.0
13.7962,0.0169112,117.251,0.787251,0.0
13.7891,0.0171253,117.051,0.777389,0.0
13.7993,0.0166816,116.801,0.788611,0.0
13.8098,0.0169886,116.401,0.78283,0.0
13.7918,0.0168171,118.451,0.790652,0.0
13.795,0.0175645,116.485,0.793712,0.0
13.804,0.0168154,117.668,0.808335,0.0
13.7949,0.0166818,117.668,0.78045,0.0
13.8062,0.0170036,116.951,0.778749,0.0
13.8201,0.0169435,117.734,0.794732,0.0
13.8123,0.0171961,116.735,0.776709,0.0
13.791,0.0170982,117.751,0.802894,0.0
13.7981,0.0172511,117.468,0.788611,0.0
13.8071,0.017129,116.018,0.790312,0.0
13.8,0.0166987,118.967,0.797113,0.0
13.8104,0.0166636,117.718,0.797793,0.0
13.8052,0.0168478,116.918,0.771948,0.0
