a2622611.050147
Narit-cm 26/02/2026 10:54:29 26/02/2026 11:05:01 0045 0013.384714 0052.542598 00.0 00.0
0002389 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002389 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002389 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002389 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002389 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
27.5827	0.0862112	151.746	0.846641	0
41.6309	0.106668	161.122	0.851438	0
83.9419	0.492988	98.2001	1.15672	0
222.869	1.12341	2.07618	0.197698	0
408.371	0.988328	36.735	0.906259	1
497.175	0.144088	150.088	1.30337	1
500	0	158.041	1.28966	1
500	0	71.6785	0.992259	1
500	0	58.6522	0.911056	1
500	0	83.5998	0.985749	1
500	0	139.288	1.07792	1
500	0	165.408	1.06455	1
500	0	166.111	1.0625	1
500	0	154.676	1.04297	1
500	0	155.077	1.04126	1
499.995	0.00341417	147.761	1.04228	1
499.356	0.0535595	150.774	1.04605	1
488.908	0.237818	155.965	1.00836	1
461.03	0.321091	147.744	0.994658	1
425.913	0.317078	152.499	1.01556	0
391.745	0.283864	172.44	0.982323	0
362.263	0.258139	187.308	0.968961	0
335.09	0.242673	195.412	1.00391	0
309.285	0.225785	196.986	0.94155	0
285.848	0.211235	203.248	0.92716	0
264.954	0.204549	204.671	0.925789	0
245.888	0.196496	204.404	0.958682	0
228.071	0.182218	201.942	0.90763	0
211.775	0.169197	202.796	0.91551	0
197.218	0.159053	201.909	0.913454	0
183.815	0.153627	199.632	0.89461	0
171.358	0.149894	197.288	0.918594	0
159.858	0.144954	195.797	0.902833	0
149.185	0.138467	194.123	0.932984	0
139.337	0.132237	191.98	0.912084	0
130.318	0.127979	189.351	0.889127	0
122.086	0.124194	186.337	0.92065	0
114.485	0.121038	185.165	0.899064	0
107.428	0.119038	184.044	0.909	0
100.993	0.116686	180.326	0.900777	0
94.9677	0.115129	177.698	0.893582	0
89.1871	0.113624	175.889	0.887414	0
83.7987	0.112133	172.809	0.894952	0
78.6917	0.111246	171.503	0.875765	0
73.8511	0.108825	169.376	0.863088	0
69.4104	0.107026	166.095	0.860346	0
65.181	0.106172	165.726	0.854522	0
61.1495	0.103368	163.7	0.857605	0
57.4293	0.098598	160.167	0.835677	0
53.9996	0.0950332	157.221	0.870968	0
50.7777	0.0924247	156.45	0.874394	0
47.7418	0.0893773	155.714	0.849725	0
44.9001	0.0870301	152.834	0.866171	0
42.2636	0.0852439	149.753	0.834992	0
39.7703	0.0838322	146.84	0.826083	0
37.4363	0.0820319	148.129	0.842872	0
35.3374	0.0794958	147.409	0.83739	0
33.3182	0.0765222	142.135	0.825055	0
31.3347	0.0727279	142.352	0.812721	0
29.5314	0.0682443	141.817	0.814777	0
27.8904	0.0647172	140.008	0.817175	0
26.3519	0.0607283	136.643	0.825398	0
24.9727	0.0562062	136.727	0.825398	0
23.7603	0.0519544	136.358	0.815804	0
22.6738	0.048877	135.404	0.796274	0
21.6835	0.0456144	134.952	0.796617	0
20.809	0.0414269	132.625	0.816147	0
20.068	0.0380851	132.256	0.833279	0
19.3858	0.0353	130.799	0.805526	0
18.7795	0.0320474	131.921	0.823685	0
18.2958	0.0291544	129.393	0.808952	0
17.9068	0.0271016	129.075	0.807239	0
17.5473	0.0251975	128.774	0.811008	0
17.2298	0.0239476	127.802	0.788737	0
16.9806	0.0225185	127.702	0.801071	0
16.768	0.0211612	127.082	0.80484	0
16.5576	0.0199402	125.375	0.798673	0
16.3739	0.0199255	123.633	0.78531	0
16.2233	0.0187191	124.387	0.815462	0
16.1268	0.0184449	124.638	0.795932	0
16.0351	0.0181712	122.779	0.791478	0
15.9229	0.0181244	123.6	0.788737	0
15.863	0.0173654	122.478	0.785653	0
15.799	0.0174762	121.239	0.80484	0
15.7177	0.0173236	123.031	0.780856	0
15.6514	0.0178922	121.925	0.779143	0
15.605	0.0177064	121.976	0.79045	0
15.5864	0.0175316	121.189	0.821629	0
15.5529	0.0172593	121.54	0.813406	0
15.5305	0.0175591	121.775	0.785996	0
15.5027	0.0173257	120.653	0.812378	0
15.4443	0.0170703	121.155	0.784282	0
15.4147	0.01712	121.406	0.798673	0
15.3893	0.0175031	120.988	0.810665	0
15.3588	0.0170409	119.967	0.797302	0
15.3403	0.017078	119.816	0.800729	0
15.3004	0.0168465	120.636	0.818203	0
15.2688	0.0173892	121.021	0.812036	0
15.287	0.0169189	120.469	0.782227	0
15.2729	0.0166545	120.753	0.800386	0
15.2361	0.0166723	120.335	0.802784	0
15.2431	0.0167861	121.44	0.806896	0
15.212	0.016755	119.33	0.79696	0
15.1735	0.0167831	120.318	0.818888	0
15.1824	0.0167508	120.971	0.807924	0
15.1598	0.017143	120.067	0.815462	0
15.1383	0.0171006	120	0.802442	0
15.1462	0.0169693	120.971	0.819573	0
15.1436	0.0171198	120.486	0.782227	0
