analog,analog_sterr,photon_counting,pc_sterr,overflow_info,bin_index,range_m,time_tag,file_type,source_file
25.6581,0.0504022,162.491,0.890317,0.0,0,0.0,11.35,signal,11.35 signal [TR 220].dat
33.5442,0.0803832,166.686,0.881772,0.0,1,3.75,11.35,signal,11.35 signal [TR 220].dat
69.7337,0.443624,95.3113,1.23004,0.0,2,7.5,11.35,signal,11.35 signal [TR 220].dat
183.969,1.00208,2.95863,0.237532,0.0,3,11.25,11.35,signal,11.35 signal [TR 220].dat
327.572,1.04654,56.1137,1.03899,1.0,4,15.0,11.35,signal,11.35 signal [TR 220].dat
413.49,0.925374,162.14,1.24132,1.0,5,18.75,11.35,signal,11.35 signal [TR 220].dat
451.094,0.787309,143.234,1.33018,1.0,6,22.5,11.35,signal,11.35 signal [TR 220].dat
460.906,0.688247,67.664,0.931329,1.0,7,26.25,11.35,signal,11.35 signal [TR 220].dat
449.602,0.76462,65.1066,0.912873,1.0,8,30.0,11.35,signal,11.35 signal [TR 220].dat
439.676,0.807894,102.883,1.03967,1.0,9,33.75,11.35,signal,11.35 signal [TR 220].dat
439.918,0.803623,149.837,1.09435,1.0,10,37.5,11.35,signal,11.35 signal [TR 220].dat
443.026,0.785824,181.162,1.07624,1.0,11,41.25,11.35,signal,11.35 signal [TR 220].dat
447.888,0.754141,180.911,1.05881,1.0,12,45.0,11.35,signal,11.35 signal [TR 220].dat
448.011,0.740561,162.424,1.06428,1.0,13,48.75,11.35,signal,11.35 signal [TR 220].dat
438.452,0.76112,150.606,1.06189,1.0,14,52.5,11.35,signal,11.35 signal [TR 220].dat
423.093,0.76414,142.549,1.03625,1.0,15,56.25,11.35,signal,11.35 signal [TR 220].dat
401.948,0.744485,134.793,1.02532,1.0,16,60.0,11.35,signal,11.35 signal [TR 220].dat
374.073,0.697886,133.339,1.02122,1.0,17,63.75,11.35,signal,11.35 signal [TR 220].dat
343.674,0.638732,138.053,1.00208,0.0,18,67.5,11.35,signal,11.35 signal [TR 220].dat
313.478,0.582491,154.033,0.997291,0.0,19,71.25,11.35,signal,11.35 signal [TR 220].dat
285.168,0.528457,171.985,0.980886,0.0,20,75.0,11.35,signal,11.35 signal [TR 220].dat
259.747,0.474285,186.477,0.965165,0.0,21,78.75,11.35,signal,11.35 signal [TR 220].dat
236.774,0.427626,196.406,0.962089,0.0,22,82.5,11.35,signal,11.35 signal [TR 220].dat
216.284,0.385024,202.641,0.920734,0.0,23,86.25,11.35,signal,11.35 signal [TR 220].dat
198.167,0.345292,206.469,0.929962,0.0,24,90.0,11.35,signal,11.35 signal [TR 220].dat
181.884,0.310381,206.903,0.909798,0.0,25,93.75,11.35,signal,11.35 signal [TR 220].dat
167.459,0.279698,208.625,0.905354,0.0,26,97.5,11.35,signal,11.35 signal [TR 220].dat
154.758,0.251249,207.104,0.923468,0.0,27,101.25,11.35,signal,11.35 signal [TR 220].dat
143.462,0.226587,206.218,0.902279,0.0,28,105.0,11.35,signal,11.35 signal [TR 220].dat
