analog,analog_sterr,photon_counting,pc_sterr,overflow_info,bin_index,range_m,time_tag,file_type,source_file
26.274,0.0533754,167.641,0.851822,0.0,0,0.0,12.05,signal,12.05signal [TR 220].dat
34.1867,0.0661346,169.099,0.866231,0.0,1,3.75,12.05,signal,12.05signal [TR 220].dat
62.8844,0.353866,117.369,1.22027,0.0,2,7.5,12.05,signal,12.05signal [TR 220].dat
165.953,0.854276,3.75367,0.255924,0.0,3,11.25,12.05,signal,12.05signal [TR 220].dat
310.229,0.785915,47.3398,0.975668,0.0,4,15.0,12.05,signal,12.05signal [TR 220].dat
403.477,0.441749,162.849,1.23948,0.0,5,18.75,12.05,signal,12.05signal [TR 220].dat
451.831,0.348117,170.557,1.2635,1.0,6,22.5,12.05,signal,12.05signal [TR 220].dat
474.215,0.262111,77.9221,1.01375,1.0,7,26.25,12.05,signal,12.05signal [TR 220].dat
463.42,0.285071,66.7449,0.908771,1.0,8,30.0,12.05,signal,12.05signal [TR 220].dat
449.138,0.257023,92.9367,0.997281,1.0,9,33.75,12.05,signal,12.05signal [TR 220].dat
446.911,0.249259,134.713,1.08133,1.0,10,37.5,12.05,signal,12.05signal [TR 220].dat
447.487,0.243125,175.953,1.07584,1.0,11,41.25,12.05,signal,12.05signal [TR 220].dat
452.567,0.243734,192.442,1.05183,1.0,12,45.0,12.05,signal,12.05signal [TR 220].dat
456.589,0.240064,175.367,1.05148,1.0,13,48.75,12.05,signal,12.05signal [TR 220].dat
450.174,0.247382,164.307,1.05492,1.0,14,52.5,12.05,signal,12.05signal [TR 220].dat
437.428,0.250156,152.442,1.04359,0.0,15,56.25,12.05,signal,12.05signal [TR 220].dat
419.897,0.260431,141.349,1.0237,0.0,16,60.0,12.05,signal,12.05signal [TR 220].dat
395.605,0.273585,137.26,1.046,1.0,17,63.75,12.05,signal,12.05signal [TR 220].dat
367.421,0.268368,139.858,1.01135,0.0,18,67.5,12.05,signal,12.05signal [TR 220].dat
337.822,0.262586,147.197,0.983558,0.0,19,71.25,12.05,signal,12.05signal [TR 220].dat
