a2622612.050164
Narit-cm 26/02/2026 11:35:02 26/02/2026 12:05:01 0045 0013.384714 0052.542598 00.0 00.0
0002387 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002387 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002387 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002387 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002387 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
26.274	0.0533754	167.641	0.851822	0
34.1867	0.0661346	169.099	0.866231	0
62.8844	0.353866	117.369	1.22027	0
165.953	0.854276	3.75367	0.255924	0
310.229	0.785915	47.3398	0.975668	0
403.477	0.441749	162.849	1.23948	0
451.831	0.348117	170.557	1.2635	1
474.215	0.262111	77.9221	1.01375	1
463.42	0.285071	66.7449	0.908771	1
449.138	0.257023	92.9367	0.997281	1
446.911	0.249259	134.713	1.08133	1
447.487	0.243125	175.953	1.07584	1
452.567	0.243734	192.442	1.05183	1
456.589	0.240064	175.367	1.05148	1
450.174	0.247382	164.307	1.05492	1
437.428	0.250156	152.442	1.04359	0
419.897	0.260431	141.349	1.0237	0
395.605	0.273585	137.26	1.046	1
367.421	0.268368	139.858	1.01135	0
337.822	0.262586	147.197	0.983558	0
308.676	0.256955	166.904	0.992478	1
282.147	0.226767	181.55	0.97704	0
258.283	0.201832	193.9	0.974982	0
236.785	0.183279	201.274	0.939989	0
217.7	0.167597	206.787	0.937588	0
200.728	0.154368	208.546	0.897793	0
185.364	0.142786	211.261	0.923179	0
171.526	0.131427	211.663	0.906026	0
159.189	0.121841	210.574	0.899165	0
148.026	0.113418	207.357	0.901909	0
138.029	0.133725	206.988	0.895734	0
129.108	0.160501	205.061	0.916661	0
120.811	0.0909006	203.703	0.9098	0
113.282	0.0922255	202.011	0.894705	0
106.582	0.0824296	201.341	0.898822	0
100.385	0.0757488	198.207	0.894362	0
94.6013	0.0742216	195.576	0.895048	0
89.1621	0.0717942	194.202	0.889902	0
84.0144	0.0695284	192.895	0.893333	0
79.1616	0.0676189	190.297	0.914946	0
74.5214	0.0653706	188.354	0.890931	0
70.1227	0.064027	185.253	0.88064	0
65.9636	0.0623903	181.5	0.87618	0
61.9531	0.0610543	182.941	0.918376	0
58.1599	0.0602801	180.042	0.877552	0
54.5594	0.0589059	178.266	0.87618	0
51.0948	0.0574128	175.601	0.88853	0
47.8528	0.0558887	172.35	0.908428	0
44.8157	0.054398	170.943	0.879953	0
41.934	0.0529156	168.898	0.883384	0
39.2301	0.0512532	168.395	0.862114	0
36.7141	0.0495006	166.736	0.894019	0
34.4309	0.0481696	166.787	0.875494	0
32.3311	0.0455641	161.843	0.848049	0
30.3683	0.0423919	159.631	0.867603	0
28.6402	0.0399381	159.899	0.877552	0
27.1464	0.0376769	156.984	0.833297	0
25.8194	0.0351595	157.403	0.868632	0
24.6652	0.0323688	155.492	0.853538	0
23.6981	0.0297816	152.845	0.867603	0
22.8648	0.0279882	151.973	0.847706	0
22.1601	0.0258966	148.806	0.851479	0
21.6258	0.0239765	149.359	0.867603	0
21.2064	0.0227527	147.231	0.852852	0
20.8365	0.0215991	146.695	0.849078	0
20.5239	0.0206792	144.583	0.87618	0
20.3021	0.0201915	146.778	0.852509	0
20.1268	0.0192207	144.483	0.864173	0
19.9667	0.0188465	142.874	0.844275	0
19.8359	0.019139	141.584	0.853538	0
19.7355	0.0187433	143.377	0.85491	0
19.6627	0.0190183	142.036	0.874121	0
19.5908	0.0189689	141.215	0.862457	0
19.525	0.0189751	138.567	0.846677	0
19.4621	0.0181632	141.064	0.867603	0
19.3879	0.0178998	139.455	0.854224	0
19.3421	0.0182594	138.869	0.857654	0
19.3381	0.0186058	140.427	0.861085	0
19.309	0.0181793	138.869	0.847706	0
19.2656	0.0180954	139.388	0.873435	0
19.2417	0.0184253	138.986	0.87172	0
19.2236	0.018288	140.193	0.834669	0
19.1859	0.0185903	138.383	0.821633	0
19.1419	0.0184018	140.461	0.849764	0
19.126	0.0181652	139.238	0.836385	0
19.1201	0.0181939	138.416	0.860399	0
19.0942	0.0183711	136.774	0.851479	0
19.0756	0.0183431	137.662	0.837414	0
19.0761	0.0182776	138.282	0.868976	0
19.0646	0.0183121	138.567	0.875494	0
19.0616	0.0185848	139.472	0.846677	0
19.0779	0.0185742	139.187	0.853538	0
19.0713	0.0182687	136.808	0.829523	0
19.0351	0.0184314	138.232	0.844275	0
19.0209	0.0188099	137.478	0.838786	0
19.0299	0.0182737	136.875	0.834669	0
19.0145	0.0182373	137.595	0.840844	0
18.9802	0.0182344	137.679	0.860399	0
18.9814	0.0179992	137.31	0.860056	0
18.9826	0.0183895	139.573	0.850793	0
18.9594	0.0183535	138.199	0.862457	0
18.953	0.018052	138.45	0.839815	0
18.9543	0.0180062	138.349	0.854224	0
18.9268	0.0179436	138.081	0.851136	0
18.9301	0.0183706	136.422	0.83364	0
18.9339	0.0184084	137.813	0.863143	0
18.9259	0.018526	139.372	0.866917	0
18.9175	0.0184447	137.696	0.842903	0
18.868	0.0185331	136.623	0.842903	0
18.8614	0.018679	137.394	0.849421	0
18.8979	0.0185654	138.232	0.865888	0
18.8928	0.018341	135.752	0.818545	0
18.8627	0.018395	137.009	0.850793	0
18.8418	0.0187738	137.243	0.861771	0
18.8688	0.018615	136.858	0.857998	0
18.8777	0.0184581	138.534	0.848049	0
18.8314	0.018515	138.5	0.861771	0
18.8317	0.0183264	138.567	0.831582	0
18.845	0.0179802	136.489	0.844618	0
18.8194	0.0180942	138.802	0.860056	0
18.8296	0.018182	138.483	0.843246	0
18.844	0.0183252	136.523	0.843246	0
18.8285	0.0183208	138.567	0.857998	0
