a2622612.312704
Narit-cm 26/02/2026 12:29:27 26/02/2026 12:31:27 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
27.4166	0.0411911	158.9	0.876348	0
30.6354	0.0277809	150.187	0.875668	0
32.9175	0.0386795	154.552	0.898792	0
50.532	0.215796	123.332	1.14092	0
106.51	0.462937	29.9875	0.652925	0
180.324	0.467258	97.9758	1.12392	0
232.097	0.38964	181.091	1.07155	0
264.816	0.389602	195.202	1.09297	0
289.512	0.391877	167.613	1.09331	0
300.726	0.389094	128.546	1.05624	1
300.299	0.385336	112.836	1.01577	0
296.382	0.380032	121.649	1.00285	0
292.463	0.37813	138.809	1.02598	0
289.009	0.369253	153.153	1.00081	0
286.315	0.365971	165.481	1.01441	0
284.174	0.365809	176.41	0.996731	0
282.093	0.367483	179.525	1.00693	0
279.247	0.365979	182.84	0.99231	0
274.519	0.360395	179.259	0.970886	0
267.712	0.350425	176.36	0.995371	0
259.688	0.341452	176.377	0.99231	0
251.078	0.330613	179.309	0.973267	0
241.954	0.317615	181.508	0.952863	0
232.643	0.304415	184.24	0.950482	0
223.43	0.291343	186.339	0.958304	0
214.192	0.278695	187.672	0.922937	0
204.926	0.265141	188.288	0.957624	0
195.763	0.253215	187.838	0.949122	0
186.721	0.240805	188.855	0.916816	0
178.068	0.226664	191.637	0.916136	0
170.04	0.213354	194.369	0.924637	0
162.561	0.204032	195.335	0.944701	0
155.63	0.194612	193.919	0.93722	0
149.27	0.183617	195.818	0.933479	0
143.397	0.174008	192.936	0.932799	0
137.943	0.16548	193.486	0.910695	0
132.891	0.158	191.62	0.864446	0
128.221	0.149873	191.77	0.906614	0
