analog,analog_sterr,photon_counting,pc_sterr,overflow_info,bin_index,range_m,time_tag,file_type,source_file
22.7634,0.0618677,130.129,0.860365,0.0,0,0.0,12.31,background,12.31-12.33 Background [TR 258].dat
22.7669,0.0618642,130.562,0.854924,0.0,1,3.75,12.31,background,12.31-12.33 Background [TR 258].dat
22.769,0.0618344,130.329,0.846762,0.0,2,7.5,12.31,background,12.31-12.33 Background [TR 258].dat
22.7963,0.0618459,130.779,0.854924,0.0,3,11.25,12.31,background,12.31-12.33 Background [TR 258].dat
22.7964,0.0621608,130.429,0.842682,0.0,4,15.0,12.31,background,12.31-12.33 Background [TR 258].dat
22.7644,0.0619443,131.095,0.848463,0.0,5,18.75,12.31,background,12.31-12.33 Background [TR 258].dat
22.7704,0.0615967,130.596,0.870907,0.0,6,22.5,12.31,background,12.31-12.33 Background [TR 258].dat
22.7781,0.0616226,130.029,0.862745,0.0,7,26.25,12.31,background,12.31-12.33 Background [TR 258].dat
22.7666,0.0618629,130.579,0.855944,0.0,8,30.0,12.31,background,12.31-12.33 Background [TR 258].dat
22.7673,0.0620062,131.045,0.865806,0.0,9,33.75,12.31,background,12.31-12.33 Background [TR 258].dat
22.7716,0.0618385,129.546,0.841661,0.0,10,37.5,12.31,background,12.31-12.33 Background [TR 258].dat
22.7716,0.0615113,130.679,0.870907,0.0,11,41.25,12.31,background,12.31-12.33 Background [TR 258].dat
22.7673,0.0613927,129.479,0.837921,0.0,12,45.0,12.31,background,12.31-12.33 Background [TR 258].dat
22.7895,0.0614426,130.779,0.83384,0.0,13,48.75,12.31,background,12.31-12.33 Background [TR 258].dat
22.7891,0.0614887,128.13,0.845742,0.0,14,52.5,12.31,background,12.31-12.33 Background [TR 258].dat
22.7555,0.0621578,130.162,0.849483,0.0,15,56.25,12.31,background,12.31-12.33 Background [TR 258].dat
22.7623,0.0621941,129.896,0.857985,0.0,16,60.0,12.31,background,12.31-12.33 Background [TR 258].dat
22.7913,0.0616648,132.012,0.845742,0.0,17,63.75,12.31,background,12.31-12.33 Background [TR 258].dat
22.7891,0.0617555,130.429,0.847102,0.0,18,67.5,12.31,background,12.31-12.33 Background [TR 258].dat
22.7779,0.0617666,128.83,0.8335,0.0,19,71.25,12.31,background,12.31-12.33 Background [TR 258].dat
22.7592,0.0616434,129.996,0.83282,0.0,20,75.0,12.31,background,12.31-12.33 Background [TR 258].dat
22.7492,0.0621627,129.329,0.843022,0.0,21,78.75,12.31,background,12.31-12.33 Background [TR 258].dat
22.7681,0.0621165,129.696,0.860705,0.0,22,82.5,12.31,background,12.31-12.33 Background [TR 258].dat
22.7682,0.0617107,129.879,0.848123,0.0,23,86.25,12.31,background,12.31-12.33 Background [TR 258].dat
22.7482,0.061566,129.446,0.83214,0.0,24,90.0,12.31,background,12.31-12.33 Background [TR 258].dat
22.7648,0.0615633,129.913,0.845062,0.0,25,93.75,12.31,background,12.31-12.33 Background [TR 258].dat
22.7758,0.0620633,130.079,0.848803,0.0,26,97.5,12.31,background,12.31-12.33 Background [TR 258].dat
22.7608,0.0621667,129.696,0.852543,0.0,27,101.25,12.31,background,12.31-12.33 Background [TR 258].dat
22.7706,0.0615272,130.262,0.849483,0.0,28,105.0,12.31,background,12.31-12.33 Background [TR 258].dat
22.7685,0.0617616,129.963,0.830779,0.0,29,108.75,12.31,background,12.31-12.33 Background [TR 258].dat
22.7515,0.0618756,130.529,0.842001,0.0,30,112.5,12.31,background,12.31-12.33 Background [TR 258].dat
22.7751,0.0616137,128.047,0.838941,0.0,31,116.25,12.31,background,12.31-12.33 Background [TR 258].dat
22.7672,0.0617208,130.995,0.83282,0.0,32,120.0,12.31,background,12.31-12.33 Background [TR 258].dat
22.7636,0.0615005,128.83,0.83486,0.0,33,123.75,12.31,background,12.31-12.33 Background [TR 258].dat
22.7978,0.0615044,129.613,0.842001,0.0,34,127.5,12.31,background,12.31-12.33 Background [TR 258].dat
22.7907,0.0614985,129.663,0.83214,0.0,35,131.25,12.31,background,12.31-12.33 Background [TR 258].dat
22.7718,0.0612312,131.145,0.845742,0.0,36,135.0,12.31,background,12.31-12.33 Background [TR 258].dat
22.7754,0.0614886,128.213,0.847102,0.0,37,138.75,12.31,background,12.31-12.33 Background [TR 258].dat
22.7746,0.0615291,130.246,0.859005,0.0,38,142.5,12.31,background,12.31-12.33 Background [TR 258].dat
22.7685,0.0611133,128.546,0.859685,0.0,39,146.25,12.31,background,12.31-12.33 Background [TR 258].dat
