a2622612.335209
Narit-cm 26/02/2026 12:31:41 26/02/2026 12:33:52 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
22.7634	0.0618677	130.129	0.860365	0
22.7669	0.0618642	130.562	0.854924	0
22.769	0.0618344	130.329	0.846762	0
22.7963	0.0618459	130.779	0.854924	0
22.7964	0.0621608	130.429	0.842682	0
22.7644	0.0619443	131.095	0.848463	0
22.7704	0.0615967	130.596	0.870907	0
22.7781	0.0616226	130.029	0.862745	0
22.7666	0.0618629	130.579	0.855944	0
22.7673	0.0620062	131.045	0.865806	0
22.7716	0.0618385	129.546	0.841661	0
22.7716	0.0615113	130.679	0.870907	0
22.7673	0.0613927	129.479	0.837921	0
22.7895	0.0614426	130.779	0.83384	0
22.7891	0.0614887	128.13	0.845742	0
22.7555	0.0621578	130.162	0.849483	0
22.7623	0.0621941	129.896	0.857985	0
22.7913	0.0616648	132.012	0.845742	0
22.7891	0.0617555	130.429	0.847102	0
22.7779	0.0617666	128.83	0.8335	0
22.7592	0.0616434	129.996	0.83282	0
22.7492	0.0621627	129.329	0.843022	0
22.7681	0.0621165	129.696	0.860705	0
22.7682	0.0617107	129.879	0.848123	0
22.7482	0.061566	129.446	0.83214	0
22.7648	0.0615633	129.913	0.845062	0
22.7758	0.0620633	130.079	0.848803	0
22.7608	0.0621667	129.696	0.852543	0
22.7706	0.0615272	130.262	0.849483	0
22.7685	0.0617616	129.963	0.830779	0
22.7515	0.0618756	130.529	0.842001	0
22.7751	0.0616137	128.047	0.838941	0
22.7672	0.0617208	130.995	0.83282	0
22.7636	0.0615005	128.83	0.83486	0
22.7978	0.0615044	129.613	0.842001	0
22.7907	0.0614985	129.663	0.83214	0
22.7718	0.0612312	131.145	0.845742	0
22.7754	0.0614886	128.213	0.847102	0
22.7746	0.0615291	130.246	0.859005	0
22.7685	0.0611133	128.546	0.859685	0
22.7683	0.0614171	130.845	0.859685	0
22.7612	0.0621014	130.596	0.844382	0
22.7647	0.0620876	130.729	0.846422	0
22.7877	0.0617702	130.029	0.83384	0
22.7853	0.0613639	129.896	0.850163	0
22.7844	0.0614068	129.863	0.869887	0
22.7891	0.0619268	127.83	0.837921	0
22.7741	0.0617039	130.246	0.847783	0
22.7682	0.0614917	129.329	0.842342	0
22.7711	0.0616318	130.712	0.866146	0
22.7824	0.0617547	131.029	0.864786	0
22.7901	0.0618862	131.445	0.845402	0
22.781	0.0619131	127.68	0.843362	0
22.7699	0.0618589	131.412	0.852203	0
22.7746	0.0616277	131.429	0.844042	0
22.784	0.061607	131.362	0.847102	0
22.7798	0.0617195	130.212	0.843022	0
22.7864	0.061677	129.346	0.860025	0
22.7758	0.0612818	128.63	0.850843	0
22.7546	0.0614169	131.062	0.83588	0
22.7565	0.0618937	130.112	0.857985	0
22.7622	0.0616949	129.363	0.828059	0
22.7809	0.0616211	129.663	0.865126	0
22.7924	0.0611805	130.346	0.861045	0
22.781	0.0612415	130.346	0.83316	0
22.7824	0.0614783	129.579	0.821938	0
22.7724	0.0610885	130.046	0.829419	0
22.7807	0.0611683	129.246	0.844382	0
22.7879	0.0618485	128.397	0.825678	0
22.7656	0.0619515	129.03	0.839621	0
22.772	0.0612986	129.946	0.863426	0
22.7831	0.0613798	129.013	0.83588	0
22.7544	0.0619197	129.03	0.868186	0
22.7616	0.0619526	131.112	0.868867	0
22.799	0.0620386	130.279	0.858665	0
22.778	0.0622068	131.262	0.859345	0
22.7705	0.0619752	130.812	0.849823	0
22.7821	0.0617147	129.813	0.824998	0
22.7538	0.0616126	129.713	0.824658	0
22.7564	0.0615675	129.663	0.849483	0
22.7899	0.0613775	130.679	0.857985	0
22.8015	0.0616149	130.346	0.83622	0
22.803	0.0616323	130.012	0.8369	0
22.7745	0.0613704	128.93	0.827379	0
22.7679	0.0618239	130.229	0.859005	0
22.7832	0.0619832	129.713	0.849483	0
22.764	0.0617059	130.562	0.867846	0
22.7727	0.0620373	128.98	0.8335	0
22.7994	0.0618502	129.396	0.83452	0
22.7859	0.061515	128.047	0.831459	0
22.7492	0.0620052	129.713	0.863086	0
22.7755	0.0617648	130.995	0.842342	0
22.7995	0.0614553	130.012	0.846422	0
22.7779	0.0620834	129.313	0.855264	0
22.7819	0.0617288	130.662	0.856964	0
22.7709	0.0613975	130.379	0.869887	0
22.7521	0.0619458	130.579	0.851863	0
22.7723	0.0617605	131.345	0.852884	0
22.7954	0.0612689	129.996	0.838601	0
22.7714	0.0619753	129.096	0.822618	0
22.7749	0.0616654	128.83	0.851863	0
22.7958	0.0611258	130.796	0.830779	0
22.7911	0.0613601	129.596	0.860705	0
22.7799	0.0614875	129.429	0.818197	0
22.7717	0.0615177	128.347	0.850843	0
22.777	0.0614571	130.312	0.838941	0
22.7815	0.0615552	129.446	0.83622	0
22.777	0.0621645	129.313	0.867506	0
22.7808	0.0620654	129.546	0.837921	0
22.7902	0.0616261	130.262	0.841661	0
22.7901	0.0613262	129.346	0.839961	0
22.7614	0.0615685	130.762	0.856624	0
22.7648	0.0619104	128.28	0.847783	0
22.7872	0.0622879	128.696	0.827379	0
22.7947	0.0618855	128.863	0.858665	0
22.7829	0.0616815	129.513	0.838941	0
22.7784	0.0617614	130.279	0.853564	0
22.7757	0.0612279	130.146	0.855604	0
22.7892	0.0610653	129.396	0.83214	0
22.8026	0.0617086	130.845	0.839961	0
22.7788	0.0618574	131.778	0.864106	0
22.7581	0.0619657	130.746	0.829419	0
22.76	0.0621351	129.313	0.863086	0
22.7621	0.0618437	131.329	0.845062	0
22.7702	0.0618243	130.246	0.850503	0
22.7888	0.0621604	129.18	0.846422	0
22.7848	0.0620512	130.362	0.845402	0
22.7666	0.061778	130.262	0.866826	0
22.7634	0.061327	129.629	0.83656	0
22.7733	0.0613756	130.979	0.863766	0
22.7742	0.0620001	131.012	0.842001	0
22.7811	0.0620717	130.146	0.853904	0
22.7895	0.0620606	130.129	0.847102	0
22.7624	0.0622897	129.529	0.856284	0
22.7539	0.0617424	129.313	0.831119	0
22.7719	0.0614716	130.096	0.823978	0
22.7759	0.0614235	130.596	0.856284	0
22.7717	0.0617735	132.445	0.865126	0
22.7666	0.062178	129.979	0.841321	0
22.7671	0.0621533	129.046	0.849143	0
22.7681	0.0621395	130.696	0.859345	0
22.7645	0.0618579	129.929	0.849483	0
22.7781	0.0615842	130.362	0.844382	0
22.7763	0.0616445	130.895	0.840301	0
22.776	0.0618863	130.912	0.847443	0
22.7867	0.0620047	132.145	0.837921	0
22.7774	0.0617311	128.946	0.839621	0
22.7731	0.0616149	130.029	0.840301	0
22.7883	0.0618151	128.03	0.843362	0
22.7829	0.0619545	129.546	0.829759	0
22.7823	0.0617854	130.062	0.837241	0
22.7982	0.0617251	129.463	0.851523	0
22.8021	0.0618931	129.429	0.852203	0
22.7734	0.0618389	130.196	0.847783	0
22.7626	0.0618509	129.046	0.853564	0
22.7832	0.0615394	130.712	0.849823	0
22.7851	0.0614969	129.996	0.844382	0
22.7828	0.0618499	128.746	0.83554	0
22.7828	0.062072	130.529	0.842342	0
22.7622	0.0620379	130.546	0.8352	0
22.7647	0.0617288	130.096	0.845742	0
22.7767	0.0613376	130.979	0.873968	0
22.7632	0.0615415	129.629	0.850843	0
22.7645	0.0615279	131.628	0.844042	0
22.7848	0.0612528	129.046	0.846082	0
22.7862	0.0617542	130.329	0.83588	0
22.7628	0.0619161	130.079	0.855604	0
22.7519	0.0610541	129.213	0.838261	0
22.7689	0.061347	130.112	0.853904	0
22.7785	0.0620171	128.463	0.848463	0
22.7776	0.0612006	130.129	0.848123	0
22.7697	0.0610282	128.963	0.858665	0
22.7556	0.0617272	129.529	0.823978	0
22.7748	0.0619091	130.062	0.864106	0
22.7901	0.0614985	128.43	0.865466	0
22.7681	0.0614964	129.729	0.847443	0
22.7725	0.0618263	130.329	0.850163	0
22.7703	0.0618254	130.562	0.845402	0
22.7547	0.0617475	129.296	0.8352	0
22.763	0.0618668	130.396	0.849143	0
22.7501	0.0619969	129.879	0.865126	0
22.7568	0.0621448	130.012	0.859685	0
22.7909	0.0617206	130.412	0.850163	0
22.7879	0.0616221	129.679	0.849483	0
22.7872	0.0617795	129.08	0.845062	0
22.783	0.0617905	128.88	0.820917	0
22.7921	0.0616938	130.429	0.860025	0
22.805	0.061598	129.579	0.843702	0
22.7771	0.0614577	129.879	0.847783	0
22.7578	0.0615156	128.946	0.819557	0
22.7697	0.0618442	130.162	0.854924	0
22.7684	0.0620026	129.763	0.854584	0
22.7683	0.0618396	129.696	0.837241	0
22.7931	0.0620344	130.379	0.843702	0
22.77	0.062562	128.663	0.868867	0
22.7506	0.0624134	130.229	0.849823	0
22.7883	0.0617816	128.247	0.843362	0
22.7809	0.0616471	130.829	0.850503	0
22.7684	0.0616896	130.346	0.83248	0
22.7754	0.0618163	128.23	0.830439	0
22.7474	0.0619945	129.813	0.867846	0
