analog,analog_sterr,photon_counting,pc_sterr,overflow_info,bin_index,range_m,time_tag,file_type,source_file
24.1993,0.0536593,160.7,0.856624,0.0,0,0.0,12.35,signal,12.35-12.37 signal [TR 220].dat
30.1558,0.042003,157.568,0.876008,0.0,1,3.75,12.35,signal,12.35-12.37 signal [TR 220].dat
35.6859,0.0830681,164.332,0.883829,0.0,2,7.5,12.35,signal,12.35-12.37 signal [TR 220].dat
69.7418,0.388684,80.6664,1.22389,0.0,3,11.25,12.35,signal,12.35-12.37 signal [TR 220].dat
157.76,0.677492,21.6743,0.638983,0.0,4,15.0,12.35,signal,12.35-12.37 signal [TR 220].dat
254.008,0.594108,106.939,1.19499,0.0,5,18.75,12.35,signal,12.35-12.37 signal [TR 220].dat
312.347,0.49433,193.669,1.08141,0.0,6,22.5,12.35,signal,12.35-12.37 signal [TR 220].dat
350.119,0.509414,195.335,1.06508,0.0,7,26.25,12.35,signal,12.35-12.37 signal [TR 220].dat
377.298,0.511332,158.884,1.08073,1.0,8,30.0,12.35,signal,12.35-12.37 signal [TR 220].dat
384.221,0.504193,116.318,1.0304,1.0,9,33.75,12.35,signal,12.35-12.37 signal [TR 220].dat
378.803,0.496296,114.219,1.03006,0.0,10,37.5,12.35,signal,12.35-12.37 signal [TR 220].dat
372.737,0.487348,129.396,1.0202,0.0,11,41.25,12.35,signal,12.35-12.37 signal [TR 220].dat
367.172,0.480791,149.921,1.05352,0.0,12,45.0,12.35,signal,12.35-12.37 signal [TR 220].dat
362.597,0.475119,166.714,1.01645,0.0,13,48.75,12.35,signal,12.35-12.37 signal [TR 220].dat
359.83,0.475927,180.541,1.02768,1.0,14,52.5,12.35,signal,12.35-12.37 signal [TR 220].dat
357.398,0.472627,190.737,1.00183,0.0,15,56.25,12.35,signal,12.35-12.37 signal [TR 220].dat
354.118,0.467791,189.471,0.98925,0.0,16,60.0,12.35,signal,12.35-12.37 signal [TR 220].dat
348.737,0.459491,187.888,0.973947,0.0,17,63.75,12.35,signal,12.35-12.37 signal [TR 220].dat
340.573,0.44951,183.357,1.00319,0.0,18,67.5,12.35,signal,12.35-12.37 signal [TR 220].dat
330.808,0.435616,185.206,0.971566,0.0,19,71.25,12.35,signal,12.35-12.37 signal [TR 220].dat
320.202,0.419703,184.606,0.950142,0.0,20,75.0,12.35,signal,12.35-12.37 signal [TR 220].dat
308.701,0.403461,189.071,0.955583,0.0,21,78.75,12.35,signal,12.35-12.37 signal [TR 220].dat
296.558,0.387943,191.037,0.949122,0.0,22,82.5,12.35,signal,12.35-12.37 signal [TR 220].dat
283.897,0.370692,189.538,0.935179,0.0,23,86.25,12.35,signal,12.35-12.37 signal [TR 220].dat
270.697,0.353968,189.638,0.951843,0.0,24,90.0,12.35,signal,12.35-12.37 signal [TR 220].dat
257.249,0.334502,192.02,0.909674,0.0,25,93.75,12.35,signal,12.35-12.37 signal [TR 220].dat
243.903,0.317006,196.202,0.944701,0.0,26,97.5,12.35,signal,12.35-12.37 signal [TR 220].dat
231.075,0.300343,196.851,0.919876,0.0,27,101.25,12.35,signal,12.35-12.37 signal [TR 220].dat
219.153,0.283038,200.15,0.931779,0.0,28,105.0,12.35,signal,12.35-12.37 signal [TR 220].dat
208.129,0.268626,201.016,0.907634,0.0,29,108.75,12.35,signal,12.35-12.37 signal [TR 220].dat
198.031,0.255105,204.531,0.925998,0.0,30,112.5,12.35,signal,12.35-12.37 signal [TR 220].dat
