analog,analog_sterr,photon_counting,pc_sterr,overflow_info,bin_index,range_m,time_tag,file_type,source_file
16.2072,0.0242482,123.682,0.8369,0.0,0,0.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.2033,0.0242457,124.048,0.83486,0.0,1,3.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1859,0.02427,125.381,0.829759,0.0,2,7.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1727,0.0239025,125.048,0.851183,0.0,3,11.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1891,0.0238649,123.182,0.845402,0.0,4,15.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1885,0.0244018,123.798,0.83248,0.0,5,18.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1758,0.0240847,124.915,0.831119,0.0,6,22.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1772,0.0238133,124.082,0.810035,0.0,7,26.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1895,0.0242416,125.115,0.815136,0.0,8,30.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.193,0.0245547,122.949,0.814796,0.0,9,33.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1829,0.0242507,123.215,0.810715,0.0,10,37.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1837,0.0241152,124.198,0.845402,0.0,11,41.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.188,0.0241181,124.631,0.820237,0.0,12,45.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1721,0.0239293,123.399,0.825678,0.0,13,48.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1727,0.02411,123.065,0.820917,0.0,14,52.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1867,0.0238911,123.815,0.824658,0.0,15,56.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1797,0.0239729,125.581,0.850503,0.0,16,60.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1904,0.0240883,124.415,0.817517,0.0,17,63.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1939,0.0240884,124.615,0.819897,0.0,18,67.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1625,0.0244101,123.632,0.841661,0.0,19,71.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.16,0.0247631,123.782,0.827719,0.0,20,75.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1837,0.0242708,123.665,0.828059,0.0,21,78.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1895,0.0238736,123.515,0.860705,0.0,22,82.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1899,0.0243985,124.098,0.8352,0.0,23,86.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1877,0.0242609,124.348,0.824318,0.0,24,90.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1779,0.0243723,123.848,0.820237,0.0,25,93.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1832,0.0246113,123.998,0.818877,0.0,26,97.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1846,0.023852,124.615,0.819557,0.0,27,101.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.203,0.0240922,124.898,0.837241,0.0,28,105.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.2015,0.0243179,123.682,0.829079,0.0,29,108.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1833,0.0242794,124.498,0.823978,0.0,30,112.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1655,0.0244254,124.165,0.863426,0.0,31,116.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1769,0.0241536,125.448,0.827379,0.0,32,120.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.189,0.0242724,123.449,0.844382,0.0,33,123.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1742,0.0242095,124.182,0.859345,0.0,34,127.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1914,0.0242619,125.614,0.845062,0.0,35,131.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1996,0.0244825,124.431,0.823638,0.0,36,135.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1831,0.0244307,124.915,0.8335,0.0,37,138.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.2041,0.024227,124.115,0.816837,0.0,38,142.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1942,0.024465,123.832,0.821938,0.0,39,146.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1623,0.0248886,123.815,0.830099,0.0,40,150.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1797,0.0244066,122.832,0.83418,0.0,41,153.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.2065,0.0239886,123.865,0.845402,0.0,42,157.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1885,0.0241312,124.431,0.83214,0.0,43,161.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1787,0.0239119,124.315,0.821257,0.0,44,165.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.2005,0.0240091,124.931,0.819217,0.0,45,168.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.2107,0.0242706,125.165,0.846762,0.0,46,172.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.2015,0.0239906,124.348,0.830099,0.0,47,176.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1708,0.0241546,125.414,0.831119,0.0,48,180.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1884,0.0239191,123.832,0.851183,0.0,49,183.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1926,0.0243827,123.232,0.808675,0.0,50,187.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1867,0.0243542,123.698,0.852884,0.0,51,191.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.2017,0.0243564,123.815,0.837921,0.0,52,195.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1915,0.0244661,124.098,0.83214,0.0,53,198.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1838,0.024609,124.648,0.838941,0.0,54,202.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1767,0.0244207,125.198,0.830099,0.0,55,206.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1711,0.0245236,125.314,0.830099,0.0,56,210.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1867,0.0244913,123.399,0.821598,0.0,57,213.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.2024,0.0243446,124.615,0.83316,0.0,58,217.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1931,0.0240094,124.815,0.850163,0.0,59,221.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1819,0.0236583,123.332,0.823978,0.0,60,225.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.184,0.0238558,125.165,0.838941,0.0,61,228.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1786,0.0241185,124.531,0.826018,0.0,62,232.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1967,0.023865,124.032,0.817857,0.0,63,236.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.2081,0.0236903,123.848,0.818877,0.0,64,240.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1985,0.024225,123.798,0.856284,0.0,65,243.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1948,0.0240878,124.365,0.808335,0.0,66,247.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1924,0.0243614,125.098,0.8335,0.0,67,251.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1979,0.0241691,124.198,0.844042,0.0,68,255.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1898,0.0242476,124.332,0.829419,0.0,69,258.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1653,0.0245428,123.349,0.842001,0.0,70,262.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1761,0.0241233,124.115,0.83588,0.0,71,266.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1989,0.0241949,124.165,0.825678,0.0,72,270.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1756,0.0244585,123.932,0.813776,0.0,73,273.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1722,0.0243692,123.998,0.83384,0.0,74,277.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1742,0.024114,124.298,0.829419,0.0,75,281.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.17,0.0241921,123.582,0.847102,0.0,76,285.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1928,0.0235997,123.165,0.830439,0.0,77,288.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1911,0.0239885,123.998,0.838261,0.0,78,292.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1742,0.0243834,124.581,0.820237,0.0,79,296.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1936,0.0242985,124.182,0.83486,0.0,80,300.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1954,0.024126,122.882,0.840301,0.0,81,303.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1695,0.0240199,124.998,0.817517,0.0,82,307.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1552,0.0240227,125.664,0.827719,0.0,83,311.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.159,0.0241102,124.115,0.837241,0.0,84,315.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1826,0.0239042,125.781,0.845402,0.0,85,318.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.2057,0.024327,123.515,0.820237,0.0,86,322.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1895,0.0241381,123.015,0.822618,0.0,87,326.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1862,0.0239918,125.381,0.83452,0.0,88,330.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.198,0.0239677,123.798,0.83248,0.0,89,333.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1748,0.0241268,123.032,0.815816,0.0,90,337.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1769,0.0243769,122.716,0.820577,0.0,91,341.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1983,0.0244314,125.048,0.83248,0.0,92,345.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1989,0.0240123,123.432,0.809015,0.0,93,348.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1845,0.0236926,124.415,0.815816,0.0,94,352.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1775,0.0238316,123.465,0.847783,0.0,95,356.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1846,0.0243918,124.831,0.8335,0.0,96,360.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1853,0.0248175,124.265,0.843362,0.0,97,363.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1875,0.0245597,123.665,0.83282,0.0,98,367.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.2057,0.0243665,123.365,0.847783,0.0,99,371.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1881,0.0240212,125.248,0.842001,0.0,100,375.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1732,0.0240544,124.781,0.828399,0.0,101,378.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.2008,0.0240691,123.449,0.822278,0.0,102,382.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.186,0.0243415,123.932,0.814456,0.0,103,386.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1695,0.0239313,123.549,0.83248,0.0,104,390.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1987,0.0239025,124.415,0.863766,0.0,105,393.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.2089,0.0245672,123.832,0.838601,0.0,106,397.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1843,0.0240627,122.882,0.855944,0.0,107,401.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1765,0.024141,123.532,0.843362,0.0,108,405.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1888,0.0245628,123.815,0.8352,0.0,109,408.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1853,0.024323,124.631,0.828739,0.0,110,412.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1828,0.0240202,125.098,0.846082,0.0,111,416.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1967,0.0239465,123.982,0.83486,0.0,112,420.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1874,0.0245333,124.681,0.830779,0.0,113,423.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1719,0.0245949,123.715,0.821938,0.0,114,427.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1745,0.0240568,124.431,0.820237,0.0,115,431.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1835,0.0244435,124.332,0.821598,0.0,116,435.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.2011,0.0241422,124.448,0.828399,0.0,117,438.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.2121,0.0238504,125.431,0.804254,0.0,118,442.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.2211,0.0241695,124.148,0.83554,0.0,119,446.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.2071,0.0241292,124.198,0.850163,0.0,120,450.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.2065,0.0240856,124.498,0.843362,0.0,121,453.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.2072,0.0243004,123.698,0.823298,0.0,122,457.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.189,0.0245185,123.532,0.823638,0.0,123,461.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1848,0.0240899,123.832,0.825678,0.0,124,465.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1877,0.0243957,123.365,0.795413,0.0,125,468.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1873,0.02436,123.648,0.822618,0.0,126,472.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.2044,0.0241622,123.732,0.850503,0.0,127,476.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.2011,0.024223,122.582,0.829419,0.0,128,480.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1903,0.0243962,124.048,0.816157,0.0,129,483.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1882,0.0246532,124.415,0.849143,0.0,130,487.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1745,0.0245639,124.215,0.840641,0.0,131,491.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1788,0.0242022,123.848,0.839281,0.0,132,495.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1815,0.0243578,124.148,0.821598,0.0,133,498.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.2022,0.0239723,123.765,0.828059,0.0,134,502.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.2077,0.0236613,124.315,0.831459,0.0,135,506.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1802,0.0239422,123.698,0.837921,0.0,136,510.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1926,0.0238578,123.599,0.806635,0.0,137,513.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.2017,0.023971,123.365,0.8369,0.0,138,517.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1835,0.0243349,123.698,0.844382,0.0,139,521.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1826,0.0242614,124.465,0.819897,0.0,140,525.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1892,0.0244118,123.532,0.821938,0.0,141,528.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1906,0.0244483,123.482,0.816837,0.0,142,532.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1931,0.0240832,123.399,0.839281,0.0,143,536.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1931,0.023403,125.065,0.842342,0.0,144,540.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1869,0.0241672,122.599,0.823298,0.0,145,543.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.1877,0.0247905,124.748,0.83248,0.0,146,547.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1942,0.0243452,123.898,0.819897,0.0,147,551.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.2028,0.0239413,124.398,0.8369,0.0,148,555.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1909,0.0239552,122.832,0.813096,0.0,149,558.75,12.38,background,12.38-12.40  Background [TR 258].dat
16.167,0.0238652,124.198,0.814116,0.0,150,562.5,12.38,background,12.38-12.40  Background [TR 258].dat
16.1665,0.0240049,124.548,0.839961,0.0,151,566.25,12.38,background,12.38-12.40  Background [TR 258].dat
16.1818,0.024484,123.082,0.827039,0.0,152,570.0,12.38,background,12.38-12.40  Background [TR 258].dat
16.1869,0.0242426,124.665,0.83656,0.0,153,573.75,12.38,background,12.38-12.40  Background [TR 258].dat
