day,timestamp,pbls_km,pbls_m,min_pbls_m,max_pbls_m
23-01-2026,2026-01-23 00:05:00,1.6788378,1678.8378,1378.8378,1978.8378
23-01-2026,2026-01-23 00:35:00,1.9186717,1918.6716999999999,1618.6716999999999,2218.6717
23-01-2026,2026-01-23 01:05:00,1.7387962,1738.7962,1438.7962,2038.7962
23-01-2026,2026-01-23 01:35:00,1.5589207,1558.9207000000001,1258.9207000000001,1858.9207000000001
23-01-2026,2026-01-23 02:05:00,1.5289415,1528.9415,1228.9415,1828.9415
23-01-2026,2026-01-23 02:35:00,1.6488585,1648.8585,1348.8585,1948.8585
23-01-2026,2026-01-23 03:05:00,1.4090246,1409.0246,1109.0246,1709.0246
23-01-2026,2026-01-23 03:35:00,1.5289415,1528.9415,1228.9415,1828.9415
23-01-2026,2026-01-23 04:05:00,1.4090246,1409.0246,1109.0246,1709.0246
23-01-2026,2026-01-23 04:35:00,1.349066,1349.066,1049.066,1649.066
23-01-2026,2026-01-23 05:05:00,1.4090246,1409.0246,1109.0246,1709.0246
23-01-2026,2026-01-23 05:35:00,1.349066,1349.066,1049.066,1649.066
23-01-2026,2026-01-23 06:05:00,2.4582982,2458.2982,2158.2982,2758.2982
23-01-2026,2026-01-23 06:35:00,1.4090246,1409.0246,1109.0246,1709.0246
23-01-2026,2026-01-23 07:05:00,1.4090246,1409.0246,1109.0246,1709.0246
23-01-2026,2026-01-23 07:35:00,2.0985472,2098.5472,1798.5472,2398.5472
23-01-2026,2026-01-23 08:05:00,2.068568,2068.5679999999998,1768.5679999999998,2368.5679999999998
23-01-2026,2026-01-23 08:35:00,1.4090246,1409.0246,1109.0246,1709.0246
23-01-2026,2026-01-23 09:05:00,1.948651,1948.6509999999998,1648.6509999999998,2248.651
23-01-2026,2026-01-23 09:35:00,2.6381736,2638.1736,2338.1736,2938.1736
23-01-2026,2026-01-23 10:05:00,1.4390038,1439.0038,1139.0038,1739.0038
23-01-2026,2026-01-23 10:35:00,1.468983,1468.983,1168.983,1768.983
23-01-2026,2026-01-23 11:05:00,2.698132,2698.132,2398.132,2998.132
23-01-2026,2026-01-23 11:35:00,1.2891076,1289.1075999999998,989.1075999999998,1589.1075999999998
23-01-2026,2026-01-23 12:05:00,2.6381736,2638.1736,2338.1736,2938.1736
23-01-2026,2026-01-23 12:35:00,1.2591283,1259.1283,959.1283000000001,1559.1283
23-01-2026,2026-01-23 13:05:00,1.5589207,1558.9207000000001,1258.9207000000001,1858.9207000000001
23-01-2026,2026-01-23 13:35:00,2.6381736,2638.1736,2338.1736,2938.1736
23-01-2026,2026-01-23 14:05:00,2.7281115,2728.1115,2428.1115,3028.1115
23-01-2026,2026-01-23 14:35:00,2.7580907,2758.0906999999997,2458.0906999999997,3058.0906999999997
23-01-2026,2026-01-23 15:05:00,2.78807,2788.0699999999997,2488.0699999999997,3088.0699999999997
23-01-2026,2026-01-23 15:35:00,2.78807,2788.0699999999997,2488.0699999999997,3088.0699999999997
23-01-2026,2026-01-23 16:05:00,2.7281115,2728.1115,2428.1115,3028.1115
23-01-2026,2026-01-23 16:35:00,2.7281115,2728.1115,2428.1115,3028.1115
23-01-2026,2026-01-23 17:05:00,2.6081944,2608.1944,2308.1944,2908.1944
23-01-2026,2026-01-23 17:35:00,2.5782151,2578.2151,2278.2151,2878.2151
23-01-2026,2026-01-23 18:05:00,2.5182567,2518.2567,2218.2567,2818.2567
23-01-2026,2026-01-23 18:35:00,2.3983397,2398.3397,2098.3397,2698.3397
23-01-2026,2026-01-23 19:05:00,2.5782151,2578.2151,2278.2151,2878.2151
23-01-2026,2026-01-23 19:35:00,2.548236,2548.2360000000003,2248.2360000000003,2848.2360000000003
23-01-2026,2026-01-23 20:05:00,2.5182567,2518.2567,2218.2567,2818.2567
23-01-2026,2026-01-23 20:35:00,2.428319,2428.319,2128.319,2728.319
23-01-2026,2026-01-23 21:05:00,2.4582982,2458.2982,2158.2982,2758.2982
23-01-2026,2026-01-23 21:35:00,2.428319,2428.319,2128.319,2728.319
23-01-2026,2026-01-23 22:05:00,1.5889001,1588.9001,1288.9001,1888.9001
23-01-2026,2026-01-23 22:35:00,1.5889001,1588.9001,1288.9001,1888.9001
23-01-2026,2026-01-23 23:05:00,1.4390038,1439.0038,1139.0038,1739.0038
23-01-2026,2026-01-23 23:35:00,1.3790454,1379.0454000000002,1079.0454000000002,1679.0454000000002
