range_raw,range (m) for NRB,range (m),copol_raw,copol_snr,copol_nrb,pbls,Normalize copol nrb
0.029979246,29.979246,119.91698000000001,23.136173,77188.66,0.21097203,2.0385888,0.43694933718838636
0.05995849,59.958490000000005,149.89623,9.782225,32632.969,0.22279657,,0.4614394315177511
0.08993774,89.93774,179.87548,8.616079,28744.936,0.23090594,,0.47823494629056423
0.11991698,119.91698000000001,209.85472,8.1029005,27033.842,0.22539599,,0.4668231539290784
0.14989623,149.89623,239.83397,8.185528,27307.549,0.19995435,,0.41413035036177365
0.17987548,179.87548,269.8132,8.1212845,27091.273,0.18787657,,0.38911576446758117
0.20985472,209.85472,299.79247,7.5701623,25252.662,0.18134628,,0.37559072094807794
0.23983397,239.83397,329.7717,6.3929496,21324.045,0.17406154,,0.3605031175601325
0.2698132,269.8132,359.75096,5.604328,18695.695,0.16791338,,0.34776951284045404
0.29979247,299.79247,389.7302,5.0236354,16759.617,0.16906017,,0.35014465768972275
0.3297717,329.7717,419.70944,4.419991,14748.66,0.17192724,,0.3560827165697208
0.35975096,359.75096,449.6887,3.8459468,12832.496,0.17692691,,0.3664376555285043
0.3897302,389.7302,479.66793,3.5016956,11681.79,0.18148187,,0.37587154471713097
0.41970944,419.70944,509.64719999999994,3.2119143,10712.566,0.18774256,,0.388838213075216
0.44968867,449.68867,539.6264,2.9624126,9881.918,0.19123553,,0.39607258877098434
0.47966793,479.66793,569.60565,2.738852,9135.819,0.19589107,,0.40571479166041013
0.5096472,509.64719999999994,599.58494,2.5399077,8471.385,0.19884764,,0.4118382161819027
0.5396264,539.6264,629.56417,2.3301501,7772.8726,0.20169613,,0.41773779356895135
0.56960565,569.60565,659.5434,2.166994,7228.4067,0.20087157,,0.41603002716279763
0.59958494,599.58494,689.5227000000001,2.0,6671.142,0.2021948,,0.4187706012163714
0.62956417,629.56417,719.5019,1.8503346,6172.907,0.20320483,,0.4208624990809385
0.6595434,659.5434,749.48114,1.6966978,5658.8535,0.20478643,,0.424138189567953
0.6895226,689.5226,779.4604,1.5724528,5244.101,0.20344196,,0.4213536248302972
0.7195019,719.5019,809.43966,1.4593782,4867.093,0.20238158,,0.4191574458478614
0.74948114,749.48114,839.4189,1.3580991,4528.9375,0.20215467,,0.4186874869907493
0.7794604,779.4604,869.3981,1.2601963,4201.9062,0.19952634,,0.41324388837053244
0.80943966,809.43966,899.3774,1.1769447,3924.5808,0.20342177,,0.4213118088269254
0.8394189,839.4189,929.35663,1.099405,3666.046,0.20381731,,0.4221310214061071
0.8693981,869.3981,959.33586,1.020943,3403.87,0.20431404,,0.4231598110720244
0.89937735,899.37735,989.31515,0.97261643,3242.5278,0.20563649,,0.4258987696484991
0.92935663,929.35663,1019.2943999999999,0.91737324,3057.9385,0.20946938,,0.43383716197953937
0.95933586,959.33586,1049.2736,0.86941844,2897.8975,0.2174486,,0.45036311990050315
0.9893151,989.3151,1079.2528,0.8234568,2745.4001,0.22915636,,0.474611348312396
1.0192944,1019.2943999999999,1109.2321,0.7997918,2666.4297,0.22790276,,0.4720149866567805
1.0492736,1049.2736,1139.2113,0.78902274,2629.5618,0.21440347,,0.44405627659453284
1.0792528,1079.2528,1169.1906000000001,0.7852149,2617.3794,0.19176807,,0.3971755454047443
1.1092321,1109.2321,1199.1699,0.74460804,2482.694,0.18081445,,0.37448923481270296
1.1392113,1139.2113,1229.1491,0.6662204,2222.3518,0.17533809,,0.36314701152270107
1.1691905,1169.1905,1259.1283,0.5670831,1891.7335,0.17007022,,0.35223659697677956
1.1991699,1199.1699,1289.1075999999998,0.5131191,1710.1167,0.16625603,,0.344336934673627
1.2291491,1229.1491,1319.0868,0.4715752,1571.9885,0.16230638,,0.3361567178476046
1.2591283,1259.1283,1349.066,0.44072586,1468.2905,0.16383106,,0.33931451992887757
1.2891076,1289.1075999999998,1379.0454000000002,0.41218206,1372.315,0.16026032,,0.3319190728818351
1.3190868,1319.0868,1409.0246,0.38509595,1282.5143,0.16065572,,0.33273799550358873
1.349066,1349.066,1439.0038,0.37325597,1242.9231,0.1592502,,0.32982698861606424
1.3790452,1379.0452,1468.983,0.35145026,1170.1724,0.16131318,,0.3340996770081364
1.4090246,1409.0246,1498.9623000000001,0.33822694,1126.3528,0.15881674,,0.3289292389963745
1.4390038,1439.0038,1528.9415,0.32305518,1075.601,0.15779963,,0.3268226775704467
1.468983,1468.983,1558.9207000000001,0.31099212,1035.3391,0.15532403,,0.32169540179297246
1.4989623,1498.9623000000001,1588.9001,0.296921,988.5026,0.15435182,,0.31968183385646487
1.5289415,1528.9415,1618.8792999999998,0.28433737,946.23785,0.15484981,,0.32071323313923444
1.5589207,1558.9207000000001,1648.8585,0.27224457,906.0448,0.15564327,,0.3223565875738744
1.5889,1588.9,1678.8378,0.26110366,868.53296,0.15600312,,0.3231018817201517
1.6188793,1618.8792999999998,1708.817,0.25167337,837.09106,0.1518246,,0.3144476466330247
1.6488585,1648.8585,1738.7962,0.24364124,810.30634,0.15502651,,0.32107920083590585
1.6788378,1678.8378,1768.7756,0.23644206,786.7235,0.1532841,,0.317470452820302
1.708817,1708.817,1798.7548,0.22373939,744.041,0.15024434,,0.3111747314528213
1.7387962,1738.7962,1828.7340000000002,0.21796817,724.78986,0.15131842,,0.313399284840715
1.7687755,1768.7755,1858.7133000000001,0.21197383,704.9948,0.15200484,,0.3148209461103764
1.7987547,1798.7547,1888.6925,0.20354009,676.8533,0.15362799,,0.31818269181978315
1.828734,1828.7340000000002,1918.6716999999999,0.19410975,645.2968,0.15149546,,0.3137659567197116
1.8587133,1858.7133000000001,1948.6509999999998,0.19207199,638.71466,0.15066744,,0.3120510242228364
1.8886925,1888.6925,1978.6303,0.18701473,621.71594,0.15425405,,0.3194793400154713
1.9186717,1918.6716999999999,2008.6095,0.17801577,591.84015,0.15334445,,0.3175954451830304
1.948651,1948.6509999999998,2038.5887999999998,0.17233379,572.53186,0.15599485,,0.3230847535206527
1.9786302,1978.6302,2068.5679999999998,0.1717983,570.6355,0.15957001,,0.33048935493792325
