range_raw,range (m) for NRB,range (m),copol_raw,copol_snr,copol_nrb,pbls,Normalize copol nrb
0.029979246,29.979246,119.91698000000001,22.401339,1309.3657,0.15830958,1.349066,0.012771713149837055
0.05995849,59.958490000000005,149.89623,8.876306,440.4881,0.15518782,,0.012519863430807824
0.08993774,89.93774,179.87548,8.204552,397.33316,0.15230843,,0.012287567045923794
0.11991698,119.91698000000001,209.85472,7.758233,368.66068,0.1458132,,0.011763560764041066
0.14989623,149.89623,239.83397,7.3930387,345.1998,0.14910834,,0.012029398010710245
0.17987548,179.87548,269.8132,7.06091,323.86316,0.15312,,0.012353040905692819
0.20985472,209.85472,299.79247,6.623427,295.75827,0.15427403,,0.012446142915857375
0.23983397,239.83397,329.7717,6.492771,287.36465,0.16017228,,0.012921987505212146
0.2698132,269.8132,359.75096,6.3016067,275.08383,0.18346329,,0.01480100265192649
0.29979247,299.79247,389.7302,6.024364,257.27316,0.19275874,,0.015550918235043147
0.3297717,329.7717,419.70944,5.829585,244.76013,0.17498064,,0.014116660159510899
0.35975096,359.75096,449.68867,5.9536815,252.73236,0.16967784,,0.013688853829085692
0.3897302,389.7302,479.66793,5.757162,240.10753,0.16132946,,0.01301534364337339
0.41970944,419.70944,509.64719999999994,5.080589,196.64297,0.1532958,,0.012367223668174668
0.44968867,449.68867,539.6264,4.680321,170.92891,0.16918318,,0.013648946859294612
0.47966793,479.66793,569.60565,4.3001337,146.50484,0.16811678,,0.013562914447971267
0.5096472,509.64719999999994,599.58494,3.9626505,124.82419,0.15389726,,0.012415746787186802
0.5396264,539.6264,629.56417,3.9504685,124.04159,0.15184298,,0.012250016609079782
0.56960565,569.60565,659.5434,3.7617135,111.91555,0.17511833,,0.01412776837661059
0.59958494,599.58494,689.5226,3.4700134,93.1761,0.15658529,,0.012632605097960896
0.62956417,629.56417,719.5019,3.3250334,83.862274,0.15491831,,0.01249812056211338
0.6595434,659.5434,749.48114,3.405087,89.00509,0.16626364,,0.013413411350897235
0.6895226,689.5226,779.4604,3.1606426,73.30145,0.16202961,,0.013071828632859548
0.7195019,719.5019,809.43966,3.062249,66.98042,0.16040032,,0.012940384758661298
0.74948114,749.48114,839.4189,3.0526104,66.36122,0.15433502,,0.012451063317926588
0.7794604,779.4604,869.3981,2.9599733,60.410015,0.14872704,,0.011998636421777769
0.80943966,809.43966,899.37735,2.8935742,56.144394,0.15406641,,0.012429393057231198
0.8394189,839.4189,929.35663,2.806158,50.528587,0.15411326,,0.012433172706959723
0.8693981,869.3981,959.33586,2.7327979,45.81577,0.15529737,,0.012528701437803765
0.89937735,899.37735,989.3151,2.7099063,44.345165,0.15233229,,0.012289491964654266
0.92935663,929.35663,1019.2943999999999,2.6696117,41.75655,0.1582292,,0.012765228448766
0.95933586,959.33586,1049.2736,2.6388218,39.778545,0.15047607,,0.01213974038687236
0.9893151,989.3151,1079.2528,2.5912986,36.725544,0.15074165,,0.012161166200637603
1.0192944,1019.2943999999999,1109.2321,2.58581,36.372944,0.15876909,,0.012808784373887308
1.0492736,1049.2736,1139.2113,2.531593,32.889935,0.15955429,,0.012872130819284055
1.0792528,1079.2528,1169.1905,2.5040162,31.118332,0.18294285,,0.01475901586634029
1.1092321,1109.2321,1199.1699,2.5058901,31.23872,0.19858406,,0.016020879156207923
1.1392113,1139.2113,1229.1491,2.4842036,29.84553,0.20370333,,0.01643387910211496
1.1691905,1169.1905,1259.1283,2.5258367,32.520134,0.22622211,,0.01825059416537448
1.1991699,1199.1699,1289.1075999999998,2.5464525,33.844536,0.22069095,,0.017804364765322676
1.2291491,1229.1491,1319.0868,2.531593,32.889935,0.28895918,,0.02331194207559727
1.2591283,1259.1283,1349.066,2.5669343,35.160336,1.975705,,0.15939109641184582
1.2891076,1289.1075999999998,1379.0452,2.530388,32.812523,12.3953285,,1.0
1.3190868,1319.0868,1409.0246,2.6586344,41.051346,7.344979,,0.5925602536471705
1.349066,1349.066,1439.0038,6.199331,268.5134,2.3781905,,0.19186183730427153
1.3790452,1379.0452,1468.983,27.283133,1622.9828,2.2487779,,0.18142140403943308
1.4090246,1409.0246,1498.9623000000001,16.368675,921.8143,3.1656673,,0.2553919648035145
1.4390038,1439.0038,1528.9415,6.496787,287.62265,0.64370704,,0.05193142239029809
1.468983,1468.983,1558.9207000000001,6.0421686,258.41696,0.009184277,,0.0007409466396957531
1.4989623,1498.9623000000001,1588.9,7.509371,352.67322,-0.00078960066,,-6.370147108243239e-05
1.5289415,1528.9415,1618.8792999999998,3.0966532,69.19063,0.051062923,,0.004119529627633508
1.5589207,1558.9207000000001,1648.8585,2.036814,1.1042452,0.052761428,,0.0042565574603367715
1.5889,1588.9,1678.8378,2.0204818,0.05503229,0.0081883995,,0.0006606036701649336
1.6188793,1618.8792999999998,1708.817,2.0983937,5.06026,0.029698124,,0.002395912621436374
1.6488585,1648.8585,1738.7962,2.098126,5.0430593,0.0022686503,,0.00018302462092876362
1.6788378,1678.8378,1768.7755,2.0331995,0.8720466,0.004347554,,0.00035074132968722854
1.708817,1708.817,1798.7547,2.0619812,2.7210426,-0.0055807903,,-0.00045023335202451476
1.7387962,1738.7962,1828.7340000000002,2.024498,0.31303924,-0.0058953217,,-0.00047560834712851704
1.7687755,1768.7755,1858.7133000000001,2.0271754,0.48504385,0.0039245673,,0.00031661664311680003
1.7987547,1798.7547,1888.6925,2.014458,-0.33195513,-0.011960823,,-0.0009649460278523479
1.828734,1828.7340000000002,1918.6716999999999,2.014324,-0.34056303,-0.0015684548,,-0.0001265359607048736
1.8587133,1858.7133000000001,1948.6509999999998,2.0261045,0.416242,0.0028453397,,0.0002295493580504946
1.8886925,1888.6925,1978.6302,2.0078983,-0.75335884,0.0076491856,,0.0006171022897860271
1.9186717,1918.6716999999999,2008.6095,2.0198126,0.0120387925,-0.037036363,,-0.002987929121846186
1.948651,1948.6509999999998,2038.5887999999998,2.0243642,0.30444667,0.026106419,,0.0021061498289456386
1.9786302,1978.6302,2068.5679999999998,2.0293174,0.6226476,0.0042843125,,0.00034563928660704714
2.0086095,2008.6095,2098.5472,1.9843373,-2.266969,0.013324945,,0.0010749973266138127
2.0385888,2038.5887999999998,2128.5264,2.0465863,1.7320391,-0.0153439995,,-0.001237885667975641
2.068568,2068.5679999999998,2158.5057,2.0253012,0.36464062,-0.023203157,,-0.0018719275572244816
2.0985472,2098.5472,2188.485,2.0333333,0.8806392,-0.03318032,,-0.0026768407146289023
