range_m,afterpulse_counts_per_bin,afterpulse_raw
0,0,0
3.75,0,0
7.5,0,0
11.25,0,0
15,0,0
18.75,0,0
22.5,0,0
26.25,0,0
30,0,0
33.75,0,0
37.5,0,0
41.25,0,0
45,0,0
48.75,0,0
52.5,0,0
56.25,0.001663893,0.0665557
60,0,0
63.75,0,0
67.5,0,0
71.25,0,0
75,0,0
78.75,0,0
82.5,0,0
86.25,0,0
90,0,0
93.75,0,0
97.5,0,0
101.25,0,0
105,0,0
108.75,0,0
112.5,0,0
116.25,0,0
120,0,0
123.75,0,0
127.5,0,0
131.25,0,0
135,0.001663893,0.0665557
138.75,0,0
142.5,0,0
146.25,0,0
150,0,0
153.75,0,0
157.5,0,0
161.25,0,0
165,0,0
168.75,0,0
172.5,0,0
176.25,0,0
180,0,0
183.75,0,0
187.5,0,0
191.25,0,0
195,0,0
198.75,0,0
202.5,0,0
206.25,0,0
210,0,0
213.75,0,0
217.5,0,0
221.25,0,0
225,0,0
228.75,0,0
232.5,0,0
236.25,0,0
240,0,0
243.75,0,0
247.5,0,0
251.25,0,0
255,0,0
258.75,0,0
262.5,0,0
266.25,0,0
270,0,0
273.75,0,0
277.5,0,0
281.25,0,0
285,0,0
288.75,0,0
292.5,0,0
296.25,0,0
300,0,0
303.75,0,0
307.5,0,0
311.25,0,0
315,0,0
318.75,0,0
322.5,0,0
326.25,0,0
330,0,0
333.75,0,0
337.5,0,0
341.25,0.001663893,0.0665557
345,0,0
348.75,0,0
352.5,0,0
356.25,0,0
360,0,0
363.75,0,0
367.5,0,0
371.25,0,0
375,0,0
378.75,0,0
382.5,0,0
386.25,0,0
390,0,0
393.75,0,0
397.5,0,0
401.25,0,0
405,0,0
408.75,0,0
412.5,0,0
416.25,0,0
420,0,0
423.75,0,0
427.5,0,0
431.25,0,0
435,0,0
438.75,0,0
442.5,0,0
446.25,0,0
450,0,0
453.75,0,0
457.5,0,0
461.25,0.001663893,0.0665557
465,0,0
468.75,0,0
472.5,0,0
476.25,0.001663893,0.0665557
480,0,0
483.75,0,0
487.5,0,0
491.25,0.001663893,0.0665557
495,0,0
498.75,0,0
502.5,0,0
506.25,0,0
510,0.001663893,0.0665557
513.75,0,0
517.5,0,0
521.25,0.001663893,0.0665557
525,0,0
528.75,0,0
532.5,0,0
536.25,0,0
540,0,0
543.75,0,0
547.5,0,0
551.25,0,0
555,0,0
558.75,0,0
562.5,0,0
566.25,0,0
570,0,0
573.75,0,0
577.5,0,0
581.25,0,0
585,0,0
588.75,0,0
592.5,0,0
596.25,0,0
600,0,0
603.75,0,0
607.5,0,0
611.25,0,0
615,0,0
618.75,0,0
