time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
34.21875,0.029979246,23.142912,34.21875,0.029979246,18.17019,34.21875,30.098764,34.21875,28.216047,34.21875,26.777779,34.21875,56.88889,34.21875,0.0,34.21875,154.0,34.21875,976.8259,34.21875,18.855629,34.21875,0.0,34.21875,0.0,34.21875,0.0,34.21875,0.5614047,34.21875,0.52585846,34.21875,27.154446,34.21875,26.833334,34.21875,26.663334,34.21875,20260203,34.21875,051500,34.21875,2026.0,34.21875,2.0,34.21875,3.0,34.21875,5.0,34.21875,15.0,34.21875,0.0,34.21875,-1.0,34.21875,-999.0,34.21875,-999.0,34.21875,-999.0,34.21875,4.112111,34.21875,2500.0,34.21875,0.029979246,2556.4482,34.21875,0.029979246,2185.6768,34.21875,,34.21875,,34.21875,,34.21875,,34.21875,,34.21875,,34.21875,,34.21875,,34.21875,0.11991698,0.23573796,34.21875,0.11991698,0.013043139,,,,,,,,,,,,,34.21875,0.0,0.0,,34.21875,0.0,2.2184641,34.21875,0.11991698,0.059278913,34.21875,0.11991698,27.760826,34.21875,0.11991698,0.0019759636,34.21875,0.11991698,0.052418996,34.21875,0.11991698,6.0,34.21875,0.0,WaterCloud,34.21875,30.0,34.21875,
34.21875,0.05995849,10.307303,34.21875,0.05995849,1.6690763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.21875,0.05995849,1103.2555,34.21875,0.05995849,141.67172,,,,,,,,,,,,,,,,,34.21875,0.14989623,0.23197834,34.21875,0.14989623,0.012886516,,,,,,,,,,,,,34.21875,0.0,1.0,,34.21875,1.0,,34.21875,0.14989623,0.058073588,34.21875,0.14989623,27.755524,34.21875,0.14989623,0.0019357861,34.21875,0.14989623,0.052626006,34.21875,0.14989623,6.0,34.21875,1.0,MixedCloud,,,,
34.21875,0.08993774,9.614161,34.21875,0.08993774,1.326283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.21875,0.08993774,1024.9562,34.21875,0.08993774,99.11446,,,,,,,,,,,,,,,,,34.21875,0.17987548,0.22829726,34.21875,0.17987548,0.012693267,,,,,,,,,,,,,34.21875,0.0,2.0,,34.21875,2.0,,34.21875,0.17987548,0.05707945,34.21875,0.17987548,27.75115,34.21875,0.17987548,0.0019026484,34.21875,0.17987548,0.052661307,34.21875,0.17987548,6.0,34.21875,2.0,Ice/dust/ash,,,,
34.21875,0.11991698,9.080813,34.21875,0.11991698,1.1580247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.21875,0.11991698,964.6836,34.21875,0.11991698,78.30542,,,,,,,,,,,,,,,,,34.21875,0.20985472,0.22420019,34.21875,0.20985472,0.012086373,,,,,,,,,,,,,34.21875,1.0,0.0,,34.21875,3.0,,34.21875,0.20985472,0.05579837,34.21875,0.20985472,27.745512,34.21875,0.20985472,0.0018599456,34.21875,0.20985472,0.051143184,34.21875,0.20985472,6.0,34.21875,3.0,Rain/Dust,,,,
34.21875,0.14989623,8.5959835,34.21875,0.14989623,1.0726314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.21875,0.14989623,909.8144,34.21875,0.14989623,67.71256,,,,,,,,,,,,,,,,,34.21875,0.23983397,0.22072156,34.21875,0.23983397,0.011936845,,,,,,,,,,,,,34.21875,1.0,1.0,,34.21875,4.0,,34.21875,0.23983397,0.054872222,34.21875,0.23983397,27.741438,34.21875,0.23983397,0.0018290741,34.21875,0.23983397,0.051290616,34.21875,0.23983397,6.0,34.21875,4.0,Molecular,,,,
34.21875,0.17987548,8.1359215,34.21875,0.17987548,1.0123903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.21875,0.17987548,857.5734,34.21875,0.17987548,60.235153,,,,,,,,,,,,,,,,,34.21875,0.2698132,0.22119313,34.21875,0.2698132,0.0118235685,,,,,,,,,,,,,34.21875,1.0,2.0,,34.21875,5.0,,34.21875,0.2698132,0.05575123,34.21875,0.2698132,27.745306,34.21875,0.2698132,0.0018583746,34.21875,0.2698132,0.05069913,34.21875,0.2698132,6.0,34.21875,5.0,CleanAerosol,,,,
34.21875,0.20985472,7.6642566,34.21875,0.20985472,0.9531608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.21875,0.20985472,804.1184,34.21875,0.20985472,52.91889,,,,,,,,,,,,,,,,,34.21875,0.29979247,0.2226581,34.21875,0.29979247,0.011915643,,,,,,,,,,,,,34.21875,2.0,0.0,,34.21875,6.0,,34.21875,0.29979247,0.056879308,34.21875,0.29979247,27.75027,34.21875,0.29979247,0.0018959772,34.21875,0.29979247,0.050748087,34.21875,0.29979247,6.0,34.21875,6.0,PollutedAerosol,,,,
34.21875,0.23983397,7.2137585,34.21875,0.23983397,0.91618323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.21875,0.23983397,753.347,34.21875,0.23983397,48.35181,,,,,,,,,,,,,,,,,34.21875,0.3297717,0.2256388,34.21875,0.3297717,0.012111003,,,,,,,,,,,,,34.21875,2.0,1.0,,34.21875,7.0,,34.21875,0.3297717,0.058740854,34.21875,0.3297717,27.758457,34.21875,0.3297717,0.0019580284,34.21875,0.3297717,0.050902512,34.21875,0.3297717,6.0,34.21875,7.0,Undetected,,,,
34.21875,0.2698132,6.7803516,34.21875,0.2698132,0.8806039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.21875,0.2698132,704.1511,34.21875,0.2698132,43.89893,,,,,,,,,,,,,,,,,34.21875,0.35975096,0.23094283,34.21875,0.35975096,0.012465429,,,,,,,,,,,,,34.21875,2.0,2.0,,34.21875,8.0,,34.21875,0.35975096,0.061758988,34.21875,0.35975096,27.771738,34.21875,0.35975096,0.002058633,34.21875,0.35975096,0.051164098,34.21875,0.35975096,6.0,,,,,,,
34.21875,0.29979247,6.3743567,34.21875,0.29979247,0.85359216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.21875,0.29979247,658.4366,34.21875,0.29979247,40.595673,,,,,,,,,,,,,,,,,34.21875,0.3897302,0.2342729,34.21875,0.3897302,0.011863476,,,,,,,,,,,,,34.21875,3.0,0.0,,34.21875,9.0,,34.21875,0.3897302,0.0640674,34.21875,0.3897302,27.781897,34.21875,0.3897302,0.00213558,34.21875,0.3897302,0.04810595,34.21875,0.3897302,6.0,,,,,,,
