time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
34.90278,0.029979246,24.061028,34.90278,0.029979246,18.145144,34.90278,29.765429,34.90278,16.660494,34.90278,40.0,34.90278,96.0,34.90278,0.0,34.90278,250.0,34.90278,975.0498,34.90278,16.019768,34.90278,0.0,34.90278,0.0,34.90278,0.0,34.90278,0.00072774536,34.90278,0.0006740412,34.90278,29.076668,34.90278,29.309998,34.90278,28.927774,34.90278,20260203,34.90278,214000,34.90278,2026.0,34.90278,2.0,34.90278,3.0,34.90278,21.0,34.90278,40.0,34.90278,0.0,34.90278,-1.0,34.90278,-999.0,34.90278,-999.0,34.90278,-999.0,34.90278,4.3946667,34.90278,2500.0,34.90278,0.029979246,77726.66,34.90278,0.029979246,59224.992,34.90278,,34.90278,,34.90278,,34.90278,,34.90278,,34.90278,,34.90278,,34.90278,,34.90278,0.11991698,0.21950977,34.90278,0.11991698,0.010669362,,,,,,,,,,,,,34.90278,0.0,0.0,2.0385888,34.90278,0.0,2.3683605,34.90278,0.11991698,0.03986138,34.90278,0.11991698,27.675392,34.90278,0.11991698,0.0013287128,34.90278,0.11991698,0.046342902,34.90278,0.11991698,6.0,34.90278,0.0,WaterCloud,34.90278,30.0,34.90278,
34.90278,0.05995849,10.647121,34.90278,0.05995849,1.2877883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.90278,0.05995849,34393.547,34.90278,0.05995849,4202.451,,,,,,,,,,,,,,,,,34.90278,0.14989623,0.2104761,34.90278,0.14989623,0.009362463,,,,,,,,,,,,,34.90278,0.0,1.0,2.4582982,34.90278,1.0,,34.90278,0.14989623,0.03673385,34.90278,0.14989623,27.661629,34.90278,0.14989623,0.0012244618,34.90278,0.14989623,0.042584307,34.90278,0.14989623,6.0,34.90278,1.0,MixedCloud,,,,
34.90278,0.08993774,9.26857,34.90278,0.08993774,0.82631266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.90278,0.08993774,29942.861,34.90278,0.08993774,2695.3274,,,,,,,,,,,,,,,,,34.90278,0.17987548,0.20861475,34.90278,0.17987548,0.009059181,,,,,,,,,,,,,34.90278,0.0,2.0,2.6381736,34.90278,2.0,,34.90278,0.17987548,0.036367718,34.90278,0.17987548,27.660017,34.90278,0.17987548,0.0012122572,34.90278,0.17987548,0.041617446,34.90278,0.17987548,6.0,34.90278,2.0,Ice/dust/ash,,,,
34.90278,0.11991698,8.491909,34.90278,0.11991698,0.586628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.90278,0.11991698,27432.164,34.90278,0.11991698,1912.9127,,,,,,,,,,,,,,,,,34.90278,0.20985472,0.20500392,34.90278,0.20985472,0.008947709,,,,,,,,,,,,,34.90278,1.0,0.0,,34.90278,3.0,,34.90278,0.20985472,0.03531937,34.90278,0.20985472,27.655405,34.90278,0.20985472,0.0011773123,34.90278,0.20985472,0.041819915,34.90278,0.20985472,6.0,34.90278,3.0,Rain/Dust,,,,
34.90278,0.14989623,7.802618,34.90278,0.14989623,0.45647776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.90278,0.14989623,25196.357,34.90278,0.14989623,1487.5359,,,,,,,,,,,,,,,,,34.90278,0.23983397,0.19874959,34.90278,0.23983397,0.008561041,,,,,,,,,,,,,34.90278,1.0,1.0,,34.90278,4.0,,34.90278,0.23983397,0.033215847,34.90278,0.23983397,27.64615,34.90278,0.23983397,0.0011071949,34.90278,0.23983397,0.04129468,34.90278,0.23983397,6.0,34.90278,4.0,Molecular,,,,
34.90278,0.17987548,7.4045215,34.90278,0.17987548,0.3930537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.90278,0.17987548,23914.828,34.90278,0.17987548,1280.5044,,,,,,,,,,,,,,,,,34.90278,0.2698132,0.19849136,34.90278,0.2698132,0.0084689045,,,,,,,,,,,,,34.90278,1.0,2.0,,34.90278,5.0,,34.90278,0.2698132,0.033450086,34.90278,0.2698132,27.64718,34.90278,0.2698132,0.0011150028,34.90278,0.2698132,0.0409179,34.90278,0.2698132,6.0,34.90278,5.0,CleanAerosol,,,,
34.90278,0.20985472,6.946348,34.90278,0.20985472,0.3518816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.90278,0.20985472,22439.352,34.90278,0.20985472,1146.2144,,,,,,,,,,,,,,,,,34.90278,0.29979247,0.19908658,34.90278,0.29979247,0.008847717,,,,,,,,,,,,,34.90278,2.0,0.0,,34.90278,6.0,,34.90278,0.29979247,0.034015916,34.90278,0.29979247,27.64967,34.90278,0.29979247,0.001133864,34.90278,0.29979247,0.042549364,34.90278,0.29979247,6.0,34.90278,6.0,PollutedAerosol,,,,
34.90278,0.23983397,6.406411,34.90278,0.23983397,0.30974263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.90278,0.23983397,20688.854,34.90278,0.23983397,1009.2613,,,,,,,,,,,,,,,,,34.90278,0.3297717,0.20272957,34.90278,0.3297717,0.008980574,,,,,,,,,,,,,34.90278,2.0,1.0,,34.90278,7.0,,34.90278,0.3297717,0.0357992,34.90278,0.3297717,27.657516,34.90278,0.3297717,0.0011933068,34.90278,0.3297717,0.042418215,34.90278,0.3297717,6.0,34.90278,7.0,Undetected,,,,
34.90278,0.2698132,5.9678717,34.90278,0.2698132,0.27947342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.90278,0.2698132,19275.295,34.90278,0.2698132,910.09015,,,,,,,,,,,,,,,,,34.90278,0.35975096,0.20904751,34.90278,0.35975096,0.009183195,,,,,,,,,,,,,34.90278,2.0,2.0,,34.90278,8.0,,34.90278,0.35975096,0.038657974,34.90278,0.35975096,27.670097,34.90278,0.35975096,0.0012885991,34.90278,0.35975096,0.04208122,34.90278,0.35975096,6.0,,,,,,,
34.90278,0.29979247,5.5579953,34.90278,0.29979247,0.26571473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.90278,0.29979247,17949.125,34.90278,0.29979247,865.06903,,,,,,,,,,,,,,,,,34.90278,0.3897302,0.21548004,34.90278,0.3897302,0.009609436,,,,,,,,,,,,,34.90278,3.0,0.0,,34.90278,9.0,,34.90278,0.3897302,0.041585226,34.90278,0.3897302,27.682976,34.90278,0.3897302,0.0013861744,34.90278,0.3897302,0.04269259,34.90278,0.3897302,6.0,,,,,,,
