range_raw,range (m) for NRB,range (m),copol_raw,copol_snr,copol_nrb,pbls,Normalize copol nrb
0.029979246,29.979246,119.91698000000001,23.471008,5867.52,0.26956847,1.4090246,0.7388953866538679
0.05995849,59.958490000000005,149.89623,10.770341,2674.0762,0.270413,,0.7412102691061473
0.08993774,89.93774,179.87548,10.203422,2531.4475,0.26481184,,0.725857318948771
0.11991698,119.91698000000001,209.85472,9.813267,2433.2236,0.24753465,,0.678500014938616
0.14989623,149.89623,239.83397,9.445977,2341.1448,0.23369646,,0.6405691146718315
0.17987548,179.87548,269.8132,8.875667,2197.6401,0.22730906,,0.6230610567275441
0.20985472,209.85472,299.79247,7.9422283,1962.8198,0.23575912,,0.6462229285553152
0.23983397,239.83397,329.7717,7.1497846,1763.7407,0.26005536,,0.7128196623982427
0.2698132,269.8132,359.75096,6.499851,1600.3687,0.27716398,,0.7597149109041754
0.29979247,299.79247,389.7302,6.263499,1540.9607,0.26018238,,0.7131678280869553
0.3297717,329.7717,419.70944,6.330835,1557.7349,0.28445432,,0.7796979548897653
0.35975096,359.75096,449.6887,6.095627,1498.8251,0.31204912,,0.8553361421586109
0.3897302,389.7302,479.66793,5.1927557,1271.4335,0.32932156,,0.9026804262740927
0.41970944,419.70944,509.64719999999994,5.1195893,1253.461,0.348483,,0.9552025169238073
0.44968867,449.68867,539.6264,5.036457,1232.3665,0.3648263,,1.0
0.47966793,479.66793,569.60565,4.79817,1172.4032,0.352202,,0.9653964091952801
0.5096472,509.64719999999994,599.58494,4.5586343,1112.3901,0.31254137,,0.8566854144013192
0.5396264,539.6264,629.56417,4.3059793,1048.7098,0.2730809,,0.7485230642637333
0.56960565,569.60565,659.5434,3.7906587,919.1571,0.24913529,,0.6828874179301219
0.59958494,599.58494,689.5227000000001,3.0844715,741.72687,0.22581302,,0.6189603655218936
0.62956417,629.56417,719.5019,2.4862413,591.1677,0.22014251,,0.6034173249022892
0.6595434,659.5434,749.48114,2.110531,496.7433,0.21815589,,0.5979719389747943
0.6895226,689.5226,779.4604,1.7839061,414.73083,0.21793205,,0.5973583867171857
0.7195019,719.5019,809.43966,1.6196489,373.33405,0.21926072,,0.601000311655163
0.74948114,749.48114,839.4189,1.4934702,341.59338,0.21598946,,0.592033688360735
0.7794604,779.4604,869.3981,1.4024097,318.70468,0.2168266,,0.5943283145979333
0.80943966,809.43966,899.3774,1.3320986,301.0747,0.22386847,,0.6136302947457462
0.8394189,839.4189,929.35663,1.23787,277.32773,0.22927319,,0.6284447968800495
0.8693981,869.3981,959.33586,1.1763645,261.85587,0.23000103,,0.6304398284882422
0.89937735,899.37735,989.31515,1.1397144,252.70135,0.2316103,,0.6348508865725964
0.92935663,929.35663,1019.2943999999999,1.1035848,243.60004,0.23228261,,0.6366937087594836
0.95933586,959.33586,1049.2736,1.0535177,231.02972,0.23393573,,0.6412249610293995
0.9893151,989.3151,1079.2528,1.0052953,218.91693,0.23572332,,0.6461247996649364
1.0192944,1019.2943999999999,1109.2321,0.96730626,209.33978,0.2200464,,0.603153884465018
1.0492736,1049.2736,1139.2113,0.93171203,200.37872,0.20459755,,0.5608081160815435
1.0792528,1079.2528,1169.1906000000001,0.8931727,190.63852,0.19003434,,0.5208899139124564
1.1092321,1109.2321,1199.1699,0.8098914,169.77621,0.18114074,,0.4965122854355621
1.1392113,1139.2113,1229.1491,0.7318905,150.08966,0.18219624,,0.49940544308346196
1.1691905,1169.1905,1259.1283,0.6623382,132.65074,0.17972828,,0.4926406895555501
1.1991699,1199.1699,1289.1075999999998,0.61723936,121.26633,0.1884914,,0.5166606683783488
1.2291491,1229.1491,1319.0868,0.59452623,115.58636,0.18996419,,0.5206976306258623
1.2591283,1259.1283,1349.066,0.5717686,109.889244,0.18620558,,0.5103951661379676
1.2891076,1289.1075999999998,1379.0454000000002,0.57309234,110.22777,0.18224308,,0.4995338329500916
1.3190868,1319.0868,1409.0246,0.5572066,106.157104,0.17850381,,0.4892843799912452
1.349066,1349.066,1439.0038,0.5325896,100.02407,0.17753708,,0.4866345436170584
1.3790452,1379.0452,1468.983,0.50943035,94.18666,0.17801505,,0.4879446739448335
1.4090246,1409.0246,1498.9623000000001,0.487104,88.57285,0.17569181,,0.4815766023447323
1.4390038,1439.0038,1528.9415,0.47231892,84.85641,0.17235768,,0.47243765046544073
1.468983,1468.983,1558.9207000000001,0.45646286,80.841705,0.17327936,,0.47496400341751677
1.4989623,1498.9623000000001,1588.9001,0.4426595,77.36944,0.17236054,,0.4724454898125492
1.5289415,1528.9415,1618.8792999999998,0.4258813,73.15744,0.17379424,,0.47637530517947857
1.5589207,1558.9207000000001,1648.8585,0.4192325,71.50097,0.1728649,,0.47382795593409793
1.5889,1588.9,1678.8378,0.40797263,68.65346,0.17547913,,0.4809936399870295
1.6188793,1618.8792999999998,1708.817,0.3993902,66.49842,0.1747928,,0.4791123885531279
1.6488585,1648.8585,1738.7962,0.3882344,63.68329,0.1821437,,0.4992614293432244
1.6788378,1678.8378,1768.7756,0.3838911,62.634155,0.17251068,,0.47285702812543945
1.708817,1708.817,1798.7548,0.37593338,60.60137,0.16295768,,0.4466719641648642
1.7387962,1738.7962,1828.7340000000002,0.37435666,60.218838,0.15575916,,0.42694060159588276
1.7687755,1768.7755,1858.7133000000001,0.35798007,56.085434,0.14341983,,0.3931181222406389
1.7987547,1798.7547,1888.6925,0.34145474,51.981762,0.13627881,,0.37354436892296417
1.828734,1828.7340000000002,1918.6716999999999,0.321895,47.069992,0.13396555,,0.3672036528068289
1.8587133,1858.7133000000001,1948.6509999999998,0.3046705,42.7111,0.12440283,,0.3409919460302067
1.8886925,1888.6925,1978.6303,0.29040605,39.10375,0.121346794,,0.33261525827496535
1.9186717,1918.6716999999999,2008.6095,0.28240365,37.132236,0.11963602,,0.32792597463505235
1.948651,1948.6509999999998,2038.5887999999998,0.2684367,33.592655,0.11670396,,0.31988910887181105
1.9786302,1978.6302,2068.5679999999998,0.261773,31.911835,0.11370145,,0.3116591375128383
2.0086095,2008.6095,2098.5472,0.25658187,30.613884,0.1059242,,0.29034145838718317
2.0385888,2038.5887999999998,2128.5264,0.2500372,28.939924,0.09473582,,0.2596737680370083
