time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
6.0590277,0.029979246,22.673897,6.0590277,0.029979246,17.996431,6.0590277,29.506172,6.0590277,18.814814,6.0590277,42.22222,6.0590277,86.666664,6.0590277,0.0,6.0590277,272.8889,6.0590277,976.88226,6.0590277,16.54283,6.0590277,0.0,6.0590277,0.0,6.0590277,0.0,6.0590277,0.10089214,6.0590277,0.14100458,6.0590277,28.03111,6.0590277,27.71,6.0590277,28.16,6.0590277,20260106,6.0590277,012500,6.0590277,2026.0,6.0590277,1.0,6.0590277,6.0,6.0590277,1.0,6.0590277,25.0,6.0590277,0.0,6.0590277,-1.0,6.0590277,-999.0,6.0590277,-999.0,6.0590277,-999.0,6.0590277,4.0614448,6.0590277,2500.0,6.0590277,0.029979246,6130.929,6.0590277,0.029979246,4169.182,6.0590277,,6.0590277,,6.0590277,,6.0590277,,6.0590277,,6.0590277,,6.0590277,,6.0590277,,6.0590277,0.11991698,0.2027057,6.0590277,0.11991698,0.007273785,,,,,,,,,,,,,6.0590277,0.0,0.0,1.5589207,6.0590277,0.0,1.708817,6.0590277,0.11991698,0.02585397,6.0590277,0.11991698,27.613758,6.0590277,0.11991698,0.0008617991,6.0590277,0.11991698,0.034641687,6.0590277,0.11991698,6.0,6.0590277,0.0,WaterCloud,6.0590277,30.0,6.0590277,
6.0590277,0.05995849,9.156551,6.0590277,0.05995849,1.248282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0590277,0.05995849,2459.56,6.0590277,0.05995849,258.7655,,,,,,,,,,,,,,,,,6.0590277,0.14989623,0.1964249,6.0590277,0.14989623,0.0065548588,,,,,,,,,,,,,6.0590277,0.0,1.0,1.948651,6.0590277,1.0,,6.0590277,0.14989623,0.023919262,6.0590277,0.14989623,27.605244,6.0590277,0.14989623,0.00079730863,6.0590277,0.14989623,0.03227912,6.0590277,0.14989623,6.0,6.0590277,1.0,MixedCloud,,,,
6.0590277,0.08993774,8.106619,6.0590277,0.08993774,0.7741633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0590277,0.08993774,2173.4324,6.0590277,0.08993774,147.88885,,,,,,,,,,,,,,,,,6.0590277,0.17987548,0.189529,6.0590277,0.17987548,0.006104345,,,,,,,,,,,,,6.0590277,0.0,2.0,2.1285264,6.0590277,2.0,,6.0590277,0.17987548,0.021745404,6.0590277,0.17987548,27.595682,6.0590277,0.17987548,0.00072484673,6.0590277,0.17987548,0.031196892,6.0590277,0.17987548,6.0,6.0590277,2.0,Ice/dust/ash,,,,
6.0590277,0.11991698,7.360732,6.0590277,0.11991698,0.5639595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0590277,0.11991698,1971.6027,6.0590277,0.11991698,98.818596,,,,,,,,,,,,,,,,,6.0590277,0.20985472,0.18250138,6.0590277,0.20985472,0.005764751,,,,,,,,,,,,,6.0590277,1.0,0.0,,6.0590277,3.0,,6.0590277,0.20985472,0.019509,6.0590277,0.20985472,27.585838,6.0590277,0.20985472,0.0006503,6.0590277,0.20985472,0.030618899,6.0590277,0.20985472,6.0,6.0590277,3.0,Rain/Dust,,,,
6.0590277,0.14989623,6.837007,6.0590277,0.14989623,0.46760374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0590277,0.14989623,1829.0864,6.0590277,0.14989623,76.42578,,,,,,,,,,,,,,,,,6.0590277,0.23983397,0.17942207,6.0590277,0.23983397,0.0056563504,,,,,,,,,,,,,6.0590277,1.0,1.0,,6.0590277,4.0,,6.0590277,0.23983397,0.018692778,6.0590277,0.23983397,27.582247,6.0590277,0.23983397,0.0006230927,6.0590277,0.23983397,0.030556466,6.0590277,0.23983397,6.0,6.0590277,4.0,Molecular,,,,
6.0590277,0.17987548,6.323694,6.0590277,0.17987548,0.40779415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0590277,0.17987548,1690.2084,6.0590277,0.17987548,62.392353,,,,,,,,,,,,,,,,,6.0590277,0.2698132,0.17889765,6.0590277,0.2698132,0.005570801,,,,,,,,,,,,,6.0590277,1.0,2.0,,6.0590277,5.0,,6.0590277,0.2698132,0.01874773,6.0590277,0.2698132,27.582489,6.0590277,0.2698132,0.0006249243,6.0590277,0.2698132,0.030195037,6.0590277,0.2698132,6.0,6.0590277,5.0,CleanAerosol,,,,
6.0590277,0.20985472,5.8204374,6.0590277,0.20985472,0.36674103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0590277,0.20985472,1552.7625,6.0590277,0.20985472,52.747463,,,,,,,,,,,,,,,,,6.0590277,0.29979247,0.1778393,6.0590277,0.29979247,0.0053658173,,,,,,,,,,,,,6.0590277,2.0,0.0,,6.0590277,6.0,,6.0590277,0.29979247,0.01860198,6.0590277,0.29979247,27.58185,6.0590277,0.29979247,0.0006200661,6.0590277,0.29979247,0.029292699,6.0590277,0.29979247,5.0,6.0590277,6.0,PollutedAerosol,,,,
6.0590277,0.23983397,5.4483414,6.0590277,0.23983397,0.34066638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0590277,0.23983397,1452.2212,6.0590277,0.23983397,46.6634,,,,,,,,,,,,,,,,,6.0590277,0.3297717,0.18038933,6.0590277,0.3297717,0.005566212,,,,,,,,,,,,,6.0590277,2.0,1.0,,6.0590277,7.0,,6.0590277,0.3297717,0.019756116,6.0590277,0.3297717,27.586927,6.0590277,0.3297717,0.00065853726,6.0590277,0.3297717,0.029933594,6.0590277,0.3297717,5.0,6.0590277,7.0,Undetected,,,,
6.0590277,0.2698132,5.0734787,6.0590277,0.2698132,0.31853336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0590277,0.2698132,1349.9943,6.0590277,0.2698132,41.514915,,,,,,,,,,,,,,,,,6.0590277,0.35975096,0.1861905,6.0590277,0.35975096,0.0056834756,,,,,,,,,,,,,6.0590277,2.0,2.0,,6.0590277,8.0,,6.0590277,0.35975096,0.022034219,6.0590277,0.35975096,27.596949,6.0590277,0.35975096,0.000734474,6.0590277,0.35975096,0.029631674,6.0590277,0.35975096,5.0,,,,,,,
6.0590277,0.29979247,4.6904354,6.0590277,0.29979247,0.29648966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0590277,0.29979247,1246.2938,6.0590277,0.29979247,36.32259,,,,,,,,,,,,,,,,,6.0590277,0.3897302,0.18966089,6.0590277,0.3897302,0.0057973475,,,,,,,,,,,,,6.0590277,3.0,0.0,,6.0590277,9.0,,6.0590277,0.3897302,0.023537047,6.0590277,0.3897302,27.603563,6.0590277,0.3897302,0.0007845683,6.0590277,0.3897302,0.029662848,6.0590277,0.3897302,5.0,,,,,,,
