a2610707.350162
Narit-cm 07/01/2026 07:05:01 07/01/2026 07:35:01 0045 0013.384714 0052.542598 00.0 00.0
0002383 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 01600 1 0000 3.75 00000.o 0 0 01 000 16 002383 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002383 0.500 S2A0
1 1 1 01600 1 0000 3.75 00000.o 0 0 00 000 00 002383 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002383 3.1746 S2P0
1 5 0 01600 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
37.1752	0.218939	169.484	0.884578	0
86.5541	0.476064	192.883	0.868069	0
304.197	2.25393	112.463	1.36814	0
474.289	0.0382967	1.10785	0.134475	0
473.457	0	0	0	0
473.457	0	0.15107	0.0502132	0
473.457	0	27.243	0.69026	0
473.457	6.42867E-6	9.66849	0.460517	0
473.457	6.42867E-6	1.79606	0.222864	0
473.457	0	6.09316	0.361466	0
473.457	6.42867E-6	26.0344	0.693355	0
473.457	6.42867E-6	82.2661	0.993602	0
473.457	6.42867E-6	145.178	1.03625	0
473.457	0	117.415	1.07614	0
473.457	0	72.329	0.900742	0
473.457	0	66.5212	0.861879	0
473.457	6.42867E-6	84.4817	0.908997	0
473.457	0	104.809	0.935479	0
473.457	6.42867E-6	116.811	0.942357	0
473.457	0	110.818	0.903494	0
473.457	0	118.674	0.925505	0
473.457	0	140.076	0.930664	0
473.457	0	163.021	0.922754	0
473.457	6.42867E-6	180.26	0.906933	0
473.457	0	191.809	0.870133	0
473.457	0	199.664	0.907621	0
473.457	6.42867E-6	202.283	0.88217	0
473.457	0	203.81	0.83918	0
473.457	0	203.223	0.885266	0
473.457	0	203.407	0.885954	0
473.457	0	203.559	0.899711	0
473.457	0	202.619	0.86635	0
473.471	0.00689363	199.597	0.88389	0
475.011	0.120527	199.228	0.900742	1
481.546	0.233451	198.12	0.882514	1
498.068	0.127357	198.842	0.881482	1
500	0	199.765	0.879075	1
500	0	199.564	0.881482	1
500	0	200.336	0.892488	1
499.418	0.0670155	202.031	0.890768	1
494.768	0.276488	200.688	0.883202	1
474.446	0.554059	200.571	0.870477	1
432.723	0.615996	198.64	0.889049	1
389.791	0.580283	200.52	0.870477	0
349.417	0.580525	202.232	0.876324	0
309.716	0.581364	201.091	0.878043	0
271.178	0.575188	198.741	0.869101	0
233.686	0.571661	200.47	0.889049	0
197.351	0.552218	199.312	0.860159	0
163.474	0.513319	200.453	0.847434	0
133.157	0.464048	200.269	0.895583	0
106.902	0.409942	201.611	0.900054	0
84.6907	0.354257	200.05	0.882514	0
66.4503	0.29726	200.185	0.888705	0
51.9855	0.245652	198.254	0.892144	0
40.8294	0.201056	195.669	0.855	0
32.3832	0.162943	195.535	0.870477	0
25.9334	0.13053	194.209	0.887673	0
21.1014	0.104744	193.151	0.857752	0
17.5511	0.0829892	191.758	0.855	0
14.9665	0.0665203	190.382	0.861879	0
13.145	0.0540067	188.67	0.846058	0
11.826	0.0452635	187.243	0.863942	0
10.8742	0.0388795	185.296	0.847434	0
10.2107	0.0359354	183.013	0.853624	0
9.72099	0.0325119	184.49	0.840211	0
9.34429	0.0306295	181.922	0.868069	0
9.08246	0.0292953	179.706	0.850185	0
8.87617	0.0283834	177.742	0.850185	0
8.78106	0.0268132	177.809	0.838492	0
8.82962	0.025132	178.044	0.833333	0
8.86255	0.0257779	174.755	0.847434	0
8.84719	0.0260533	174.57	0.84537	0
8.82404	0.0262304	173.747	0.844682	0
8.76967	0.0258481	172.707	0.839867	0
8.68839	0.0250819	170.457	0.874604	0
8.57907	0.0243561	171.465	0.846058	0
8.49584	0.0243887	169.92	0.87598	0
8.44551	0.0247743	169.685	0.822327	0
8.40931	0.0244335	166.362	0.83574	0
8.37098	0.0236455	168.896	0.82783	0
8.47355	0.0240337	166.345	0.855	0
8.63112	0.0236873	166.58	0.858439	0
8.63676	0.0233907	165.522	0.853968	0
8.67407	0.0233896	166.664	0.825766	0
8.76965	0.0231414	163.978	0.855688	0
8.79203	0.0231373	166.076	0.844682	0
8.83561	0.0231205	164.582	0.861879	0
8.87276	0.0221374	165.539	0.854312	0
8.85	0.022474	163.189	0.864286	0
8.8529	0.0223123	163.777	0.855	0
8.89926	0.0225897	162.518	0.831269	0
8.9318	0.0221799	162.384	0.836772	0
8.92997	0.0219693	162.149	0.825423	0
8.96275	0.0224085	162.719	0.841243	0
9.02475	0.0217747	161.863	0.851561	0
9.0294	0.0214811	161.259	0.841243	0
9.03282	0.0213997	160.47	0.838492	0
9.11524	0.0212353	160.974	0.853281	0
9.13465	0.0215206	160.235	0.850185	0
9.11228	0.0215347	159.178	0.834021	0
9.1724	0.0214802	159.194	0.855344	0
9.25011	0.0208196	160.168	0.853624	0
9.31987	0.020583	161.057	0.876324	0
9.38008	0.0210829	159.648	0.842963	0
9.41	0.0208645	159.866	0.840211	0
9.44298	0.0206878	159.194	0.863942	0
9.45442	0.0204983	158.691	0.849841	0
9.40476	0.0202138	160.403	0.857408	0
9.38082	0.0201212	158.355	0.834709	0
9.3458	0.0200717	158.439	0.843307	0
9.2708	0.0200416	158.355	0.859815	0
9.25246	0.0197763	156.542	0.855344	0
9.26062	0.0197289	157.818	0.854656	0
9.23818	0.0196596	156.123	0.844682	0
9.24049	0.0197334	157.549	0.809258	0
9.28441	0.0190782	156.928	0.831957	0
9.2995	0.0187751	157.13	0.858439	0
9.31022	0.0187354	156.559	0.826798	0
9.34581	0.0194089	155.955	0.874604	0
9.3745	0.0193496	156.24	0.848809	0
9.38485	0.0196833	157.449	0.850873	0
9.37252	0.0196587	154.175	0.859471	0
9.36088	0.01885	155.199	0.848466	0
9.36795	0.0191337	153.907	0.859815	0
9.35913	0.018608	155.031	0.836084	0
9.36574	0.0185716	153.437	0.857064	0
9.41722	0.0187013	154.763	0.860159	0
9.50058	0.0195272	154.729	0.848122	0
9.54754	0.0198595	156.005	0.850185	0
9.61015	0.0193996	155.888	0.823703	0
9.58152	0.0192387	153.957	0.851905	0
9.46104	0.0187124	152.53	0.849497	0
9.42013	0.0187724	153.101	0.847778	0
