time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
51.834026,0.029979246,24.002811,51.834026,0.029979246,18.14016,51.834026,29.166666,51.834026,21.703705,51.834026,56.666668,51.834026,93.0,51.834026,0.0,51.834026,257.33334,51.834026,971.06903,51.834026,20.521793,51.834026,0.0,51.834026,0.0,51.834026,0.0,51.834026,0.00072085613,51.834026,0.0006666823,51.834026,27.189999,51.834026,26.827776,51.834026,27.12,51.834026,20260220,51.834026,200100,51.834026,2026.0,51.834026,2.0,51.834026,20.0,51.834026,20.0,51.834026,1.0,51.834026,0.0,51.834026,-1.0,51.834026,-999.0,51.834026,-999.0,51.834026,-999.0,51.834026,4.4652224,51.834026,2500.0,51.834026,0.029979246,79065.89,51.834026,0.029979246,63147.457,51.834026,,51.834026,,51.834026,,51.834026,,51.834026,,51.834026,,51.834026,,51.834026,,51.834026,0.11991698,0.23413913,51.834026,0.11991698,0.0061708577,,,,,,,,,,,,,51.834026,0.0,0.0,1.708817,51.834026,0.0,1.8886925,51.834026,0.11991698,0.10433671,51.834026,0.11991698,27.95908,51.834026,0.11991698,0.00347789,51.834026,0.11991698,0.025671588,51.834026,0.11991698,5.0,51.834026,0.0,WaterCloud,51.834026,30.0,51.834026,
51.834026,0.05995849,11.084977,51.834026,0.05995849,1.0112748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.834026,0.05995849,36511.836,51.834026,0.05995849,3524.0923,,,,,,,,,,,,,,,,,51.834026,0.14989623,0.23701681,51.834026,0.14989623,0.0060865283,,,,,,,,,,,,,51.834026,0.0,1.0,2.068568,51.834026,1.0,,51.834026,0.14989623,0.10735755,51.834026,0.14989623,27.972374,51.834026,0.14989623,0.003578585,51.834026,0.14989623,0.025033122,51.834026,0.14989623,5.0,51.834026,1.0,MixedCloud,,,,
51.834026,0.08993774,10.006277,51.834026,0.08993774,0.6002231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.834026,0.08993774,32963.426,51.834026,0.08993774,2089.4045,,,,,,,,,,,,,,,,,51.834026,0.17987548,0.24215858,51.834026,0.17987548,0.0064160856,,,,,,,,,,,,,51.834026,0.0,2.0,3.1778002,51.834026,2.0,,51.834026,0.17987548,0.11192848,51.834026,0.17987548,27.992487,51.834026,0.17987548,0.0037309495,51.834026,0.17987548,0.025812978,51.834026,0.17987548,5.0,51.834026,2.0,Ice/dust/ash,,,,
51.834026,0.11991698,9.190451,51.834026,0.11991698,0.42332292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.834026,0.11991698,30275.773,51.834026,0.11991698,1472.9508,,,,,,,,,,,,,,,,,51.834026,0.20985472,0.24090508,51.834026,0.20985472,0.006820812,,,,,,,,,,,,,51.834026,1.0,0.0,,51.834026,3.0,,51.834026,0.20985472,0.11237734,51.834026,0.20985472,27.994461,51.834026,0.20985472,0.0037459114,51.834026,0.20985472,0.02754056,51.834026,0.20985472,5.0,51.834026,3.0,Rain/Dust,,,,
51.834026,0.14989623,8.912211,51.834026,0.14989623,0.34236205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.834026,0.14989623,29352.508,51.834026,0.14989623,1189.5443,,,,,,,,,,,,,,,,,51.834026,0.23983397,0.2356991,51.834026,0.23983397,0.007166966,,,,,,,,,,,,,51.834026,1.0,1.0,,51.834026,4.0,,51.834026,0.23983397,0.11027547,51.834026,0.23983397,27.985212,51.834026,0.23983397,0.0036758492,51.834026,0.23983397,0.029511584,51.834026,0.23983397,5.0,51.834026,4.0,Molecular,,,,
51.834026,0.17987548,8.7204075,51.834026,0.17987548,0.30508703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.834026,0.17987548,28728.268,51.834026,0.17987548,1060.265,,,,,,,,,,,,,,,,,51.834026,0.2698132,0.23539114,51.834026,0.2698132,0.007153031,,,,,,,,,,,,,51.834026,1.0,2.0,,51.834026,5.0,,51.834026,0.2698132,0.111380376,51.834026,0.2698132,27.990074,51.834026,0.2698132,0.0037126793,51.834026,0.2698132,0.029490594,51.834026,0.2698132,5.0,51.834026,5.0,CleanAerosol,,,,
51.834026,0.20985472,8.284487,51.834026,0.20985472,0.2848877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.834026,0.20985472,27288.12,51.834026,0.20985472,989.20844,,,,,,,,,,,,,,,,,51.834026,0.29979247,0.23267876,51.834026,0.29979247,0.007107752,,,,,,,,,,,,,51.834026,2.0,0.0,,51.834026,6.0,,51.834026,0.29979247,0.11081179,51.834026,0.29979247,27.987572,51.834026,0.29979247,0.0036937268,51.834026,0.29979247,0.029639874,51.834026,0.29979247,5.0,51.834026,6.0,PollutedAerosol,,,,
51.834026,0.23983397,7.712435,51.834026,0.23983397,0.2693292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.834026,0.23983397,25412.785,51.834026,0.23983397,935.39624,,,,,,,,,,,,,,,,,51.834026,0.3297717,0.22855806,51.834026,0.3297717,0.006926681,,,,,,,,,,,,,51.834026,2.0,1.0,,51.834026,7.0,,51.834026,0.3297717,0.109307036,51.834026,0.3297717,27.98095,51.834026,0.3297717,0.0036435681,51.834026,0.3297717,0.029416429,51.834026,0.3297717,5.0,51.834026,7.0,Undetected,,,,
51.834026,0.2698132,7.1860332,51.834026,0.2698132,0.24393871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.834026,0.2698132,23673.459,51.834026,0.2698132,846.426,,,,,,,,,,,,,,,,,51.834026,0.35975096,0.22251126,51.834026,0.35975096,0.0064095333,,,,,,,,,,,,,51.834026,2.0,2.0,,51.834026,8.0,,51.834026,0.35975096,0.10643032,51.834026,0.35975096,27.968294,51.834026,0.35975096,0.003547677,51.834026,0.35975096,0.028004298,51.834026,0.35975096,5.0,,,,,,,
51.834026,0.29979247,6.596654,51.834026,0.29979247,0.22080916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.834026,0.29979247,21731.508,51.834026,0.29979247,765.9855,,,,,,,,,,,,,,,,,51.834026,0.3897302,0.23000261,51.834026,0.3897302,0.0068683648,,,,,,,,,,,,,51.834026,3.0,0.0,,51.834026,9.0,,51.834026,0.3897302,0.112760864,51.834026,0.3897302,27.996147,51.834026,0.3897302,0.003758696,51.834026,0.3897302,0.02899852,51.834026,0.3897302,5.0,,,,,,,
