a2622610.352981
Narit-cm 26/02/2026 10:35:28 26/02/2026 10:35:29 0045 0013.384714 0052.542598 00.0 00.0
0000030 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 000030 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 000030 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 000030 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 000030 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
13.5192	0.176196	130.667	8.17059	0
13.9592	0.138227	122.667	5.94225	0
13.9534	0.17119	108	5.69466	0
13.7102	0.144508	112	6.43744	0
13.4478	0.113009	117.333	6.43744	0
13.419	0.166562	117.333	5.69466	0
13.7415	0.17152	126.667	7.42781	0
13.8539	0.160989	113.333	6.18984	0
13.874	0.1506	128	6.18984	0
13.7855	0.165853	113.333	5.69466	0
13.5752	0.143233	112	7.18022	0
13.6433	0.152394	110.667	5.94225	0
13.5777	0.154472	116	7.67541	0
13.2832	0.121368	124	8.41819	0
13.3529	0.15655	113.333	7.67541	0
13.6955	0.191874	129.333	7.67541	0
13.86	0.147105	128	6.68503	0
13.7817	0.165334	128	9.16097	0
13.5693	0.16472	114.667	7.42781	0
13.8272	0.157872	116	7.923	0
13.901	0.141863	110.667	6.43744	0
13.6543	0.142241	129.333	8.41819	0
13.6652	0.118156	124	7.18022	0
13.6609	0.192724	117.333	7.18022	0
13.5411	0.167412	113.333	6.68503	0
13.4862	0.155181	118.667	6.93263	0
13.7082	0.178887	113.333	7.67541	0
13.8313	0.151261	117.333	6.93263	0
13.666	0.166137	102.667	5.94225	0
13.576	0.147861	126.667	6.68503	0
13.7357	0.115087	114.667	8.17059	0
13.6774	0.147766	122.667	7.42781	0
13.534	0.125901	128	8.17059	0
13.4839	0.164106	109.333	4.95188	0
13.7476	0.163445	129.333	7.18022	0
14.0136	0.134732	116	7.42781	0
13.6225	0.155039	121.333	5.69466	0
13.4081	0.138841	108	7.42781	0
13.5729	0.136763	122.667	6.93263	0
13.5032	0.194897	110.667	5.69466	0
13.4857	0.132465	122.667	5.44706	0
13.6113	0.129396	106.667	5.94225	0
13.3796	0.124862	128	8.41819	0
13.6413	0.143611	122.667	6.43744	0
13.8242	0.146586	118.667	7.18022	0
13.532	0.169112	113.333	6.93263	0
13.6311	0.17119	116	5.94225	0
13.8781	0.164248	117.333	7.18022	0
13.8649	0.152819	110.667	6.93263	0
13.7939	0.164767	114.667	6.18984	0
13.8196	0.166562	117.333	6.68503	0
13.5259	0.115323	110.667	5.94225	0
13.4735	0.171237	128	8.17059	0
13.6627	0.124626	110.667	6.93263	0
13.7372	0.153953	129.333	6.93263	0
14.0136	0.143705	125.333	8.41819	0
13.828	0.166751	121.333	6.68503	0
13.5917	0.156361	122.667	7.923	0
13.7166	0.139502	124	6.43744	0
13.8125	0.15707	113.333	5.69466	0
13.6657	0.170104	129.333	6.43744	0
13.6141	0.126137	122.667	6.43744	0
13.6276	0.143799	122.667	6.43744	0
13.8476	0.165239	125.333	7.67541	0
13.9862	0.17289	128	8.17059	0
13.6922	0.136763	109.333	7.923	0
13.3694	0.162831	114.667	5.94225	0
13.5963	0.149419	117.333	6.43744	0
13.9193	0.145452	113.333	7.42781	0
13.7153	0.178132	124	6.18984	0
