a2622612.270165
Narit-cm 26/02/2026 12:05:02 26/02/2026 12:27:01 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
27.6173	0.0385034	161.116	0.866826	0
33.2858	0.0567572	160.1	0.858665	0
60.3611	0.335141	110.004	1.18071	0
154.369	0.781524	3.53186	0.254369	0
282.527	0.71769	52.3115	1.03618	0
364.056	0.446437	158.967	1.2664	0
405.463	0.382709	154.469	1.28307	0
422.939	0.334156	73.2195	0.960684	0
412.335	0.337115	66.7222	0.922597	0
400.631	0.305572	93.8942	1.01339	1
399.933	0.302213	134.994	1.08005	1
402.189	0.298271	171.895	1.07325	1
407.948	0.292923	182.924	1.08277	0
411.525	0.283298	166.814	1.07223	0
405.608	0.271715	154.619	1.08821	0
393.747	0.265073	145.19	1.01918	0
377.102	0.263665	132.478	1.0338	0
354.414	0.264958	131.312	1.01305	0
328.759	0.259298	132.195	1.01611	0
302.128	0.247226	144.257	1.00387	0
276.136	0.227731	162.815	1.00387	0
252.795	0.206004	177.709	0.963065	0
231.867	0.188173	186.639	0.956944	0
212.965	0.170813	196.352	0.963745	0
196.235	0.155683	200.733	0.949122	0
181.218	0.143643	202.482	0.946061	0
167.696	0.131396	202.832	0.934499	0
155.729	0.119246	205.814	0.945041	0
145.097	0.109549	204.282	0.910355	0
135.587	0.102163	201.883	0.923617	0
127.074	0.0956918	202.349	0.93824	0
119.375	0.0879033	197.534	0.899132	0
112.485	0.0836217	196.868	0.881789	0
106.27	0.078948	195.902	0.910695	0
100.418	0.0758823	194.536	0.900833	0
94.9101	0.0733805	192.436	0.889611	0
89.7588	0.0700351	191.62	0.900153	0
84.8499	0.0670207	187.955	0.912735	0
80.1943	0.0663384	184.49	0.891651	0
75.7905	0.0668773	181.408	0.878388	0
71.5576	0.0665117	180.825	0.916476	0
67.4985	0.0666348	180.058	0.882809	0
63.558	0.0657331	175.91	0.889951	0
59.7048	0.0627477	174.694	0.914095	0
56.0278	0.060803	173.045	0.88859	0
52.5742	0.0595899	171.479	0.877028	0
49.3545	0.0585361	169.613	0.859685	0
46.3299	0.0566978	167.064	0.861725	0
43.4941	0.0547224	165.481	0.891311	0
40.9001	0.0531415	162.549	0.869207	0
38.5343	0.0508158	163.715	0.868867	0
36.3781	0.0487466	161.733	0.865806	0
34.407	0.0466114	159.334	0.865466	0
32.6466	0.0441415	157.734	0.859345	0
31.1325	0.0417821	155.818	0.881449	0
29.8414	0.0391592	154.419	0.856624	0
28.7308	0.0370886	154.602	0.839621	0
27.7826	0.0355425	151.703	0.861385	0
27.0192	0.0339094	151.204	0.858665	0
26.3998	0.0329771	148.438	0.891991	0
25.8812	0.0321758	148.238	0.847783	0
