a2622612.291300
Narit-cm 26/02/2026 12:27:13 26/02/2026 12:29:13 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
22.8168	0.0537594	134.111	0.856964	0
22.8159	0.0538133	133.378	0.854584	0
22.8078	0.0539574	132.428	0.837921	0
22.8056	0.0541519	133.928	0.857644	0
22.7958	0.0537645	131.479	0.857644	0
22.8	0.0537409	131.245	0.868186	0
22.8252	0.0539358	131.778	0.88893	0
22.829	0.0536136	133.628	0.859685	0
22.8272	0.0537884	132.828	0.864446	0
22.8142	0.0541157	132.028	0.846082	0
22.799	0.0538087	132.745	0.872267	0
22.8066	0.0540223	132.595	0.863086	0
22.8094	0.0541226	131.595	0.850163	0
22.7983	0.0537343	133.211	0.883149	0
22.7911	0.0543504	130.812	0.861725	0
22.8072	0.0545113	131.995	0.861045	0
22.8188	0.0539975	131.945	0.853904	0
22.823	0.0540542	130.712	0.870567	0
22.8135	0.0543447	132.345	0.883829	0
22.8031	0.0541817	132.511	0.83622	0
22.8088	0.0538259	130.646	0.860365	0
22.8164	0.0538142	131.545	0.850843	0
22.8201	0.0537673	131.395	0.856964	0
22.8148	0.05415	132.428	0.861045	0
22.8127	0.0539914	132.561	0.852884	0
22.8178	0.0538893	130.646	0.865126	0
22.8066	0.0542068	130.995	0.842001	0
22.814	0.0544294	133.361	0.860365	0
22.8385	0.0541195	132.761	0.876008	0
22.8137	0.0540933	130.479	0.844382	0
22.7962	0.0541132	131.928	0.870567	0
22.8055	0.0541675	132.578	0.867166	0
22.7885	0.0540257	131.212	0.858325	0
22.7931	0.0537242	131.395	0.874308	0
22.8164	0.0537964	133.011	0.851523	0
22.8238	0.0540407	132.028	0.83656	0
22.8287	0.0541955	131.529	0.849143	0
22.8304	0.0539718	132.128	0.867166	0
22.8172	0.0539109	133.444	0.874648	0
22.8117	0.0540843	131.712	0.855604	0
22.8254	0.054059	131.479	0.842682	0
22.8185	0.0539595	132.445	0.852203	0
22.817	0.0541175	132.212	0.870227	0
22.8252	0.0542914	129.663	0.871247	0
22.8042	0.0544052	131.945	0.857644	0
22.7912	0.0541749	132.845	0.840641	0
22.8179	0.0535385	133.045	0.855944	0
22.8362	0.0538794	130.779	0.879069	0
22.8101	0.0541735	132.828	0.846762	0
22.7833	0.0541238	132.678	0.870907	0
22.8151	0.0538421	131.995	0.857304	0
22.8298	0.0535709	131.212	0.860705	0
22.7978	0.0532961	132.528	0.845742	0
22.797	0.0537559	132.178	0.846422	0
22.8177	0.0541278	132.145	0.868527	0
22.8176	0.0538987	132.345	0.840641	0
22.7936	0.0539271	131.712	0.853224	0
22.7949	0.0539487	131.828	0.83588	0
22.82	0.0535065	130.945	0.8369	0
22.8333	0.0536363	132.745	0.842682	0
22.8155	0.0543082	131.928	0.872607	0
22.8001	0.0542736	131.245	0.852203	0
22.799	0.0540544	132.312	0.866826	0
22.7987	0.0546102	132.911	0.853904	0
22.8204	0.0542845	131.479	0.876348	0
22.8359	0.0537634	131.762	0.854584	0
22.8251	0.0540497	131.029	0.877708	0
22.8059	0.0539497	131.645	0.862065	0
22.8114	0.053992	132.278	0.863426	0
22.8321	0.0540406	133.328	0.846082	0
22.8339	0.0537861	133.944	0.857985	0
22.8166	0.0539515	132.711	0.871927	0
22.8198	0.0541806	132.078	0.874988	0
22.8146	0.053888	131.462	0.873287	0
22.7924	0.0538903	131.329	0.845742	0
22.7968	0.0538391	131.595	0.843702	0
22.8075	0.0539617	132.378	0.871927	0
22.7957	0.0538919	130.979	0.848463	0
22.8096	0.0540037	132.012	0.850503	0
22.8328	0.0542995	131.928	0.843022	0
22.8248	0.0542829	130.995	0.882809	0
22.8003	0.0543282	132.145	0.83588	0
22.7913	0.0540749	131.862	0.872607	0
22.8106	0.0537075	132.428	0.877028	0
22.8316	0.0541542	130.912	0.846422	0
22.8249	0.0540957	132.695	0.840981	0
22.8123	0.0538471	133.211	0.867166	0
22.82	0.0543926	130.779	0.881109	0
22.8209	0.0541232	132.461	0.877368	0
