a2622613.010946
Narit-cm 26/02/2026 12:58:19 26/02/2026 13:01:09 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
5.69712	0.000641618	0.283215	0.0683531	0
5.69534	0.00056988	0	0	0
5.6929	0.000553535	0	0	0
5.6907	0.000551654	0	0	0
5.69135	0.000563978	0	0	0
5.69286	0.00056294	0	0	0
5.69261	0.000540692	0	0	0
5.691	0.00053479	0	0	0
5.69293	0.000546335	0	0	0
5.69326	0.000523114	0	0	0
5.69471	0.000533687	0	0	0
5.69496	0.000532973	0	0	0
5.69451	0.000527914	0	0	0
5.69485	0.000545557	0	0	0
5.69406	0.000540822	0	0	0
5.69313	0.00053946	0	0	0
5.6932	0.00052986	0	0	0
5.69351	0.00053706	0	0	0
5.69418	0.00054173	0	0	0
5.69518	0.000526358	0	0	0
5.6936	0.000531352	0	0	0
5.69335	0.0005368	0	0	0
5.69352	0.000532844	0	0	0
5.69435	0.000525449	0	0	0
5.69406	0.00052973	0	0	0
5.69336	0.000537384	0	0	0
5.69581	0.000525774	0	0	0
5.69284	0.000521687	0	0	0
5.69325	0.000545816	0	0	0
5.69322	0.000539395	0	0	0
5.69317	0.000543157	0	0	0
5.6941	0.000539525	0	0	0
5.69384	0.000537838	0	0	0
5.69292	0.000548151	0	0	0
5.69326	0.000539135	0	0	0
5.69349	0.000534271	0	0	0
5.69329	0.000528757	0	0	0
5.69398	0.000540303	0	0	0
5.69344	0.000544195	0	0	0
5.69407	0.000535698	0	0	0
5.69285	0.000541406	0	0	0
5.69255	0.000543805	0	0	0
5.69325	0.000536217	0	0	0
5.69308	0.000538681	0	0	0
5.69403	0.000540692	0	0	0
5.69392	0.000539719	0	0	0
5.69314	0.00052266	0	0	0
5.69395	0.000529925	0	0	0
5.69332	0.000532519	0	0	0
5.69268	0.0005392	0	0	0
5.69374	0.000534141	0	0	0
5.69338	0.000528109	0	0	0
5.69385	0.000538422	0	0	0
5.69318	0.000530638	0	0	0
5.69344	0.000526228	0	0	0
5.69385	0.000533946	0	0	0
5.69436	0.000551265	0	0	0
5.69493	0.000533363	0	0	0
5.69399	0.000532455	0	0	0
5.69318	0.000525903	0	0	0
5.69298	0.000544649	0	0	0
5.69406	0.000523633	0	0	0
5.69314	0.000535438	0	0	0
5.6931	0.000543611	0	0	0
5.69326	0.000524152	0	0	0
5.69274	0.000531028	0	0	0
5.69271	0.000518704	0	0	0
5.69375	0.000529601	0	0	0
5.69348	0.000525774	0	0	0
5.69309	0.000535308	0	0	0
5.69336	0.000544	0	0	0
5.69362	0.000553989	0	0	0
5.69398	0.000536995	0	0	0
5.69414	0.000539525	0	0	0
5.69412	0.000531092	0	0	0
5.69384	0.000525839	0	0	0
