a2612902.050195
Narit-cm 29/01/2026 01:35:01 29/01/2026 02:05:01 0045 0013.384714 0052.542598 00.0 00.0
0002389 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002389 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002389 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002389 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002389 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
36.3256	0.211468	165.71	0.927502	0
82.4567	0.46417	195.245	0.891183	0
302.342	2.29375	111.009	1.36607	0
474.287	0.0437763	0.636249	0.102447	0
473.457	0	0	0	0
473.457	0	0.083717	0.0373468	0
473.457	9.01853E-6	21.1637	0.594807	0
473.457	0	8.03684	0.405332	0
473.457	0	3.4324	0.290894	0
473.457	0	11.8208	0.462552	0
473.457	0	44.0854	0.798673	0
473.457	0	106.672	1.07175	0
473.457	0	152.214	1.05702	0
473.457	0	103.524	1.02241	0
473.457	0	66.7727	0.850753	0
473.457	0	61.1972	0.838761	0
473.457	0	61.3144	0.821629	0
473.457	0	67.7773	0.85041	0
473.457	0	78.8112	0.87645	0
473.457	0	98.5015	0.937438	0
473.457	0	110.707	0.921677	0
473.457	0	126.547	0.948403	0
473.457	0	151.863	0.911056	0
473.457	0	174.316	0.93367	0
473.457	0	189.016	0.910028	0
473.457	0	199.23	0.909343	0
473.457	0	202.143	0.89598	0
473.457	0	204.537	0.906259	0
473.457	0	204.588	0.890155	0
473.457	0	202.545	0.892896	0
473.457	0	202.411	0.893924	0
473.457	0	202.311	0.892896	0
473.457	6.40446E-6	203.231	0.879191	0
474.507	0.100945	202.026	0.911741	1
483.727	0.257164	201.323	0.909685	1
492.024	0.238447	200.1	0.872681	1
498.755	0.110127	201.155	0.88296	1
499.792	0.0461266	201.272	0.884331	1
499.995	0.00545458	200.117	0.886386	1
498.453	0.113421	202.495	0.905916	1
482.132	0.464346	201.725	0.877821	1
452.464	0.8204	202.83	0.879534	1
409.284	1.02644	202.143	0.892896	1
361.692	1.10423	203.365	0.876108	1
314.975	1.12195	203.566	0.870283	1
270.09	1.13285	203.231	0.888785	0
227.482	1.11229	202.595	0.885016	0
188.152	1.05575	202.21	0.895295	0
152.781	0.985825	201.524	0.880219	0
122.253	0.90716	201.021	0.871311	0
96.6094	0.823105	201.155	0.890841	0
75.2593	0.723387	200.921	0.884331	0
58.3588	0.617143	197.957	0.868227	0
45.5873	0.52307	195.864	0.880904	0
35.9361	0.438998	196.718	0.87645	0
28.7933	0.364113	194.642	0.86343	0
23.7269	0.305885	194.625	0.855892	0
20.1037	0.258245	192.733	0.865143	0
