Time,ALT from MPL ,ALT Prototype ,,,,
1/26/26 12:05 AM,2099,2074,,,,
1/26/26 12:35 AM,2129,2104,,,,
1/26/26 1:05 AM,2099,2070,,,,
1/26/26 1:35 AM,2039,2051,,,,
1/26/26 2:05 AM,2099,2074,,,,
1/26/26 2:35 AM,2099,2055,,,,
1/26/26 3:05 AM,2129,2111,,,,
1/26/26 3:35 AM,2129,2081,,,,
1/26/26 4:05 AM,2069,2033,,,,
1/26/26 4:35 AM,2039,1999,,,,
1/26/26 5:05 AM,2099,2085,,,,
1/26/26 5:35 AM,2129,2078,,,,
1/26/26 6:05 AM,2129,2096,,,,
1/26/26 6:35 AM,2159,2126,,,,
1/26/26 7:05 AM,1889,2134,,,,
1/26/26 7:35 AM,2188,2366,,,,
1/26/26 8:05 AM,2188,2486,,,,
1/26/26 8:35 AM,2218,2344,,,,
1/26/26 9:05 AM,2188,2314,,,,
1/26/26 9:35 AM,2099,2201,,,,
1/26/26 10:05 AM,2159,2168,,,,
1/26/26 10:35 AM,2129,2258,,,,
1/26/26 11:05 AM,2159,2179,,,,
1/26/26 11:35 AM,2188,1980,,,,
1/26/26 12:05 PM,2159,1946,,,,
1/26/26 12:35 PM,2129,2426,,,,
1/26/26 1:05 PM,2159,1886,,,,
1/26/26 1:35 PM,2188,2325,,,,
1/26/26 2:05 PM,2218,1988,,,,
1/26/26 2:35 PM,2218,2471,,,,
1/26/26 3:05 PM,2129,2348,,,,
1/26/26 3:35 PM,2218,2231,,,,
1/26/26 4:05 PM,1949,2096,,,,
1/26/26 4:35 PM,2218,2389,,,,
1/26/26 5:05 PM,2308,2329,,,,
1/26/26 5:35 PM,1979,1909,,,,
1/26/26 6:05 PM,2248,2216,,,,
1/26/26 6:35 PM,2368,2306,,,,
1/26/26 7:05 PM,2458,2385,,,,
1/26/26 7:35 PM,2278,2389,,,,
1/26/26 8:05 PM,2308,2370,,,,
1/26/26 8:35 PM,2039,2336,,,,
1/26/26 9:05 PM,2039,2336,,,,
1/26/26 9:35 PM,1859,1628,,,,
1/26/26 10:05 PM,1799,1568,,,,
1/26/26 10:35 PM,2099,2250,,,,
