analog,analog_sterr,photon_counting,pc_sterr,overflow_info
30.507,0.0961488,161.204,0.890875,0.0
47.9068,0.139446,170.435,0.867962,0.0
105.171,0.659758,86.8896,1.25954,0.0
281.305,1.38797,0.585284,0.125851,0.0
476.919,0.653051,27.5753,0.789647,1.0
499.967,0.0192005,143.411,1.2951,1.0
499.945,0.0244614,126.873,1.38573,1.0
499.967,0.0192005,23.9967,0.686367,1.0
500.0,0.0,18.4281,0.55949,1.0
500.0,0.0,40.2843,0.783833,1.0
500.0,0.0,86.3211,1.00373,1.0
500.0,0.0,145.134,1.05913,1.0
500.0,0.0,163.328,1.08547,1.0
500.0,0.0,133.06,1.06597,1.0
500.0,0.0,111.12,1.01365,1.0
500.0,0.0,104.03,0.992787,1.0
500.0,0.0,102.291,0.97774,1.0
499.912,0.015198,105.87,0.9709,1.0
488.032,0.259836,106.906,0.941147,1.0
449.166,0.379982,120.05,0.979449,1.0
406.929,0.360721,146.405,0.986289,0.0
369.426,0.332176,171.338,0.97774,0.0
336.249,0.307464,190.585,0.943199,0.0
306.785,0.281372,202.14,0.940463,0.0
281.022,0.257994,205.535,0.936017,0.0
258.222,0.237042,207.759,0.913788,0.0
238.025,0.216586,207.308,0.900793,0.0
220.111,0.199113,204.749,0.913788,0.0
204.132,0.18662,205.084,0.925416,0.0
189.77,0.174059,201.656,0.881641,0.0
176.669,0.162753,202.692,0.904212,0.0
164.68,0.154843,198.445,0.880957,0.0
153.626,0.150349,196.605,0.879931,0.0
143.252,0.146671,195.702,0.877879,0.0
133.446,0.143268,193.779,0.91071,0.0
124.196,0.141341,190.084,0.877879,0.0
115.505,0.13948,188.896,0.919602,0.0
107.297,0.138409,187.525,0.862148,0.0
99.5402,0.13736,185.485,0.875486,0.0
92.1625,0.135875,183.411,0.892243,0.0
85.1297,0.134659,181.154,0.902161,0.0
78.4575,0.133792,178.645,0.866594,0.0
72.0772,0.133313,177.559,0.873434,0.0
66.046,0.13386,174.532,0.881299,0.0
60.3537,0.132693,174.448,0.867278,0.0
54.9689,0.129684,172.625,0.866252,0.0
50.0021,0.126007,171.856,0.872408,0.0
45.4788,0.121019,167.893,0.856334,0.0
41.3682,0.115381,167.107,0.865226,0.0
37.7517,0.108532,164.548,0.850179,0.0
34.6373,0.0994404,162.023,0.866936,0.0
31.9406,0.0898417,160.702,0.832737,0.0
29.6614,0.0803515,159.214,0.859412,0.0
27.8349,0.0713093,156.739,0.837525,0.0
26.3394,0.062666,154.181,0.861464,0.0
25.0953,0.0537017,150.903,0.830343,0.0
24.1236,0.0463171,150.351,0.839577,0.0
23.3591,0.0401439,148.428,0.846075,0.0
22.7257,0.0352097,146.756,0.846759,0.0
22.2114,0.0312681,144.783,0.832395,0.0
21.7761,0.0279499,143.428,0.823846,0.0
21.414,0.0252225,142.592,0.828291,0.0
21.1168,0.0231967,139.197,0.81256,0.0
20.8381,0.0224138,138.779,0.806062,0.0
20.6364,0.0212215,139.114,0.834447,0.0
20.4617,0.0205793,136.371,0.822478,0.0
20.2402,0.0196952,136.204,0.829659,0.0
20.0753,0.0194367,136.722,0.825556,0.0
19.9592,0.0188205,136.555,0.816322,0.0
19.8225,0.018741,135.502,0.81085,0.0
19.6854,0.0186805,135.234,0.820426,0.0
19.5772,0.018275,134.314,0.828291,0.0
19.4595,0.017615,133.813,0.818374,0.0
19.3531,0.0178455,133.328,0.852572,0.0
19.2743,0.017923,133.311,0.828291,0.0
19.1827,0.017711,132.642,0.821452,0.0
19.1151,0.0176924,133.161,0.829317,0.0
19.033,0.0181585,133.027,0.833763,0.0
18.9237,0.0176843,131.957,0.810166,0.0
18.884,0.0173748,131.856,0.836499,0.0
18.8512,0.0177784,132.575,0.826581,0.0
18.7492,0.0173789,131.304,0.80401,0.0
18.6382,0.0171971,131.672,0.833763,0.0
18.5988,0.0176276,132.441,0.826923,0.0
18.5963,0.0175469,130.318,0.808456,0.0
18.564,0.0172683,131.622,0.821452,0.0
18.4959,0.0175009,129.749,0.82111,0.0
18.4543,0.0169188,129.933,0.827265,0.0
18.4197,0.0172899,130.518,0.820426,0.0
18.3826,0.0170889,130.268,0.827607,0.0
18.3389,0.0171333,130.518,0.834105,0.0
18.2843,0.0173696,129.883,0.836841,0.0
18.2609,0.0172734,130.719,0.835131,0.0
18.27,0.0174044,129.348,0.80914,0.0
18.2519,0.0173551,128.679,0.809482,0.0
18.2019,0.0172946,131.137,0.826581,0.0
18.1452,0.0171696,129.799,0.811192,0.0
18.11,0.0173212,130.585,0.814612,0.0
18.0914,0.0175653,128.913,0.797513,0.0
18.0401,0.0172897,127.609,0.827265,0.0
18.0071,0.0171032,129.833,0.837525,0.0
17.9943,0.0173227,129.9,0.810508,0.0
17.9489,0.0176317,128.311,0.815638,0.0
17.9349,0.0173483,129.264,0.823162,0.0
17.9093,0.017088,128.512,0.798197,0.0
