time_key,prototype_col,Time_mapping,time_key_mpl,PBL_MPL_m,rmin_m,rmax_m,rmin_used_m,rmax_used_m,PBL_Prototype_m,Chosen_mode,HWCT_peak_chosen,Delta_Prototype_minus_MPL_m,NRB_all_nan,FFT_fc_cycles_per_m,FFT_order,FFT_pad_frac,HWCT_smooth_win_bins,HWCT_tol_m
0005,00.05,exact,0005,1948.651,1648.6509999999998,2248.651,1648.6509999999998,2248.651,2246.25,positive,0.04363451039203789,297.59899999999993,False,0.0125,6.0,0.1,7.0,22.5
0035,00.35,exact,0035,2098.5472,1798.5472,2398.5472,1798.5472,2398.5472,2268.75,positive,0.43312954662236974,170.20280000000002,False,0.0125,6.0,0.1,7.0,22.5
0105,01.05,exact,0105,1978.6303,1678.6303,2278.6303,1678.6303,2278.6303,2238.75,positive,0.42832561101168354,260.11969999999997,False,0.0125,6.0,0.1,7.0,22.5
0135,01.35,exact,0135,1828.734,1528.7340000000002,2128.7340000000004,1528.7340000000002,2128.7340000000004,2126.25,positive,0.021987441629910495,297.5160000000001,False,0.0125,6.0,0.1,7.0,22.5
0205,02.05,exact,0205,1918.6717,1618.6717,2218.6717,1618.6717,2218.6717,2167.5,positive,0.1759910249782014,248.8282999999999,False,0.0125,6.0,0.1,7.0,22.5
0235,02.35,exact,0235,2098.5472,1798.5472,2398.5472,1798.5472,2398.5472,2175.0,positive,0.431646274804892,76.45280000000002,False,0.0125,6.0,0.1,7.0,22.5
0305,03.05,exact,0305,1918.6717,1618.6717,2218.6717,1618.6717,2218.6717,2133.75,positive,0.26625837266977664,215.0782999999999,False,0.0125,6.0,0.1,7.0,22.5
0335,03.35,exact,0335,1978.6303,1678.6303,2278.6303,1678.6303,2278.6303,2043.75,positive,0.15805952451551197,65.11969999999997,False,0.0125,6.0,0.1,7.0,22.5
0405,04.05,exact,0405,2068.568,1768.5679999999998,2368.568,1768.5679999999998,2368.568,2070.0,positive,0.2752801937297414,1.431999999999789,False,0.0125,6.0,0.1,7.0,22.5
0435,04.35,exact,0435,2038.5888,1738.5887999999998,2338.5887999999995,1738.5887999999998,2338.5887999999995,2058.75,positive,0.32646758091669864,20.161200000000008,False,0.0125,6.0,0.1,7.0,22.5
0505,05.05,exact,0505,2068.568,1768.5679999999998,2368.568,1768.5679999999998,2368.568,2062.5,positive,0.22810684678219617,-6.068000000000211,False,0.0125,6.0,0.1,7.0,22.5
0535,05.35,exact,0535,2038.5888,1738.5887999999998,2338.5887999999995,1738.5887999999998,2338.5887999999995,2043.75,positive,0.3387560329181551,5.161200000000008,False,0.0125,6.0,0.1,7.0,22.5
0605,06.05,exact,0605,2038.5888,1738.5887999999998,2338.5887999999995,1738.5887999999998,2338.5887999999995,2111.25,positive,0.260684458489828,72.66120000000001,False,0.0125,6.0,0.1,7.0,22.5
0635,06.35,exact,0635,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,2085.0,positive,0.33104123218230525,-73.50570000000016,False,0.0125,6.0,0.1,7.0,22.5
0705,07.05,exact,0705,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,2171.25,positive,0.27272958237808187,12.74429999999984,False,0.0125,6.0,0.1,7.0,22.5
0735,07.35,exact,0735,1948.651,1648.6509999999998,2248.651,1648.6509999999998,2248.651,2167.5,positive,0.16047267002588916,218.84899999999993,False,0.0125,6.0,0.1,7.0,22.5
0805,08.05,exact,0805,2068.568,1768.5679999999998,2368.568,1768.5679999999998,2368.568,2130.0,positive,0.0168796836427559,61.43199999999979,False,0.0125,6.0,0.1,7.0,22.5
0835,08.35,exact,0835,1948.651,1648.6509999999998,2248.651,1648.6509999999998,2248.651,2163.75,positive,0.005830194626684555,215.09899999999993,False,0.0125,6.0,0.1,7.0,22.5
0905,09.05,exact,0905,2218.4640999999997,1918.4640999999997,2518.4640999999997,1918.4640999999997,2518.4640999999997,2111.25,positive,0.1912253392098892,-107.21409999999969,False,0.0125,6.0,0.1,7.0,22.5
0935,09.35,exact,0935,1978.6303,1678.6303,2278.6303,1678.6303,2278.6303,2092.5,positive,0.005066178339319108,113.86969999999997,False,0.0125,6.0,0.1,7.0,22.5
1005,10.05,exact,1005,2188.485,1888.485,2488.485,1888.485,2488.485,2028.75,positive,0.001770180338050121,-159.73500000000013,False,0.0125,6.0,0.1,7.0,22.5
1035,10.35,exact,1035,2278.4226,1978.4226,2578.4226,1978.4226,2578.4226,2253.75,positive,0.004875268478816537,-24.672599999999875,False,0.0125,6.0,0.1,7.0,22.5
1105,11.05,exact,1105,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,2148.75,positive,0.09861665522706434,-9.75570000000016,False,0.0125,6.0,0.1,7.0,22.5
1135,11.35,exact,1135,2278.4226,1978.4226,2578.4226,1978.4226,2578.4226,2175.0,positive,0.04294300256322163,-103.42259999999987,False,0.0125,6.0,0.1,7.0,22.5
1205,12.05,exact,1205,,,,,,,missing_window,,,False,,,,,
1235,12.35,exact,1235,2218.4640999999997,1918.4640999999997,2518.4640999999997,1918.4640999999997,2518.4640999999997,2358.75,positive,0.0027757563227283834,140.2859000000003,False,0.0125,6.0,0.1,7.0,22.5
1305,13.05,exact,1305,2128.5264,1828.5264,2428.5264,1828.5264,2428.5264,2298.75,positive,0.003261326377452579,170.2235999999998,False,0.0125,6.0,0.1,7.0,22.5
