time_key,prototype_col,Time_mapping,time_key_mpl,PBL_MPL_m,rmin_m,rmax_m,rmin_used_m,rmax_used_m,PBL_TR40_m,Chosen_mode,HWCT_peak_chosen,Delta_TR40_minus_MPL_m,NRB_all_nan,FFT_fc_cycles_per_m,FFT_order,FFT_pad_frac,HWCT_smooth_win_bins,HWCT_tol_m
0005,00.05,exact,0005,2128.5264,1828.5264,2428.5264,1828.5264,2428.5264,,no_data,,,True,0.0125,6,0.1,7,22.5
0035,00.35,exact,0035,2368.3605,2068.3605,2668.3605,2068.3605,2668.3605,,no_data,,,True,0.0125,6,0.1,7,22.5
0105,01.05,exact,0105,2278.4226,1978.4226,2578.4226,1978.4226,2578.4226,,no_data,,,True,0.0125,6,0.1,7,22.5
0135,01.35,exact,0135,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,,no_data,,,True,0.0125,6,0.1,7,22.5
0205,02.05,exact,0205,1738.7962,1438.7962,2038.7962,1438.7962,2038.7962,,no_data,,,True,0.0125,6,0.1,7,22.5
0235,02.35,exact,0235,2068.568,1768.5679999999998,2368.568,1768.5679999999998,2368.568,,no_data,,,True,0.0125,6,0.1,7,22.5
0305,03.05,exact,0305,1828.734,1528.7340000000002,2128.7340000000004,1528.7340000000002,2128.7340000000004,,no_data,,,True,0.0125,6,0.1,7,22.5
0335,03.35,exact,0335,2248.4434,1948.4434,2548.4434,1948.4434,2548.4434,,no_data,,,True,0.0125,6,0.1,7,22.5
0405,04.05,exact,0405,2248.4434,1948.4434,2548.4434,1948.4434,2548.4434,,no_data,,,True,0.0125,6,0.1,7,22.5
0435,04.35,exact,0435,2248.4434,1948.4434,2548.4434,1948.4434,2548.4434,,no_data,,,True,0.0125,6,0.1,7,22.5
0505,05.05,exact,0505,2218.4640999999997,1918.4640999999997,2518.4640999999997,1918.4640999999997,2518.4640999999997,,no_data,,,True,0.0125,6,0.1,7,22.5
0535,05.35,exact,0535,2188.485,1888.485,2488.485,1888.485,2488.485,,no_data,,,True,0.0125,6,0.1,7,22.5
0605,06.05,exact,0605,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,,no_data,,,True,0.0125,6,0.1,7,22.5
0635,06.35,exact,0635,2098.5472,1798.5472,2398.5472,1798.5472,2398.5472,,no_data,,,True,0.0125,6,0.1,7,22.5
0705,07.05,exact,0705,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,,no_data,,,True,0.0125,6,0.1,7,22.5
0735,07.35,exact,0735,2128.5264,1828.5264,2428.5264,1828.5264,2428.5264,,no_data,,,True,0.0125,6,0.1,7,22.5
0805,08.05,exact,0805,2038.5888,1738.5887999999998,2338.5887999999995,1738.5887999999998,2338.5887999999995,,no_data,,,True,0.0125,6,0.1,7,22.5
0835,08.35,exact,0835,2038.5888,1738.5887999999998,2338.5887999999995,1738.5887999999998,2338.5887999999995,,no_data,,,True,0.0125,6,0.1,7,22.5
0905,09.05,exact,0905,2068.568,1768.5679999999998,2368.568,1768.5679999999998,2368.568,,no_data,,,True,0.0125,6,0.1,7,22.5
0935,09.35,exact,0935,2068.568,1768.5679999999998,2368.568,1768.5679999999998,2368.568,2220.0,positive,0.0037750299652569495,151.4319999999998,False,0.0125,6,0.1,7,22.5
1005,10.05,exact,1005,2038.5888,1738.5887999999998,2338.5887999999995,1738.5887999999998,2338.5887999999995,2328.75,positive,0.0038239949197141415,290.1612,False,0.0125,6,0.1,7,22.5
1035,10.35,exact,1035,2038.5888,1738.5887999999998,2338.5887999999995,1738.5887999999998,2338.5887999999995,2010.0,positive,0.002770150785162483,-28.588799999999992,False,0.0125,6,0.1,7,22.5
1105,11.05,exact,1105,2068.568,1768.5679999999998,2368.568,1768.5679999999998,2368.568,2193.75,positive,0.0035924676981203933,125.18199999999979,False,0.0125,6,0.1,7,22.5
1135,11.35,exact,1135,2068.568,1768.5679999999998,2368.568,1768.5679999999998,2368.568,2040.0,positive,0.004798760341849108,-28.56800000000021,False,0.0125,6,0.1,7,22.5
1205,12.05,exact,1205,2038.5888,1738.5887999999998,2338.5887999999995,1738.5887999999998,2338.5887999999995,2336.25,positive,0.003140468932516664,297.6612,False,0.0125,6,0.1,7,22.5
1235,12.35,exact,1235,2098.5472,1798.5472,2398.5472,1798.5472,2398.5472,2332.5,positive,0.004642312867649104,233.95280000000002,False,0.0125,6,0.1,7,22.5
1305,13.05,exact,1305,2098.5472,1798.5472,2398.5472,1798.5472,2398.5472,2366.25,positive,0.003817291864259229,267.7028,False,0.0125,6,0.1,7,22.5
1335,13.35,exact,1335,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,2456.25,positive,0.0038892372880179986,297.74429999999984,False,0.0125,6,0.1,7,22.5
1405,14.05,exact,1405,2008.6095,1708.6095,2308.6095,1708.6095,2308.6095,2223.75,positive,0.00334119786903761,215.14049999999997,False,0.0125,6,0.1,7,22.5
1435,14.35,exact,1435,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,,no_data,,,True,0.0125,6,0.1,7,22.5
1505,15.05,exact,1505,2008.6095,1708.6095,2308.6095,1708.6095,2308.6095,1987.5,positive,0.002313909270488283,-21.109500000000025,False,0.0125,6,0.1,7,22.5
