bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,photon_counting_shifted,pc_sterr_shifted,SNR_analog,SNR_Photon,photon_deadtime_corr_hz,photon_deadtime_corr,analog_bg_corr,photon_bg_corr,afterpulse_profile,photon_APcorr,analog_scaled_for_glue,weight_w,merged_sig,overlap_func,merged_counts_ovcorr,range2_corrected_counts,range2_corrected_counts_overlap,nrb,range2_norm
0,0.0,56.7952,0.0870385,186.344,0.881481,0.0,186.344,0.881481,652.529627693492,211.39877093210177,433572546.2005212,433.5725462005212,51.12558053946054,433.56589127487405,38.0,395.5725462005212,4028.9275437459683,0.0,4028.9275437459683,0.2,20144.63771872984,0.0,0.0,0.0,0.0
1,3.75,55.9188,0.079091,186.494,0.874999,0.0,186.494,0.874999,707.0184976798878,213.1362435842784,434385466.63910115,434.38546663910114,50.24918053946054,434.378811713454,36.06328740122878,398.3221792378724,3959.963361476519,0.0,3959.963361476519,0.2,19799.816807382595,55686.98477076355,278434.92385381775,2227479.390830542,0.002279148633003895
2,7.5,51.6041,0.0835176,185.977,0.870906,0.0,185.977,0.870906,617.8829372491547,213.5442860653159,431590902.9622355,431.59090296223553,45.934480539460544,431.5842480365884,34.23847134592593,397.3524316163096,3620.4383075764845,0.0,3620.4383075764845,0.2,18102.19153788242,203649.65480117724,1018248.274005886,8145986.192047089,0.008334942792512305
3,11.25,47.1595,0.0636418,189.733,0.882163,0.0,189.733,0.882163,741.0145533281586,215.07703224914215,452373153.5739776,452.3731535739776,41.48988053946054,452.3664986483305,32.51885340007681,419.8543001739008,3270.691383209994,0.0,3270.691383209994,0.2,16353.456916049969,413946.87818751484,2069734.3909375742,16557875.127500594,0.01694195628369929
4,15.0,46.6459,0.0567909,189.499,0.892738,0.0,189.499,0.892738,821.3622252860933,212.2672049358266,451045199.82312274,451.04519982312274,40.97628053946054,451.0385448974756,30.898139760816136,420.1470600623066,3230.2760431671036,0.0,3230.2760431671036,0.2,16151.380215835517,726812.1097125983,3634060.5485629914,29072484.388503928,0.02974685796189557
5,18.75,47.165,0.0616586,191.486,0.907407,0.0,191.486,0.907407,764.9378999847547,211.02548250123704,462467543.9975246,462.4675439975246,41.49538053946054,462.4608890718775,29.370416759027677,433.0971272384969,3271.124179881014,0.0,3271.124179881014,0.2,16355.620899405068,1150004.594489419,5750022.9724470945,46000183.779576756,0.04706721705741978
6,22.5,48.8842,0.066701,190.384,0.869883,0.0,190.384,0.869883,732.8855639345737,218.86161702205928,456091557.15077513,456.09155715077515,43.21458053946054,456.084902225128,27.930127845898994,428.16142930487615,3406.408550211498,0.0,3406.408550211498,0.2,17032.04275105749,1724494.3285445708,8622471.642722853,68979773.14178284,0.07057984747611677
7,26.25,49.1794,0.111199,191.469,0.862378,0.0,191.469,0.862378,442.26476856806266,222.02444867563875,462368396.2559628,462.3683962559628,43.50978053946054,462.3617413303157,26.572051973526886,435.79634428243594,3429.6379278997015,0.0,3429.6379278997015,0.2,17148.189639498505,2363234.884693388,11816174.42346694,94529395.38773552,0.09672212598847449
8,30.0,46.3967,0.087112,188.965,0.877046,0.0,188.965,0.877046,532.6097437781248,215.4562018411805,448031626.9334427,448.03162693344274,40.727080539460545,448.0249720077956,25.29128328511626,422.7403436483265,3210.6664194547047,0.0,3210.6664194547047,0.2,16053.332097273524,2889599.7775092344,14447998.88754617,115583991.10036936,0.11826511006026282
9,33.75,43.9247,0.0640851,189.733,0.871247,1.0,189.733,0.871247,685.412053659899,217.7717685111111,452373153.5739776,452.3731535739776,38.25508053946054,452.3664986483305,24.083212035431963,428.28994153854563,3016.143988407149,0.0,3016.143988407149,0.2,15080.719942035745,3435576.5117950183,17177882.55897509,137423060.4718007,0.14061076466379024
10,37.5,42.0881,0.0642218,188.898,0.891374,0.0,188.898,0.891374,655.3553466268463,211.91778086414905,447655167.360346,447.655167360346,36.41848053946054,447.6485124346989,22.943506666970173,424.71166069337585,2871.621376407982,0.0,2871.621376407982,0.2,14358.10688203991,4038217.560573725,20191087.802868623,161528702.422949,0.16527556790587805
11,41.25,39.5681,0.0705779,188.147,0.873294,0.0,188.147,0.873294,560.6301689339015,215.44519944028013,443460344.066604,443.460344066604,33.89848053946054,443.4536891409569,21.868096971831555,421.59224709477246,2673.3218107769794,0.0,2673.3218107769794,0.2,13366.609053884897,4548824.143650204,22744120.71825102,181952965.74600816,0.18617359821964236
12,45.0,37.4403,0.0700363,189.95,0.863742,0.0,189.95,0.863742,534.5842084747482,219.915206161099,453608690.564605,453.608690564605,31.77068053946054,453.6020356389579,20.853158273520616,432.7555322910844,2505.884582304897,0.0,2505.884582304897,0.2,12529.422911524483,5074416.2791674165,25372081.39583708,202976651.16669664,0.20768495499560785
