bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,photon_counting_shifted,pc_sterr_shifted,SNR_analog,SNR_Photon,photon_deadtime_corr_hz,photon_deadtime_corr,analog_bg_corr,photon_bg_corr,afterpulse_profile,photon_APcorr,analog_scaled_for_glue,weight_w,merged_sig,overlap_func,merged_counts_ovcorr,range2_corrected_counts,range2_corrected_counts_overlap,nrb,range2_norm
0,0.0,70.6673,0.097391,191.381,0.895075,0.0,191.381,0.895075,725.6040085839553,213.81560204452143,461855558.84351283,461.8555588435128,64.98366147852147,461.84851937597927,38.0,423.8555588435128,4827.0541887745685,0.0,4827.0541887745685,0.2,24135.27094387284,0.0,0.0,0.0,0.0
1,3.75,75.0402,0.101395,192.636,0.882748,0.0,192.636,0.882748,740.0779131120864,218.22309424660264,469232938.26399314,469.23293826399316,69.35656147852148,469.2258987964596,36.06328740122878,433.1696508627644,5151.023099322223,0.0,5151.023099322223,0.2,25755.115496611113,72436.26233421876,362181.3116710938,2897450.49336875,0.001295080186113755
2,7.5,74.1541,0.0886748,193.238,0.907402,0.0,193.238,0.907402,836.24772765205,212.95743231775992,472820932.1196916,472.82093211969163,68.47046147852149,472.8138926521581,34.23847134592593,438.5824607737657,5085.375851126226,0.0,5085.375851126226,0.2,25426.879255631127,286052.3916258502,1430261.958129251,11442095.66503401,0.005114300112225502
3,11.25,70.786,0.0751625,191.699,0.884803,0.0,191.699,0.884803,941.7728255446533,216.65726721089328,463711921.78365487,463.7119217836549,65.10236147852149,463.7048823161213,32.51885340007681,431.19306838357807,4835.848149231476,0.0,4835.848149231476,0.2,24179.24074615738,612037.0313871086,3060185.1569355433,24481481.255484343,0.010942544617502806
4,15.0,67.8712,0.0735372,191.397,0.883091,0.0,191.397,0.883091,922.9505610765708,216.7353081392518,461948752.4267775,461.9487524267775,62.18756147852148,461.94171295924394,30.898139760816136,431.05061266596135,4619.903448812005,0.0,4619.903448812005,0.2,23099.517244060025,1039478.2759827011,5197391.379913506,41579131.03930804,0.018584720908286508
5,18.75,62.8245,0.0735182,192.586,0.874873,0.0,192.586,0.874873,854.5435007930008,220.13023604568892,468936379.846016,468.936379846016,57.14086147852148,468.92934037848244,29.370416759027677,439.5659630869883,4246.0156624778,0.0,4246.0156624778,0.2,21230.078312389,1492739.8813398515,7463699.406699258,59709595.253594056,0.02668853666724589
6,22.5,58.3081,0.0675161,191.933,0.882064,0.0,191.933,0.882064,863.6177148857829,217.59532188140543,465083515.7525224,465.08351575252243,52.62446147852148,465.07647628498887,27.930127845898994,437.15338790662344,3911.415468648209,0.0,3911.415468648209,0.2,19557.077343241042,1980154.0810031558,9900770.405015778,79206163.24012622,0.0354029630066657
7,26.25,54.361,0.073273,190.661,0.874873,0.0,190.661,0.874873,741.8967423198176,217.92991668505027,457684520.2381867,457.68452023818674,48.677361478521476,457.6774807706532,26.572051973526886,431.11246826465987,3618.992205636787,0.0,3618.992205636787,0.2,18094.961028183934,2493711.816696598,12468559.083482992,99748472.66786392,0.04458480683031962
8,30.0,49.6348,0.0772935,191.079,0.85467,0.0,191.079,0.85467,642.160078143699,223.57050089508232,460100651.51729757,460.1006515172976,43.95116147852148,460.09361204976403,25.29128328511626,434.8093682321813,3268.8488533922073,0.0,3268.8488533922073,0.2,16344.244266961035,2941963.9680529865,14709819.840264931,117678558.72211945,0.05259905909703666
9,33.75,45.5488,0.0773293,189.272,0.86597,0.0,189.272,0.86597,589.023824087377,218.56646304144485,449761289.4665105,449.76128946651045,39.86516147852148,449.7542499989769,24.083212035431963,425.67807743107846,2966.1351008486517,0.0,2966.1351008486517,0.2,14830.675504243258,3378613.2633104175,16893066.316552088,135144530.5324167,0.06040586514066234
