time_key,prototype_col,Time_mapping,time_key_mpl,PBL_MPL_m,rmin_m,rmax_m,rmin_used_m,rmax_used_m,PBL_TR40_m,Chosen_mode,HWCT_peak_chosen,Delta_TR40_minus_MPL_m,NRB_all_nan,FFT_fc_cycles_per_m,FFT_order,FFT_pad_frac,HWCT_smooth_win_bins,HWCT_tol_m
0005,00.05,exact,0005,2248.4434,1948.4434,2548.4434,1948.4434,2548.4434,2347.5,positive,0.010869956938044475,99.05659999999989,False,0.0125,6,0.1,7,22.5
0035,00.35,exact,0035,2248.4434,1948.4434,2548.4434,1948.4434,2548.4434,1950.0,positive,0.006660685031510821,-298.4434000000001,False,0.0125,6,0.1,7,22.5
0105,01.05,exact,0105,2248.4434,1948.4434,2548.4434,1948.4434,2548.4434,1953.75,positive,0.005846020297606086,-294.6934000000001,False,0.0125,6,0.1,7,22.5
0135,01.35,exact,0135,2218.4640999999997,1918.4640999999997,2518.4640999999997,1918.4640999999997,2518.4640999999997,2460.0,positive,0.006048373513987612,241.5359000000003,False,0.0125,6,0.1,7,22.5
0205,02.05,exact,0205,2218.4640999999997,1918.4640999999997,2518.4640999999997,1918.4640999999997,2518.4640999999997,1987.5,positive,0.004849274330865044,-230.9640999999997,False,0.0125,6,0.1,7,22.5
0235,02.35,exact,0235,2218.4640999999997,1918.4640999999997,2518.4640999999997,1918.4640999999997,2518.4640999999997,2516.25,positive,0.011272067582886805,297.7859000000003,False,0.0125,6,0.1,7,22.5
0305,03.05,exact,0305,2188.485,1888.485,2488.485,1888.485,2488.485,2340.0,positive,0.006474011186764231,151.51499999999987,False,0.0125,6,0.1,7,22.5
0335,03.35,exact,0335,2218.4640999999997,1918.4640999999997,2518.4640999999997,1918.4640999999997,2518.4640999999997,2298.75,positive,0.0052401256945231595,80.28590000000031,False,0.0125,6,0.1,7,22.5
0405,04.05,exact,0405,2218.4640999999997,1918.4640999999997,2518.4640999999997,1918.4640999999997,2518.4640999999997,2115.0,positive,0.01015903140938268,-103.46409999999969,False,0.0125,6,0.1,7,22.5
0435,04.35,exact,0435,2218.4640999999997,1918.4640999999997,2518.4640999999997,1918.4640999999997,2518.4640999999997,1961.25,positive,0.003143536845841427,-257.2140999999997,False,0.0125,6,0.1,7,22.5
0505,05.05,exact,0505,2188.485,1888.485,2488.485,1888.485,2488.485,2107.5,positive,0.008106288983633747,-80.98500000000013,False,0.0125,6,0.1,7,22.5
0605,06.05,exact,0605,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,2407.5,positive,0.01270134235749644,248.99429999999984,False,0.0125,6,0.1,7,22.5
0635,06.35,exact,0635,2098.5472,1798.5472,2398.5472,1798.5472,2398.5472,1987.5,positive,0.0071616919230534926,-111.04719999999998,False,0.0125,6,0.1,7,22.5
0705,07.05,exact,0705,2098.5472,1798.5472,2398.5472,1798.5472,2398.5472,1953.75,positive,0.029690410244788135,-144.79719999999998,False,0.0125,6,0.1,7,22.5
0735,07.35,exact,0735,2098.5472,1798.5472,2398.5472,1798.5472,2398.5472,2227.5,positive,0.018264293800402745,128.95280000000002,False,0.0125,6,0.1,7,22.5
0805,08.05,exact,0805,2008.6095,1708.6095,2308.6095,1708.6095,2308.6095,1860.0,positive,0.024730817516961046,-148.60950000000003,False,0.0125,6,0.1,7,22.5
0835,08.35,exact,0835,1978.6303,1678.6303,2278.6303,1678.6303,2278.6303,1721.25,positive,0.017744802639359555,-257.38030000000003,False,0.0125,6,0.1,7,22.5
0905,09.05,exact,0905,2068.568,1768.5679999999998,2368.568,1768.5679999999998,2368.568,2325.0,positive,0.0166421078406715,256.4319999999998,False,0.0125,6,0.1,7,22.5
0935,09.35,exact,0935,2038.5888,1738.5887999999998,2338.5887999999995,1738.5887999999998,2338.5887999999995,2073.75,positive,0.019860781531781054,35.16120000000001,False,0.0125,6,0.1,7,22.5
1005,10.05,exact,1005,2038.5888,1738.5887999999998,2338.5887999999995,1738.5887999999998,2338.5887999999995,2250.0,positive,0.040971169956483505,211.4112,False,0.0125,6,0.1,7,22.5
1035,10.35,exact,1035,1978.6303,1678.6303,2278.6303,1678.6303,2278.6303,2276.25,positive,0.03348318531970163,297.61969999999997,False,0.0125,6,0.1,7,22.5
1105,11.05,exact,1105,2008.6095,1708.6095,2308.6095,1708.6095,2308.6095,2283.75,positive,0.019419323079374752,275.1405,False,0.0125,6,0.1,7,22.5
1135,11.35,exact,1135,1768.7756,1468.7756,2068.7756,1468.7756,2068.7756,2032.5,positive,0.026638655797623437,263.72440000000006,False,0.0125,6,0.1,7,22.5
1205,12.05,exact,1205,1588.9001,1288.9001,1888.9001,1288.9001,1888.9001,1871.25,positive,0.021037020111839225,282.34989999999993,False,0.0125,6,0.1,7,22.5
1235,12.35,exact,1235,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,2295.0,positive,0.02236569391135331,136.49429999999984,False,0.0125,6,0.1,7,22.5
1305,13.05,exact,1305,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,2145.0,positive,0.02696876844469888,-13.50570000000016,False,0.0125,6,0.1,7,22.5
1335,13.35,exact,1335,2128.5264,1828.5264,2428.5264,1828.5264,2428.5264,2381.25,positive,0.029209509215430612,252.7235999999998,False,0.0125,6,0.1,7,22.5
1405,14.05,exact,1405,2188.485,1888.485,2488.485,1888.485,2488.485,2403.75,positive,0.02272417346822101,215.26499999999987,False,0.0125,6,0.1,7,22.5
1435,14.35,exact,1435,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,2418.75,positive,0.025918380117336815,260.24429999999984,False,0.0125,6,0.1,7,22.5
1505,15.05,exact,1505,2128.5264,1828.5264,2428.5264,1828.5264,2428.5264,2426.25,positive,0.02326687519768844,297.7235999999998,False,0.0125,6,0.1,7,22.5
1535,15.35,exact,1535,2188.485,1888.485,2488.485,1888.485,2488.485,2043.75,positive,0.026895712604507387,-144.73500000000013,False,0.0125,6,0.1,7,22.5
1605,16.05,exact,1605,2128.5264,1828.5264,2428.5264,1828.5264,2428.5264,2040.0,positive,0.022076443908478103,-88.5264000000002,False,0.0125,6,0.1,7,22.5
1635,16.35,exact,1635,2188.485,1888.485,2488.485,1888.485,2488.485,2403.75,positive,0.022430407691589813,215.26499999999987,False,0.0125,6,0.1,7,22.5
1705,17.05,exact,1705,2188.485,1888.485,2488.485,1888.485,2488.485,2486.25,positive,0.026461966014336414,297.7649999999999,False,0.0125,6,0.1,7,22.5
1735,17.35,exact,1735,2308.402,2008.402,2608.402,2008.402,2608.402,2355.0,positive,0.03983939830915903,46.597999999999956,False,0.0125,6,0.1,7,22.5
1805,18.05,exact,1805,2338.3813,2038.3813,2638.3813,2038.3813,2638.3813,2591.25,positive,0.0240286579251401,252.8687,False,0.0125,6,0.1,7,22.5
1835,18.35,exact,1835,2368.3605,2068.3605,2668.3605,2068.3605,2668.3605,2160.0,positive,0.00879916649701007,-208.36049999999977,False,0.0125,6,0.1,7,22.5
