time_key,prototype_col,Time_mapping,time_key_mpl,PBL_MPL_m,rmin_m,rmax_m,PBL_TR40_m,Chosen_mode,HWCT_peak_chosen,Delta_TR40_minus_MPL_m,NRB_all_nan,rmin_used_m,rmax_used_m,FFT_fc_cycles_per_m,FFT_order,FFT_pad_frac,HWCT_smooth_win_bins,HWCT_tol_m
0005,00.05,exact,0005,,,,,missing_window,,,False,,,,,,,
0035,00.35,exact,0035,,,,,missing_window,,,False,,,,,,,
0105,01.05,exact,0105,,,,,missing_window,,,False,,,,,,,
0135,01.35,exact,0135,,,,,missing_window,,,False,,,,,,,
0205,02.05,exact,0205,,,,,missing_window,,,False,,,,,,,
0235,02.35,exact,0235,,,,,missing_window,,,False,,,,,,,
0305,03.05,exact,0305,,,,,missing_window,,,False,,,,,,,
0335,03.35,exact,0335,,,,,missing_window,,,False,,,,,,,
0405,04.05,exact,0405,,,,,missing_window,,,False,,,,,,,
0435,04.35,exact,0435,,,,,missing_window,,,False,,,,,,,
0505,05.05,exact,0505,,,,,missing_window,,,False,,,,,,,
0535,05.35,exact,0535,,,,,missing_window,,,False,,,,,,,
0605,06.05,exact,0605,,,,,missing_window,,,False,,,,,,,
0635,06.35,exact,0635,,,,,missing_window,,,False,,,,,,,
0705,07.05,exact,0705,,,,,missing_window,,,False,,,,,,,
0735,07.35,exact,0735,,,,,missing_window,,,False,,,,,,,
0805,08.05,exact,0805,,,,,missing_window,,,False,,,,,,,
0835,08.35,exact,0835,,,,,missing_window,,,False,,,,,,,
0905,09.05,exact,0905,,,,,missing_window,,,False,,,,,,,
0935,09.35,exact,0935,,,,,missing_window,,,False,,,,,,,
1005,10.05,exact,1005,,,,,missing_window,,,False,,,,,,,
1035,10.35,exact,1035,,,,,missing_window,,,False,,,,,,,
1105,11.05,exact,1105,,,,,missing_window,,,False,,,,,,,
1135,11.35,exact,1135,,,,,missing_window,,,False,,,,,,,
1205,12.05,exact,1205,,,,,missing_window,,,False,,,,,,,
1235,12.35,exact,1235,,,,,missing_window,,,False,,,,,,,
1305,13.05,exact,1305,,,,,missing_window,,,False,,,,,,,
1335,13.35,exact,1335,,,,,missing_window,,,False,,,,,,,
1405,14.05,exact,1405,,,,,missing_window,,,False,,,,,,,
1435,14.35,exact,1435,,,,,missing_window,,,False,,,,,,,
1505,15.05,exact,1505,2188.485,1888.485,2488.485,2186.25,positive,0.004270227396508983,-2.2350000000001273,False,1888.485,2488.485,0.0125,6.0,0.1,7.0,22.5
1535,15.35,exact,1535,2218.4640999999997,1918.4640999999997,2518.4640999999997,2493.75,positive,0.003974158125101198,275.2859000000003,False,1918.4640999999997,2518.4640999999997,0.0125,6.0,0.1,7.0,22.5
1605,16.05,exact,1605,2068.568,1768.5679999999998,2368.568,2336.25,positive,0.003821079705409848,267.6819999999998,False,1768.5679999999998,2368.568,0.0125,6.0,0.1,7.0,22.5
1635,16.35,exact,1635,2008.6095,1708.6095,2308.6095,1980.0,positive,0.0030516984229836683,-28.609500000000025,False,1708.6095,2308.6095,0.0125,6.0,0.1,7.0,22.5
1705,17.05,exact,1705,2038.5888,1738.5887999999998,2338.5887999999995,2257.5,positive,0.004427849989564893,218.9112,False,1738.5887999999998,2338.5887999999995,0.0125,6.0,0.1,7.0,22.5
1735,17.35,exact,1735,1828.734,1528.7340000000002,2128.7340000000004,,no_data,,,True,1528.7340000000002,2128.7340000000004,0.0125,6.0,0.1,7.0,22.5
1805,18.05,exact,1805,1618.8792999999998,1318.8792999999998,1918.8793,1863.75,positive,0.0009164832253778232,244.87070000000017,False,1318.8792999999998,1918.8793,0.0125,6.0,0.1,7.0,22.5
1835,18.35,exact,1835,2128.5264,1828.5264,2428.5264,1837.5,positive,0.004311120205741759,-291.0264000000002,False,1828.5264,2428.5264,0.0125,6.0,0.1,7.0,22.5
1905,19.05,exact,1905,2188.485,1888.485,2488.485,1890.0,positive,0.003690988349576374,-298.4850000000001,False,1888.485,2488.485,0.0125,6.0,0.1,7.0,22.5
1935,19.35,exact,1935,2008.6095,1708.6095,2308.6095,1837.5,positive,0.005248733760754354,-171.10950000000003,False,1708.6095,2308.6095,0.0125,6.0,0.1,7.0,22.5
2005,20.05,exact,2005,1888.6925,1588.6925,2188.6925,2032.5,positive,0.005263086579231746,143.8074999999999,False,1588.6925,2188.6925,0.0125,6.0,0.1,7.0,22.5
2035,20.35,exact,2035,2158.5057,1858.5057,2458.5057,2062.5,positive,0.005068066863541467,-96.00570000000016,False,1858.5057,2458.5057,0.0125,6.0,0.1,7.0,22.5
2105,21.05,exact,2105,2158.5057,1858.5057,2458.5057,2250.0,positive,0.012138376159942565,91.49429999999984,False,1858.5057,2458.5057,0.0125,6.0,0.1,7.0,22.5
2135,21.35,exact,2135,2128.5264,1828.5264,2428.5264,1912.5,positive,0.0015729088995360407,-216.0264000000002,False,1828.5264,2428.5264,0.0125,6.0,0.1,7.0,22.5
2205,22.05,exact,2205,2098.5472,1798.5472,2398.5472,2295.0,positive,0.005337580062171152,196.45280000000002,False,1798.5472,2398.5472,0.0125,6.0,0.1,7.0,22.5
2235,22.35,exact,2235,2038.5888,1738.5887999999998,2338.5887999999995,2336.25,positive,0.0019529077540124395,297.6612,False,1738.5887999999998,2338.5887999999995,0.0125,6.0,0.1,7.0,22.5
2305,23.05,exact,2305,2068.568,1768.5679999999998,2368.568,1890.0,positive,0.011276186364657215,-178.5680000000002,False,1768.5679999999998,2368.568,0.0125,6.0,0.1,7.0,22.5
