time_key,proto_time,Time_mapping,PBL_MPL_m,rmin_m,rmax_m,PBL_PBoxLike_m,Chosen_mode,Edge_strength_grad_min,Delta_PBoxLike_minus_MPL_m,NRB_all_nan
0005,00.05,exact,2098.5472,1798.5472,2398.5472,2186.25,loggrad_min,-0.005305820597970016,87.70280000000002,False
0035,00.35,exact,2128.5264,1828.5264,2428.5264,2107.5,loggrad_min,-0.0041235594023724936,-21.026400000000194,False
0105,01.05,exact,2098.5472,1798.5472,2398.5472,2163.75,loggrad_min,-0.0036077924677211976,65.20280000000002,False
0135,01.35,exact,2038.5888,1738.5887999999998,2338.5887999999995,2055.0,loggrad_min,-0.0041979672334840675,16.411200000000008,False
0205,02.05,exact,2098.5472,1798.5472,2398.5472,2077.5,loggrad_min,-0.004393189863675451,-21.047199999999975,False
0235,02.35,exact,2098.5472,1798.5472,2398.5472,2085.0,loggrad_min,-0.0038204799567439864,-13.547199999999975,False
0305,03.05,exact,2128.5264,1828.5264,2428.5264,2118.75,loggrad_min,-0.006128557292240814,-9.776400000000194,False
0335,03.35,exact,2128.5264,1828.5264,2428.5264,2085.0,loggrad_min,-0.007242807175378152,-43.526400000000194,False
0405,04.05,exact,2068.568,1768.5679999999998,2368.568,2040.0,loggrad_min,-0.005426030287434669,-28.56800000000021,False
0435,04.35,exact,2038.5888,1738.5887999999998,2338.5887999999995,2002.5,loggrad_min,-0.0062747593786848166,-36.08879999999999,False
0505,05.05,exact,2098.5472,1798.5472,2398.5472,2092.5,loggrad_min,-0.007476051766444132,-6.047199999999975,False
0535,05.35,exact,2128.5264,1828.5264,2428.5264,2085.0,loggrad_min,-0.008037295540262779,-43.526400000000194,False
0605,06.05,exact,2128.5264,1828.5264,2428.5264,2103.75,loggrad_min,-0.0074535531012700496,-24.776400000000194,False
0635,06.35,exact,2158.5057,1858.5057,2458.5057,2133.75,loggrad_min,-0.009195582250354632,-24.75570000000016,False
0705,07.05,exact,1888.6925,1588.6925,2188.6925,2186.25,loggrad_min,-0.015360487384673474,297.5574999999999,False
0735,07.35,exact,2188.485,1888.485,2488.485,2373.75,loggrad_min,-0.021304516344659182,185.26499999999987,False
0805,08.05,exact,2188.485,1888.485,2488.485,2227.5,loggrad_min,-0.0742814447437033,39.01499999999987,False
0835,08.35,exact,2218.4640999999997,1918.4640999999997,2518.4640999999997,2362.5,loggrad_min,-0.8742859958802218,144.0359000000003,False
0905,09.05,exact,2188.485,1888.485,2488.485,2448.75,loggrad_min,-0.925300342375668,260.2649999999999,False
0935,09.35,exact,2098.5472,1798.5472,2398.5472,2193.75,loggrad_min,-0.952987665415326,95.20280000000002,False
1005,10.05,exact,2158.5057,1858.5057,2458.5057,2250.0,loggrad_min,-0.9353287965160366,91.49429999999984,False
1035,10.35,exact,2128.5264,1828.5264,2428.5264,2261.25,loggrad_min,-0.9161070628529887,132.7235999999998,False
1105,11.05,exact,2158.5057,1858.5057,2458.5057,2100.0,loggrad_min,-0.9306162953456862,-58.50570000000016,False
1135,11.35,exact,2188.485,1888.485,2488.485,2295.0,loggrad_min,-0.9042436177774221,106.51499999999987,False
1205,12.05,exact,2158.5057,1858.5057,2458.5057,1953.75,loggrad_min,-0.9518087336973885,-204.75570000000016,False
1235,12.35,exact,2128.5264,1828.5264,2428.5264,2103.75,loggrad_min,-0.8627087008277321,-24.776400000000194,False
1305,13.05,exact,2158.5057,1858.5057,2458.5057,1882.5,loggrad_min,-0.9295713597503433,-276.00570000000016,False
1335,13.35,exact,2188.485,1888.485,2488.485,2332.5,loggrad_min,-0.9426996316989491,144.01499999999987,False
1405,14.05,exact,2218.4640999999997,1918.4640999999997,2518.4640999999997,2272.5,loggrad_min,-0.965165334429365,54.03590000000031,False
1435,14.35,exact,2218.4640999999997,1918.4640999999997,2518.4640999999997,2475.0,loggrad_min,-0.9665077054798296,256.5359000000003,False
1505,15.05,exact,2128.5264,1828.5264,2428.5264,2343.75,loggrad_min,-0.9517124961232196,215.2235999999998,False
1535,15.35,exact,2218.4640999999997,1918.4640999999997,2518.4640999999997,2227.5,loggrad_min,-0.9467067003470592,9.03590000000031,False
1605,16.05,exact,1948.651,1648.6509999999998,2248.651,2100.0,loggrad_min,-0.9459318807941841,151.34899999999993,False
1635,16.35,exact,2218.4640999999997,1918.4640999999997,2518.4640999999997,2392.5,loggrad_min,-0.9474950962050102,174.0359000000003,False
1705,17.05,exact,2308.402,2008.402,2608.402,2325.0,loggrad_min,-0.9623928988655183,16.597999999999956,False
1735,17.35,exact,1978.6303,1678.6303,2278.6303,1811.25,loggrad_min,-0.007351332142122224,-167.38030000000003,False
1805,18.05,exact,2248.4434,1948.4434,2548.4434,2493.75,loggrad_min,-0.01587235173349318,245.3065999999999,False
1835,18.35,exact,2368.3605,2068.3605,2668.3605,2467.5,loggrad_min,-0.005671847740150016,99.13950000000023,False
1905,19.05,exact,2458.2982,2158.2982,2758.2982,2531.25,loggrad_min,-0.007151052185370687,72.95179999999982,False
1935,19.35,exact,2278.4226,1978.4226,2578.4226,2400.0,loggrad_min,-0.011058558527950376,121.57740000000013,False
2005,20.05,exact,2308.402,2008.402,2608.402,2426.25,loggrad_min,-0.008742526924228706,117.84799999999996,False
2035,20.35,exact,2038.5888,1738.5887999999998,2338.5887999999995,2336.25,loggrad_min,-0.006821347451471604,297.6612,False
2105,21.05,exact,2038.5888,1738.5887999999998,2338.5887999999995,2336.25,loggrad_min,-0.008803275894798845,297.6612,False
2135,21.35,exact,1858.7133,1558.7133,2158.7133000000003,1623.75,loggrad_min,-0.0010086675813305431,-234.9632999999999,False
2205,22.05,exact,1798.7548,1498.7548,2098.7547999999997,1796.25,loggrad_min,-0.0007408630904914763,-2.504799999999932,False
2235,22.35,exact,2098.5472,1798.5472,2398.5472,2261.25,loggrad_min,-0.01178114262605603,162.70280000000002,False
2305,23.05,exact,2008.6095,1708.6095,2308.6095,2242.5,loggrad_min,-0.015832257637052205,233.89049999999997,False
2335,23.35,exact,1948.651,1648.6509999999998,2248.651,2205.0,loggrad_min,-0.010775921862142764,256.34899999999993,False
