day,timestamp,pbls_km,pbls_m,min_pbls_m,max_pbls_m
09-02-2026,2026-02-09 00:05:00,1.9786303,1978.6303,1678.6303,2278.6303
09-02-2026,2026-02-09 00:35:00,1.7987548,1798.7548,1498.7548,2098.7547999999997
09-02-2026,2026-02-09 01:05:00,1.6188793,1618.8792999999998,1318.8792999999998,1918.8792999999998
09-02-2026,2026-02-09 01:35:00,1.7687756,1768.7756,1468.7756,2068.7756
09-02-2026,2026-02-09 02:05:00,1.6188793,1618.8792999999998,1318.8792999999998,1918.8792999999998
09-02-2026,2026-02-09 02:35:00,1.5889001,1588.9001,1288.9001,1888.9001
09-02-2026,2026-02-09 03:05:00,1.6788378,1678.8378,1378.8378,1978.8378
09-02-2026,2026-02-09 03:35:00,1.4390038,1439.0038,1139.0038,1739.0038
09-02-2026,2026-02-09 04:05:00,1.5589207,1558.9207000000001,1258.9207000000001,1858.9207000000001
09-02-2026,2026-02-09 04:35:00,1.1991699,1199.1699,899.1699000000001,1499.1699
09-02-2026,2026-02-09 05:05:00,1.0492736,1049.2736,749.2736,1349.2736
09-02-2026,2026-02-09 05:35:00,1.4090246,1409.0246,1109.0246,1709.0246
09-02-2026,2026-02-09 06:05:00,1.8587133,1858.7133000000001,1558.7133000000001,2158.7133000000003
09-02-2026,2026-02-09 06:35:00,1.7987548,1798.7548,1498.7548,2098.7547999999997
09-02-2026,2026-02-09 07:05:00,1.7987548,1798.7548,1498.7548,2098.7547999999997
09-02-2026,2026-02-09 07:35:00,1.468983,1468.983,1168.983,1768.983
09-02-2026,2026-02-09 08:05:00,1.9186717,1918.6716999999999,1618.6716999999999,2218.6717
09-02-2026,2026-02-09 08:35:00,2.068568,2068.5679999999998,1768.5679999999998,2368.5679999999998
09-02-2026,2026-02-09 09:05:00,2.2484434,2248.4434,1948.4434,2548.4434
09-02-2026,2026-02-09 09:35:00,2.068568,2068.5679999999998,1768.5679999999998,2368.5679999999998
09-02-2026,2026-02-09 10:05:00,2.0086095,2008.6095,1708.6095,2308.6095
09-02-2026,2026-02-09 10:35:00,1.708817,1708.817,1408.817,2008.817
09-02-2026,2026-02-09 11:05:00,1.7687756,1768.7756,1468.7756,2068.7756
09-02-2026,2026-02-09 11:35:00,1.4989623,1498.9623000000001,1198.9623000000001,1798.9623000000001
09-02-2026,2026-02-09 12:05:00,1.4390038,1439.0038,1139.0038,1739.0038
09-02-2026,2026-02-09 12:35:00,1.708817,1708.817,1408.817,2008.817
09-02-2026,2026-02-09 13:05:00,1.708817,1708.817,1408.817,2008.817
09-02-2026,2026-02-09 13:35:00,1.4989623,1498.9623000000001,1198.9623000000001,1798.9623000000001
09-02-2026,2026-02-09 14:05:00,1.4390038,1439.0038,1139.0038,1739.0038
09-02-2026,2026-02-09 14:35:00,1.5289415,1528.9415,1228.9415,1828.9415
09-02-2026,2026-02-09 15:05:00,1.5289415,1528.9415,1228.9415,1828.9415
09-02-2026,2026-02-09 15:35:00,1.6488585,1648.8585,1348.8585,1948.8585
09-02-2026,2026-02-09 16:05:00,1.708817,1708.817,1408.817,2008.817
09-02-2026,2026-02-09 16:35:00,2.188485,2188.485,1888.4850000000001,2488.485
09-02-2026,2026-02-09 17:05:00,1.9186717,1918.6716999999999,1618.6716999999999,2218.6717
09-02-2026,2026-02-09 17:35:00,2.308402,2308.402,2008.402,2608.402
09-02-2026,2026-02-09 18:05:00,2.1285264,2128.5264,1828.5264000000002,2428.5264
09-02-2026,2026-02-09 18:35:00,2.698132,2698.132,2398.132,2998.132
09-02-2026,2026-02-09 19:05:00,1.948651,1948.6509999999998,1648.6509999999998,2248.651
09-02-2026,2026-02-09 19:35:00,2.068568,2068.5679999999998,1768.5679999999998,2368.5679999999998
09-02-2026,2026-02-09 20:05:00,3.9572606,3957.2606,3657.2606,4257.2606
09-02-2026,2026-02-09 20:35:00,2.0086095,2008.6095,1708.6095,2308.6095
09-02-2026,2026-02-09 21:05:00,2.3383813,2338.3813,2038.3813,2638.3813
09-02-2026,2026-02-09 21:35:00,2.3383813,2338.3813,2038.3813,2638.3813
09-02-2026,2026-02-09 22:05:00,2.4582982,2458.2982,2158.2982,2758.2982
09-02-2026,2026-02-09 22:35:00,2.3983397,2398.3397,2098.3397,2698.3397
09-02-2026,2026-02-09 23:05:00,2.308402,2308.402,2008.402,2608.402
09-02-2026,2026-02-09 23:35:00,2.188485,2188.485,1888.4850000000001,2488.485
