day,timestamp,pbls_km,pbls_m,min_pbls_m,max_pbls_m
27-02-2026,2026-02-27 00:05:00,1.2591283,1259.1283,959.1283000000001,1559.1283
27-02-2026,2026-02-27 00:35:00,2.6381736,2638.1736,2338.1736,2938.1736
27-02-2026,2026-02-27 01:05:00,3.147821,3147.821,2847.821,3447.821
27-02-2026,2026-02-27 01:35:00,3.0279038,3027.9037999999996,2727.9037999999996,3327.9037999999996
27-02-2026,2026-02-27 02:05:00,2.4882774,2488.2774,2188.2774,2788.2774
27-02-2026,2026-02-27 02:35:00,2.2784226,2278.4226,1978.4225999999999,2578.4226
27-02-2026,2026-02-27 03:05:00,2.2784226,2278.4226,1978.4225999999999,2578.4226
27-02-2026,2026-02-27 03:35:00,2.068568,2068.5679999999998,1768.5679999999998,2368.5679999999998
27-02-2026,2026-02-27 04:05:00,2.1285264,2128.5264,1828.5264000000002,2428.5264
27-02-2026,2026-02-27 04:35:00,2.0385888,2038.5887999999998,1738.5887999999998,2338.5887999999995
27-02-2026,2026-02-27 05:05:00,2.188485,2188.485,1888.4850000000001,2488.485
27-02-2026,2026-02-27 05:35:00,2.188485,2188.485,1888.4850000000001,2488.485
27-02-2026,2026-02-27 06:05:00,2.2784226,2278.4226,1978.4225999999999,2578.4226
27-02-2026,2026-02-27 06:35:00,2.2484434,2248.4434,1948.4434,2548.4434
27-02-2026,2026-02-27 07:05:00,2.188485,2188.485,1888.4850000000001,2488.485
27-02-2026,2026-02-27 07:35:00,2.1285264,2128.5264,1828.5264000000002,2428.5264
27-02-2026,2026-02-27 08:05:00,2.0985472,2098.5472,1798.5472,2398.5472
27-02-2026,2026-02-27 08:35:00,1.7687756,1768.7756,1468.7756,2068.7756
27-02-2026,2026-02-27 09:05:00,1.7987548,1798.7548,1498.7548,2098.7547999999997
27-02-2026,2026-02-27 09:35:00,1.8886925,1888.6925,1588.6925,2188.6925
27-02-2026,2026-02-27 10:05:00,1.9186717,1918.6716999999999,1618.6716999999999,2218.6717
27-02-2026,2026-02-27 10:35:00,1.948651,1948.6509999999998,1648.6509999999998,2248.651
27-02-2026,2026-02-27 11:05:00,1.7687756,1768.7756,1468.7756,2068.7756
27-02-2026,2026-02-27 11:35:00,1.7687756,1768.7756,1468.7756,2068.7756
27-02-2026,2026-02-27 12:05:00,1.6788378,1678.8378,1378.8378,1978.8378
27-02-2026,2026-02-27 12:35:00,1.7687756,1768.7756,1468.7756,2068.7756
27-02-2026,2026-02-27 13:05:00,2.7281115,2728.1115,2428.1115,3028.1115
27-02-2026,2026-02-27 13:35:00,3.657468,3657.4680000000003,3357.4680000000003,3957.4680000000003
27-02-2026,2026-02-27 14:05:00,3.3876548,3387.6548,3087.6548,3687.6548
27-02-2026,2026-02-27 14:35:00,3.2677379,3267.7379,2967.7379,3567.7379
27-02-2026,2026-02-27 15:05:00,3.1178415,3117.8415,2817.8415,3417.8415
27-02-2026,2026-02-27 15:35:00,2.937966,2937.966,2637.966,3237.966
27-02-2026,2026-02-27 16:05:00,3.1778002,3177.8002,2877.8002,3477.8002
27-02-2026,2026-02-27 16:35:00,2.6381736,2638.1736,2338.1736,2938.1736
27-02-2026,2026-02-27 17:05:00,2.7281115,2728.1115,2428.1115,3028.1115
27-02-2026,2026-02-27 17:35:00,2.4582982,2458.2982,2158.2982,2758.2982
27-02-2026,2026-02-27 18:05:00,1.6488585,1648.8585,1348.8585,1948.8585
27-02-2026,2026-02-27 18:35:00,1.4390038,1439.0038,1139.0038,1739.0038
27-02-2026,2026-02-27 19:05:00,2.5782151,2578.2151,2278.2151,2878.2151
27-02-2026,2026-02-27 19:35:00,2.2184641,2218.4640999999997,1918.4640999999997,2518.4640999999997
27-02-2026,2026-02-27 20:05:00,1.5589207,1558.9207000000001,1258.9207000000001,1858.9207000000001
27-02-2026,2026-02-27 20:35:00,1.6188793,1618.8792999999998,1318.8792999999998,1918.8792999999998
27-02-2026,2026-02-27 21:05:00,1.5889001,1588.9001,1288.9001,1888.9001
27-02-2026,2026-02-27 21:35:00,1.7987548,1798.7548,1498.7548,2098.7547999999997
27-02-2026,2026-02-27 22:05:00,1.6488585,1648.8585,1348.8585,1948.8585
27-02-2026,2026-02-27 22:35:00,1.4989623,1498.9623000000001,1198.9623000000001,1798.9623000000001
27-02-2026,2026-02-27 23:05:00,2.2784226,2278.4226,1978.4225999999999,2578.4226
27-02-2026,2026-02-27 23:35:00,2.2484434,2248.4434,1948.4434,2548.4434
